nation_id,bia_name,states,review_outcome,programs_found,documented_negative_checks,last_negative_check
bia:absentee-shawnee,Absentee-Shawnee Tribe of Indians of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:agdaagux,Agdaagux Tribe of King Cove,AK,"checked, no list found",0,1,2026-08-28
bia:agua-caliente,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:ak-chin,Ak-Chin Indian Community,AZ,"checked, no list found",0,1,2026-08-27
bia:akiachak,Akiachak Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:akiak,Akiak Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:alabama-coushatta,Alabama-Coushatta Tribe of Texas,TX,"checked, no list found",0,1,2026-08-27
bia:alabama-quassarte,Alabama-Quassarte Tribal Town,OK,"checked, no list found",0,1,2026-08-28
bia:alatna,Alatna Village,AK,"checked, no list found",0,1,2026-08-28
bia:saint-paul,Aleut Community of St. Paul Island,AK,"checked, no list found",0,1,2026-08-28
bia:algaaciq,Algaaciq Native Village (St. Mary’s),AK,"checked, no list found",0,2,2026-08-28
bia:allakaket,Allakaket Village,AK,"checked, no list found",0,1,2026-08-28
bia:alturas,"Alturas Indian Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:old-harbor,Alutiiq Tribe of Old Harbor,AK,"checked, no list found",0,1,2026-08-28
bia:angoon,Angoon Community Association,AK,"checked, no list found",0,1,2026-08-28
bia:anvik,Anvik Village,AK,"checked, no list found",0,1,2026-08-28
bia:apache-tribe-oklahoma,Apache Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-28
bia:asacarsarmiut,Asa’carsarmiut Tribe,AK,"checked, no list found",0,2,2026-08-28
bia:fort-peck,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",MT,list program(s) found,1,0,
bia:augustine,"Augustine Band of Cahuilla Indians, California",CA,"checked, no list found",0,1,2026-08-28
bia:bad-river-chippewa,"Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin",WI,list program(s) found,1,0,
bia:bay-mills,"Bay Mills Indian Community, Michigan",MI,"checked, no list found",0,1,2026-08-27
bia:bear-river-rohnerville,"Bear River Band of the Rohnerville Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:beaver,Beaver Village,AK,"checked, no list found",0,1,2026-08-28
bia:berry-creek,Berry Creek Rancheria of Maidu Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:big-lagoon,"Big Lagoon Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:big-pine-paiute,Big Pine Paiute Tribe of the Owens Valley,CA,"checked, no list found",0,1,2026-08-28
bia:big-sandy,Big Sandy Rancheria of Western Mono Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:big-valley-pomo,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",CA,"checked, no list found",0,1,2026-08-27
bia:birch-creek,Birch Creek Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:bishop-paiute,Bishop Paiute Tribe,CA,list program(s) found,1,0,
bia:blackfeet,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,MT,list program(s) found,1,0,
bia:blue-lake-rancheria,"Blue Lake Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:bridgeport-colony,Bridgeport Indian Colony,CA,"checked, no list found",0,1,2026-08-28
bia:buena-vista,Buena Vista Rancheria of Me-Wuk Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:burns-paiute,Burns Paiute Tribe,OR,"checked, no list found",0,1,2026-08-27
bia:cabazon,Cabazon Band of Cahuilla Indians,CA,"checked, no list found",0,1,2026-08-27
bia:cachil-dehe,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",CA,"checked, no list found",0,2,2026-08-28
bia:caddo,Caddo Nation of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:cahto,Cahto Tribe of the Laytonville Rancheria,CA,"checked, no list found",0,1,2026-08-28
bia:cahuilla-band,Cahuilla Band of Indians,CA,"checked, no list found",0,1,2026-08-28
bia:california-valley-miwok,"California Valley Miwok Tribe, California",CA,"checked, no list found",0,1,2026-08-28
bia:campo,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",CA,"checked, no list found",0,2,2026-08-28
bia:barona,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",CA,"checked, no list found",0,1,2026-08-27
bia:catawba,Catawba Indian Nation,SC,list program(s) found,1,0,
bia:cayuga,Cayuga Nation,NY,"checked, no list found",0,1,2026-08-27
bia:cedarville,"Cedarville Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:tlingit-haida,Central Council of the Tlingit & Haida Indian Tribes,AK,list program(s) found,2,0,
bia:chalkyitsik,Chalkyitsik Village,AK,"checked, no list found",0,1,2026-08-28
bia:cheesh-na,Cheesh-Na Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:chemehuevi,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:cher-ae-heights,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:cherokee-nation,Cherokee Nation,OK,list program(s) found,1,0,
bia:chevak,Chevak Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:cheyenne-river-sioux,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",SD,list program(s) found,1,0,
bia:cheyenne-and-arapaho,"Cheyenne and Arapaho Tribes, Oklahoma",OK,list program(s) found,1,0,
bia:chickahominy,Chickahominy Indian Tribe,VA,"checked, no list found",0,1,2026-08-28
bia:chickahominy-eastern,Chickahominy Indian Tribe—Eastern Division,VA,"checked, no list found",0,1,2026-08-28
bia:chickaloon,Chickaloon Native Village,AK,"checked, no list found",0,1,2026-08-27
bia:chicken-ranch,Chicken Ranch Rancheria of Me-Wuk Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:chignik-bay,Chignik Bay Tribal Council,AK,"checked, no list found",0,1,2026-08-28
bia:chignik-lake,Chignik Lake Village,AK,"checked, no list found",0,1,2026-08-28
bia:chilkat-klukwan,Chilkat Indian Village (Klukwan),AK,"checked, no list found",0,2,2026-08-28
bia:chilkoot-haines,Chilkoot Indian Association (Haines),AK,"checked, no list found",0,1,2026-08-28
bia:chinik,Chinik Eskimo Community (Golovin),AK,"checked, no list found",0,1,2026-08-28
bia:chippewa-cree,"Chippewa Cree Indians of the Rocky Boy’s Reservation, Montana",MT,list program(s) found,1,0,
bia:chitimacha,Chitimacha Tribe of Louisiana,LA,"checked, no list found",0,1,2026-08-27
bia:chuloonawick,Chuloonawick Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:circle,Circle Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:citizen-potawatomi,"Citizen Potawatomi Nation, Oklahoma",OK,list program(s) found,1,0,
bia:cloverdale,Cloverdale Rancheria of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:cocopah,Cocopah Tribe of Arizona,AZ,"checked, no list found",0,1,2026-08-27
bia:coeur-dalene,Coeur D’Alene Tribe,ID,list program(s) found,1,0,
bia:cold-springs,Cold Springs Rancheria of Mono Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:colorado-river-indian-tribes,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",AZ; CA,list program(s) found,1,0,
bia:comanche,"Comanche Nation, Oklahoma",OK,list program(s) found,1,0,
bia:salish-kootenai,Confederated Salish and Kootenai Tribes of the Flathead Reservation,MT,list program(s) found,1,0,
bia:yakama,Confederated Tribes and Bands of the Yakama Nation,WA,list program(s) found,1,0,
bia:siletz,Confederated Tribes of Siletz Indians of Oregon,OR,list program(s) found,1,0,
bia:chehalis,Confederated Tribes of the Chehalis Reservation,WA,list program(s) found,2,0,
bia:colville,Confederated Tribes of the Colville Reservation,WA,list program(s) found,1,0,
bia:coos-lower-umpqua-siuslaw,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",OR,"checked, no list found",0,1,2026-08-27
bia:goshute,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",NV; UT,"checked, no list found",0,1,2026-08-27
bia:grand-ronde,Confederated Tribes of the Grand Ronde Community of Oregon,OR,list program(s) found,1,0,
bia:umatilla,Confederated Tribes of the Umatilla Indian Reservation,OR,list program(s) found,1,0,
bia:warm-springs,Confederated Tribes of the Warm Springs Reservation of Oregon,OR,list program(s) found,1,0,
bia:coquille,Coquille Indian Tribe,OR,"checked, no list found",0,1,2026-08-27
bia:coushatta-louisiana,Coushatta Tribe of Louisiana,LA,"checked, no list found",0,1,2026-08-27
