=== OCR START 16:50:36  files=155 pages=994
ok 160.3s pages= 93 chars= 237496  2017__Cook_Inlet_Region_Inc.___2017_CIRI_Annual_Report-04-09-18__0887a921.pdf
ok  95.1s pages= 64 chars= 131094  2021__Bering_Straits_Native_Corporation__2021_Bering_Straits_Annual_Report-08-17
ok  98.7s pages= 64 chars= 141071  2022__Bering_Straits_Native_Corporation__2022_Bering_Straits_Annual_Report_8-9-2
ok  89.3s pages= 29 chars= 113668  2017__Calista_Corporation__2017_Calista_Annual_Report_5-23-18__8bf6a516.pdf
ok  20.9s pages= 16 chars=  21135  2021__Bering_Straits_Native_Corporation__2021_Bering_Straits_Settlement_Trust_Fi
ok  16.8s pages= 15 chars=  22757  2024__Doyon_Limited__2024_Doyon_Annual_Report_2-11-26__3b705809.pdf
ok  16.8s pages= 12 chars=  24264  2022__Bering_Straits_Native_Corporation__2022_Bering_Straits_Settlement_Trust_Fi
ok  11.4s pages= 11 chars=  15072  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_06-06-22_2_
ok   5.6s pages=  5 chars=   5520  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_06-13-22__6
ok   1.5s pages=  2 chars=    490  2018__NANA_Regional_Corporation_Inc.__2018_NANA_-_Annual_Meeting_Evelope_Rec._2-
ok  65.3s pages= 40 chars=  84663  2022__Chugach_Alaska_Corporation__2022_Chugach_Alaska_Annual_Report_6-27-2023__1
ok 128.6s pages= 34 chars= 187349  2017__Arctic_Slope_Regional_Corporation__2017_ASRC_Annual_Report_5-9-18__956f4fb
ok  42.9s pages= 21 chars=  19394  2016__Bering_Straits_Native_Corporation__2016_Bering_Straits_-_Annual_Report_Rec
ok  43.1s pages= 20 chars=  15896  2016__Cook_Inlet_Region_Inc.___2016_CIRI_Annual_Report_Rec._4-7-17__fdbc385d.pdf
ok  18.0s pages= 15 chars=    808  2018__Arctic_Slope_Regional_Corporation__2018_ASRC_Annual_Report_5-9-19__6da7b02
ok  19.2s pages= 14 chars=   7632  2017__Bering_Straits_Native_Corporation__2017_Bering_Straits_-_ANNUAL_REPORT_Rec
ok  18.3s pages= 14 chars=   2724  2020__Arctic_Slope_Regional_Corporation__2020_Arctic_Slope_Regional_Corporation_
ok  12.3s pages= 14 chars=   2005  2022__Calista_Corporation__2022_2021_Calista_Annual_Report_4.2.23__014826b9.pdf
ok  15.2s pages= 12 chars=   3351  2016__Aleut_Corporation__2016_Aleut_-_Annual_Report_Rec._9-16-16__0bcc566b.pdf
ok  16.8s pages= 12 chars=   9453  2018__Bering_Straits_Native_Corporation__2018_Bering_Straits_Annual_Report_9-4-1
ok  18.6s pages= 12 chars=  11955  2020__Cook_Inlet_Region_Inc.___2020_CIRI_-_Annual_Report_Rec._4-22-21__bbd4f0c5.
ok  39.3s pages= 12 chars=  41182  2023__Aleut_Corporation__2023_Aleut_Annual_Report_8-31-23__53f14019.pdf
ok  14.3s pages= 11 chars=   5388  2019__Cook_Inlet_Region_Inc.___2019_CIRI_Annual_Report_4-29-2020__1d96a49a.pdf
ok  22.9s pages= 11 chars=  12756  2020__Bering_Straits_Native_Corporation__2020_Bering_Straits_Annual_Report_8-27-
ok  13.8s pages= 11 chars=   1060  2023__Calista_Corporation__2023_Calista_Annual_Report_5.1.24__1f712b92.pdf
ok  22.3s pages= 11 chars=  26948  2024__Calista_Corporation__2024_Calista_Annual_Report_4-30-25__89ea840b.pdf
ok  11.8s pages= 10 chars=   1082  2017__Aleut_Corporation__2017_Aleut_Annual_Report_Rec._9-27-17__440bb7bf.pdf
ok  15.2s pages= 10 chars=    184  2022__Sealaska_Corporation__2022_Sealaska_Annual_Report_05-09-2023__333e448d.pdf
ok  15.4s pages= 10 chars=    619  2023__Arctic_Slope_Regional_Corporation__2023_ASRC_Annual_Report_4-30-24__0570a1
ok  16.0s pages= 10 chars=    619  2023__Arctic_Slope_Regional_Corporation__2023_ASRC_Annual_Report_5-1-24__01e6b8f
ok   9.8s pages= 10 chars=    225  2023__Sealaska_Corporation__2023_Sealaska_Annual_Report_5-13-24__f024b6ac.pdf
ok  16.8s pages=  9 chars=   2796  2018__Cook_Inlet_Region_Inc.___2018_CIRI_Annual_Report_4-29-19__477838a9.pdf
ok  11.8s pages=  9 chars=   2067  2019__Bristol_Bay_Native_Corporation__2019_Bristol_Bay_Annual_Report_8-14-19__ea
ok  13.6s pages=  9 chars=   1544  2021__Cook_Inlet_Region_Inc.___2021_CIRI_Annual_Report_4.25.22__b6b793d9.pdf
ok   9.1s pages=  8 chars=   1744  2016__Calista_Corporation__2016_Calista_Annual_Annual_Report_6-15-17__caa44a9f.p
ok  11.4s pages=  8 chars=   4680  2018__Calista_Corporation__2018_Calista_Annual_Report_5-16-19__b3ee6df9.pdf
ok  13.1s pages=  8 chars=   2155  2018__Cook_Inlet_Region_Inc.___2018_CIRI_Annual_Report_4-8-19__3d9478e3.pdf
ok   5.5s pages=  8 chars=    213  2023__Calista_Corporation__2023_Calista_Annual_Report_5-24-24__0e0ea7b2.pdf
ok   9.5s pages=  7 chars=   1611  2018__Koniag_Inc.__2018_Koniag_Annual_Report_8-16-18__32e8f0a7.pdf
ok  13.2s pages=  7 chars=    868  2025__Arctic_Slope_Regional_Corporation__2025_Arctic_Slope_Regional_Corporation_
ok  10.1s pages=  6 chars=     28  2016__Arctic_Slope_Regional_Corporation__2016_ASRC_Annual_Report_Rec._5-18-17__5
ok  10.9s pages=  6 chars=   1987  2016__Doyon_Limited__2016_Doyon_-_Annual_Report_Rec._1-30-17__4d25f229.pdf
ok  13.1s pages=  6 chars=   5110  2016__Koniag_Inc.__2016_Koniag_Annual_Report_8-8-16__448457e0.pdf
ok  11.6s pages=  6 chars=    988  2019__Arctic_Slope_Regional_Corporation__2019_ASRC_Annual_Report_5-5-20__31c92ac
ok   8.1s pages=  6 chars=   6657  2019__Koniag_Inc.__2019_Koniag_Annual_Report_12-28-2020__5dca78ab.pdf
ok   8.0s pages=  6 chars=   6657  2019__Koniag_Inc.__2019_Koniag_Annual_Report_Corrected_8-22-19__51fda037.pdf
ok   6.5s pages=  6 chars=    164  2020__Bristol_Bay_Native_Corporation__2020_Bristol_Bay_Annual_Report_9-16-2020__
ok  12.0s pages=  6 chars=   1443  2021__Arctic_Slope_Regional_Corporation__2021_Arctic_Slope_Annual_Report_Rec._5.
ok   4.0s pages=  6 chars=    150  2021__Bristol_Bay_Native_Corporation__2021_Bristol_Bay_Annual_Report_8-11-21_2__
ok   3.9s pages=  6 chars=    150  2021__Bristol_Bay_Native_Corporation__2021_Bristol_Bay_Annual_Report_8-11-21__f1
ok   5.4s pages=  6 chars=    334  2024__Arctic_Slope_Regional_Corporation__2024_ASRC_Annual_Report_5-2-25__7624f30
MuPDF error: format error: No common ancestor in structure tree

ok  18.3s pages=  6 chars=    432  2025__Calista_Corporation__2025_Calista_Corporation_Annual_Report_4-28-2026_1__5
ok   7.2s pages=  5 chars=    203  2019__Bering_Straits_Native_Corporation__2019_Bering_Straits_Annual_Report_9-3-1
MuPDF error: format error: No common ancestor in structure tree

ok   8.8s pages=  5 chars=    291  2019__Calista_Corporation__2019_Calista_Annual_Report_06-19-20__2a21f7aa.pdf
ok   3.6s pages=  5 chars=    426  2020__Doyon_Limited__2020_Doyon_Limited_Updated_Annual_Report_11-08-21__eb25c0d2
ok   5.3s pages=  5 chars=   5939  2022__Arctic_Slope_Regional_Corporation__2022_Arctic_Slope_Annual_Report_4-28-23
ok   5.8s pages=  5 chars=    213  2022__Cook_Inlet_Region_Inc.___2022_CIRI_Annual_Report_4-14-23__e0d62526.pdf
ok   5.8s pages=  5 chars=    157  2022__Cook_Inlet_Region_Inc.___2022_CIRI_Annual_Report_4.14.23_2__5036f962.pdf
ok   3.2s pages=  4 chars=    772  2016__Chugach_Alaska_Corporation__2016_Chugach_Annual_Report_rec._7-17-17__d6ee5
ok   2.2s pages=  4 chars=    286  2018__Bristol_Bay_Native_Corporation__2018_Bristol_Bay_Annual_Report_8-17-18__07
ok   6.6s pages=  4 chars=     94  2018__Chugach_Alaska_Corporation__2018_Chugach_Annual_Report_6-28-19__6997f99a.p
ok   5.1s pages=  4 chars=    212  2018__NANA_Regional_Corporation_Inc.__2018_NANA_Annual_Report_2-11-19__190b02db.
ok   4.0s pages=  4 chars=   3354  2018__NANA_Regional_Corporation_Inc.__2018_NANA_Regional_Corporation_-_Annual_Me
ok  14.6s pages=  4 chars=    176  2020__Aleut_Corporation__2020_Aleut_Annual_Report_9-1-2020__6465b61d.pdf
ok  10.2s pages=  4 chars=     78  2020__Chugach_Alaska_Corporation__2020_Chugach_Corporation_Annual_Report_07-06-2
ok   7.5s pages=  4 chars=   1084  2020__Doyon_Limited__2020_Doyon_Annual_Report_1-29-21__1e8af2cf.pdf
ok   1.4s pages=  4 chars=    114  2021__NANA_Regional_Corporation_Inc.__2021_NANA_Annual_Meeting_Minutes_2.9.2022_
ok   3.9s pages=  4 chars=    213  2024__Aleut_Corporation__2024_Aleut_Annual_Report_8-16-24__44364200.pdf
MuPDF error: format error: No common ancestor in structure tree

ok  14.5s pages=  4 chars=   5425  2024__Chugach_Alaska_Corporation__2024_Chugach_Annual_Report_6-11-25__df794ef7.p
MuPDF error: format error: No common ancestor in structure tree

ok  17.3s pages=  4 chars=   5414  2024__Chugach_Alaska_Corporation__2024_Chugach_Annual_Report_6-23-25__0f0e0e5a.p
ok   3.4s pages=  4 chars=     69  2024__Koniag_Inc.__2024_Koniag_Annual_Report_8-19-24__ee01f770.pdf
ok   2.5s pages=  4 chars=     48  2024__Sealaska_Corporation__2024_Sealaska_Annual_Report_5-2-25__4c8f3297.pdf
ok   7.5s pages=  4 chars=    262  2025__Aleut_Corporation__2025_Aleut_Corporation_Annual_Report_8-29-2025__9e292af
ok   2.4s pages=  3 chars=    173  2017__NANA_Regional_Corporation_Inc.__2017_NANA_-_Annual_Report_02-02-18__8acc3e
ok   5.4s pages=  3 chars=    101  2019__Chugach_Alaska_Corporation__2019_Chugach_Annual_Report_6-26-2020__e6fc1e4d
ok   4.8s pages=  3 chars=    200  2020__Calista_Corporation__2020_Calista_Annual_Report_5-21-21__b0419760.pdf
ok   3.3s pages=  3 chars=    107  2021__NANA_Regional_Corporation_Inc.__2021_NANA_Annual_Report_2.9.2022__6024abbb
ok   3.2s pages=  3 chars=     54  2022__Koniag_Inc.__2022_Koniag_Annual_Report_08-19-22__5e3294bd.pdf
ok   4.3s pages=  3 chars=     72  2023__Cook_Inlet_Region_Inc.___2023_CIRI_Annual_Report_4-16-24__420dc4e1.pdf
ok   6.9s pages=  3 chars=    267  2023__Doyon_Limited__2023_Doyon_Annual_Report_1-24-24__9f27a9b9.pdf
ok   4.9s pages=  3 chars=      0  2023__Koniag_Inc.__2023_Koniag_Annual_Report_9-01-23_2__589cce03.pdf
ok   2.2s pages=  3 chars=      0  2023__Koniag_Inc.__2023_Koniag_Annual_Report_9-01-23__aade8967.pdf
ok  11.7s pages=  3 chars=    240  2024__Ahtna_Inc.__2024_Ahtna_Annual_Report_5-07-25__f083b592.pdf
ok   9.4s pages=  3 chars=     90  2024__Bering_Straits_Native_Corporation__2024_Bering_Straits_Annual_Report_8-12-
ok   2.6s pages=  3 chars=    197  2025__Doyon_Limited__2025_Doyon_Limited_Annual_Report_1-21-2026__ab12daf8.pdf
ok   5.9s pages=  3 chars=   3243  2025__Koniag_Inc.__2025_Koniag_Inc._Annual_Report_8-27-2025_2__d49f7e64.pdf
ok   6.0s pages=  3 chars=   3243  2025__Koniag_Inc.__2025_Koniag_Inc._Annual_Report_9-11-2025_1__2cae55f9.pdf
ok   2.6s pages=  2 chars=    176  2017__Doyon_Limited__2017_Doyon_Limited_Annual_Report_Rec._1-26-2018__ce6f975e.p
ok   3.5s pages=  2 chars=    729  2017__Koniag_Inc.__2017_Koniag_Annual_Report_8-16-17__45a79f5f.pdf
ok   3.0s pages=  2 chars=    203  2018__Aleut_Corporation__2018_Aleut_Annual_Report_10-17-18__bf712d9c.pdf
ok   3.0s pages=  2 chars=    122  2018__Doyon_Limited__2018_Doyon_Annual_Report_1-24-19__1a06fadb.pdf
MuPDF error: format error: No common ancestor in structure tree

ok   3.5s pages=  2 chars=     71  2019__Ahtna_Inc.__2019_Ahtna_Annual_Report_4-20-2020__6cd69da0.pdf
ok   4.2s pages=  2 chars=     28  2019__Doyon_Limited__2019_Doyon_Annual_Report_1-29-20__ba919926.pdf
ok   3.5s pages=  2 chars=    184  2020__Bering_Straits_Native_Corporation__2020_Bering_Straits_Settlement_Trust_Fi
ok   3.9s pages=  2 chars=     75  2020__NANA_Regional_Corporation_Inc.__2020_NANA_Annual_Report_2-11-2021__a1c6b0e
ok   0.9s pages=  2 chars=     86  2020__Sealaska_Corporation__2020_Sealaska_Annual_Report-05-05-21__31ef0970.pdf
