=== OCR START 17:01:39  files=64 pages=629
ok  88.2s pages= 56 chars= 117413  2019__Sitnasuak_Native_Corporation__2019_Sitnasuak_Annual_Report_6-19-2020__c805
ok  80.6s pages= 52 chars=  43516  2016__Ukpeagvik_Inupiat_Corporation__2016_Ukpeagvik_Inupiat_Annual_Report_Rec._5
ok  66.9s pages= 39 chars=  97484  2017__Huna_Totem_Corporation__2017_Huna_Totem_Annual_Report-04-18-18__24feb683.p
ok  43.6s pages= 39 chars=  73588  2021__Tikigaq_Corporation__2021_Tikigaq_Annual_Report_05-04-22__6e38fa02.pdf
ok  40.4s pages= 36 chars=  64253  2017__Ukpeagvik_Inupiat_Corporation__2017_Ukpeagvik_Inupiat_financials_2016_001_
ok  29.0s pages= 22 chars=  47302  2017__Tikigaq_Corporation__2017_Tikigaq_-_Annual_Report__Rec._2-16-18__7561e745.
ok  17.3s pages= 12 chars=  15069  2024__Ukpeagvik_Inupiat_Corporation__2024_UIC_Finacial_Statements_5-2-25__5___c0
ok  10.0s pages= 10 chars=   7170  2019__Sitnasuak_Native_Corporation__2019_Sitnasuak_Trust_Annual_Report_6-19-20__
ok  99.9s pages= 55 chars= 122903  2022__Huna_Totem_Corporation__2022_Huna_Totem_Annual_Report_4-26-23__fe9d88fc.pd
ok  62.1s pages= 34 chars=  80722  2022__Sitnasuak_Native_Corporation__2022_Sitnasuak_Annual_Report_5-22-2023__eb20
ok  60.5s pages= 32 chars=  68555  2021__Sitnasuak_Native_Corporation__2021_Sitnasuak_Native_Corp._Annual_Report_05
ok  21.1s pages= 15 chars=    682  2019__Huna_Totem_Corporation__2019_Huna_Totem_Annual_Report_6-23-2020__504f0d78.
ok  34.0s pages= 13 chars=    809  2025__Huna_Totem_Corporation__2025_Huna_Totem_Corporation_Annual_Report_5-1-2026
ok  22.5s pages= 13 chars=    843  2025__Huna_Totem_Corporation__2025_Huna_Totem_Corporation_Annual_Report_5-8-2026
ok  20.2s pages= 12 chars=  11982  2016__Goldbelt_Incorporated__2016_Goldbelt_-_ANNUAL_REPORT_REC._5-5-17__b3ac56d9
ok  18.4s pages= 12 chars=    647  2020__Huna_Totem_Corporation__2020_Huna_Totem_Annual_Report_4-28-21__e365246d.pd
ok  18.7s pages= 12 chars=    647  2020__Huna_Totem_Corporation__2020_Huna_Totem_Annual_Report_4-29-21__d6f9831b.pd
ok  18.4s pages= 12 chars=    647  2020__Huna_Totem_Corporation__2020_Huna_Totem_Annual_Report__970c329a.pdf
ok  34.0s pages= 12 chars=    462  2024__Huna_Totem_Corporation__2024_Huna_Totem_Annual-Report_5-07-25__3a657eff.pd
ok   8.2s pages=  9 chars=    399  2021__Goldbelt_Incorporated__2021_Goldbelt_Annual_Report_05-20-22__f517bc18.pdf
ok   9.7s pages=  8 chars=    317  2025__Ukpeagvik_Inupiat_Corporation__2025_Ukpeagvik_Inupiat_Corporation_Annual_R
ok   9.4s pages=  7 chars=    285  2022__Ukpeagvik_Inupiat_Corporation__2022_Ukpeagvik_Inupiat_Annual_Report_4-24-2
ok  12.9s pages=  7 chars=    302  2023__Ukpeagvik_Inupiat_Corporation__2023_UIC_Annual_Report_5-3-24__47f31f57.pdf
ok  17.5s pages=  6 chars=    226  2017__Sitnasuak_Native_Corporation__2017_Sitnasuak_Annual_Report_7-27-18__cf9c3f
ok   5.4s pages=  6 chars=    192  2021__Ukpeagvik_Inupiat_Corporation__2021_Ukpeagvik_Inupiat_Annual_Report_04-18-
ok  16.9s pages=  6 chars=    264  2023__Goldbelt_Incorporated__2023_Goldbelt_Annual_Report_5-24-24__7e2af69d.pdf
ok  17.4s pages=  6 chars=    264  2023__Goldbelt_Incorporated__2023_Goldbelt_Annual_Report_5-24-24__c0ae4a6f.pdf
ok  21.0s pages=  6 chars=    392  2024__Ukpeagvik_Inupiat_Corporation__2024_UIC_Annual_Report_5-2-25__5fc65cf8.pdf
ok  10.0s pages=  5 chars=    150  2016__Sitnasuak_Native_Corporation__2016_Sitnasuak_Annual_Report_4-21-17__52ff8c
ok   8.7s pages=  5 chars=    191  2018__Goldbelt_Incorporated__2018_Goldbelt_Annual_Report_5-21-19__e3a29202.pdf
ok   4.7s pages=  5 chars=    101  2020__Goldbelt_Incorporated__2020_Goldbelt_Annual_Report_05-21-21__19d18712.pdf
ok   1.7s pages=  4 chars=     76  2018__Huna_Totem_Corporation__2018_Huna_Totem_Annual_Report_04-17-19__08cc17b6.p
ok   4.3s pages=  4 chars=    176  2023__Sitnasuak_Native_Corporation__2023_Sitnasuak_Annual_Report_5-21-24__eb92cc
ok   3.5s pages=  4 chars=    677  2025__Sitnasuak_Native_Corporation__2025_Sitnasuak_Native_Corporation_Annual_Rep
ok   5.9s pages=  4 chars=   7343  2026__Olgoonik_Corporation__2026_Olgoonik_Corporation_Proxy_Statement_and_2025_C
ok   1.8s pages=  3 chars=    162  2017__Olgoonik_Corporation__2017_Olgoonik_Annual_Report_7-2-2018__31c7b6a4.pdf
ok   4.0s pages=  3 chars=    168  2019__Ukpeagvik_Inupiat_Corporation__2019_Ukpeagvik_Inupiat_Annual_Report_5-12-2
ok   3.6s pages=  3 chars=   5374  2021__Kuukpik_Corporation__2021_Kuukpik_Corp._Consolidated_Financials_06-01-22__
ok   2.4s pages=  3 chars=      0  2025__Goldbelt_Incorporated__2025_Goldbelt_Incorporated_Annual_Report_7-8-2026__
ok   2.2s pages=  2 chars=    108  2017__Goldbelt_Incorporated__2017_Goldbelt_Annual_Report_6-20-18__078aa6eb.pdf
ok   2.9s pages=  2 chars=     48  2018__Sitnasuak_Native_Corporation__2018_Sitnasuak_-__Annual_Report_SNC_optimize
ok   3.0s pages=  2 chars=     57  2018__Sitnasuak_Native_Corporation__2018_Sitnasuak_Annual_Report_4-23-19__061e8a
ok   2.7s pages=  2 chars=    147  2018__Ukpeagvik_Inupiat_Corporation__2018_Ukpeagvik_Inupiat_Annual_Report_5-2-19
ok   1.6s pages=  2 chars=    765  2020__Sitnasuak_Native_Corporation__2020_Sitnasuak_Native_Corporation_Annual_Rep
ok   1.7s pages=  2 chars=     76  2020__Ukpeagvik_Inupiat_Corporation__2020_Ukpeagvik_Inupiat_Annual_Report_4-16-2
ok   4.0s pages=  2 chars=     83  2021__Huna_Totem_Corporation__2021_Huna_Totem_Annual_Report_04-27-22__a66739d1.p
ok   9.7s pages=  2 chars=     77  2022__Goldbelt_Incorporated__2022_Goldbelt_Annual_Report_5-19-2023__87384f92.pdf
ok   8.6s pages=  2 chars=     67  2023__Huna_Totem_Corporation__2023_Huna_Totem_Annual_Report_5-8-24__4ebf48b7.pdf
ok   8.5s pages=  2 chars=     67  2023__Huna_Totem_Corporation__2023_Huna_Totem_Annual_Report_Final_5-9-24__2bb470
ok   0.9s pages=  2 chars=    141  2023__Kuukpik_Corporation__2023_Kuukpik_Annual_Report_6-13-2023__139a7db6.pdf
ok   3.8s pages=  2 chars=     36  2025__Sitnasuak_Native_Corporation__2025_Sitnasuak_Native_Corporation_Trust_Annu
ok   1.5s pages=  1 chars=    120  2016__Huna_Totem_Corporation__2016_Huna_Totem_Annual_Report_04-19-17__e2ed129c.p
ok   1.4s pages=  1 chars=    102  2016__Olgoonik_Corporation__2016_Olgoonik_Annual_Report_Rec._5-12-17__7df6b8b5.p
ok   1.2s pages=  1 chars=     76  2018__Huna_Totem_Corporation__2018_Huna_Totem_Annual_Report_04-17-19__2___37ca0b
ok   0.7s pages=  1 chars=     40  2019__Goldbelt_Incorporated__2019_Goldbelt_Annual_Report_5-22-2020__e5a1c7b7.pdf
ok   2.3s pages=  1 chars=     30  2019__Olgoonik_Corporation__2019_Olgoonik_Annual_Report_5-4-2020__3ba6f565.pdf
ok   2.9s pages=  1 chars=     98  2020__Olgoonik_Corporation__2020_Olgoonik_Annual_Report_4-26-21__644381b9.pdf
ok   2.9s pages=  1 chars=     66  2021__Olgoonik_Corporation__2021_Olgoonik_Annual_Report_05-05-22__005bc50d.pdf
ok   5.2s pages=  1 chars=     43  2022__Olgoonik_Corporation__2022_Olgoonik_Annual_Report_5-01-23__a14b1aba.pdf
ok   0.4s pages=  1 chars=      0  2022__Ukpeagvik_Inupiat_Corporation__2022-2021_Ukpeagvik_Inupiat_Audited_Financi
