cedar_uid,handle,canonical_name,entity_class,minted,register_status
CE-00001-6S,AKNF-ACSRMT-00-CALSTA-ASVCPR,Asa'carsarmiut,Federally recognized Alaska Native Village,2026-09-01,active
CE-0004W-WW,AKNF-PDROBY-00-BRBYCO-BRBYAS,Pedro Bay,Federally recognized Alaska Native Village,2026-09-01,active
CE-0009R-X8,ANVC-KNGNKL-00,Kongnikilnomuit Yuita Corporation,Alaska Native Village Corporation,2026-09-01,active
CE-000EK-RV,BIE-FRSTMS-00,First Mesa Elementary School,BIE School,2026-09-01,active
CE-000KF-S7,CDFI-EAGLEB-00,Eagle Bank,Native Financial Institution,2026-09-01,active
CE-000RA-MT,ITO-CNTRFR-00,National Center for American Indian Enterprise Development,Intertribal Organization,2026-09-01,active
CE-000X6-N6,NHO-KMLLNL-00,Kamiloloa One Ali‘i Homestead Association,Native Hawaiian Organization,2026-09-01,active
CE-0011E-XQ,TCU-RDLKNT-00,Red Lake Nation College,Tribal College or University,2026-09-01,active
CE-0016A-Y3,TRBF-LRIVER-00,Little River,Federally recognized tribe,2026-09-01,active
CE-001B5-SP,TRBF-TABLEM-00,Table Mountain,Federally recognized tribe,2026-09-01,active
