contract_number,fiscal_year,awardee_name,awardee_uei,parent_name,canonical_name,total_obligations,setaside,funding_agency,confidence_tier,cedar_uid
DADA1098C0035,2000,Ahtna Development Corporation,E9RFCFGGG645,Ahtna Incorporated,"Ahtna, Incorporated",1108847.0,8(a),Dept Of Defense,B,CE-00076-76
N0017822F3009,2023,"BOWHEAD PROGRAM MANAGEMENT & OPERATIONS, LLC",EN8CWLG3K8N7,"BOWHEAD PROGRAM MANAGEMENT & OPERATIONS, LLC",Ukpeaġvik Iñupiat Corporation,197823.0,Small Business,Dept Of Defense,B,CE-0009Z-7Q
SPE8E325FB6SU,2025,ASRC FEDERAL FACILITIES LOGISTICS LLC,NENSLR2C1VH9,ARCTIC SLOPE REGIONAL CORPORATION,Arctic Slope Regional Corporation,209.2,None reported,Dept Of Defense,A,CE-00078-KR
W911QY08P0727,2008,"GOLDBELT RAVEN, L.L.C.",X3L2G9FYNA73,"GOLDBELT, INCORPORATED","Goldbelt, Incorporated",6001.83,None reported,Dept Of Defense,A,CE-0008Y-WE
0098,2010,"TATITLEK CONTRACTORS, INC.",SAWNGAJN4TT3,THE TATITLEK CORPORATION,The Tatitlek Corporation,339991.46,8(a),Dept Of Defense,A,CE-000CF-PQ
0006,2012,MA-CHIS KAWV IV LLC,KMXSNJ8ENKA3,MA-CHIS KAWV IV LLC,Ma-Chis Lower Creek Indian Tribe of Alabama,142828.0,Small Business,Dept Of Defense,A,CE-001DM-XD
SBA0001,2014,"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",NWHJUNND4N88,"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",Cherokee Nation,18800.0,None reported,Small Business Administration,A,CE-00134-BX
0003,2016,"MA-CHIS KAWV V, LLC",JMZCC81BA3F1,"MA-CHIS KAWV V, LLC",Ma-Chis Lower Creek Indian Tribe of Alabama,9139.0,8(a),Dept Of Defense,A,CE-001DM-XD
1264R418D0006,2019,CARL POTTER FORESTRY INC,SNBNHEXFKGJ9,CARL POTTER FORESTRY INC,Potter Valley,0.0,Small Business,Forest Service,B,CE-0018T-8K
FA255021C0022,2021,"FOUR TRIBES ENTERPRISES, LLC",H15YNL5CB4G1,"FOUR TRIBES ENTERPRISES, LLC",Te-Moak,1819277.73,8(a),Dept Of Defense,B,CE-001B8-B1
