consultation_event_id,notice_date,agency,consultation_type,topic,tribe_name,participant_name_as_published,participant_role,match_method,confidence,tier,format,comment_deadline,federal_register_citation,source_url
CONS-FR-2013-08371,2013-04-10,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: Central Washington University, Ellensburg, WA",Confederated Colville,Confederated Tribes of the Colville Reservation,consulted,fr_official_name,high,B,,2013-05-10,78 FR 21401,https://www.federalregister.gov/documents/2013/04/10/2013-08371/notice-of-inventory-completion-central-washington-university-ellensburg-wa
CONS-FR-2014-11236,2014-05-15,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: University of Wisconsin-Madison, Department of Anthropology, Madison, WI",Ho-Chunk,Ho-Chunk Nation of Wisconsin,consulted,fr_official_name,high,B,,2014-06-16,79 FR 27922,https://www.federalregister.gov/documents/2014/05/15/2014-11236/notice-of-inventory-completion-university-of-wisconsin-madison-department-of-anthropology-madison-wi
CONS-FR-2015-05981,2015-03-16,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: Columbia University, Department of Anthropology, New York, NY",Rosebud,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",consulted,fr_official_name,high,B,,2015-04-15,80 FR 13602,https://www.federalregister.gov/documents/2015/03/16/2015-05981/notice-of-inventory-completion-columbia-university-department-of-anthropology-new-york-ny
CONS-FR-2016-12748,2016-06-01,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Canyon de Chelly National Monument, Chinle, AZ",Hopi,Hopi Tribe of Arizona,consulted,fr_official_name,high,B,,2016-07-01,81 FR 35044,https://www.federalregister.gov/documents/2016/06/01/2016-12748/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-canyon-de-chelly
CONS-FR-2017-22434,2017-10-17,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of Defense, Defense Health Agency, National Museum of Health and Medicine, Silver Spring, MD",The Seminole Nation of Oklahoma,Seminole Nation of Oklahoma,consulted,government_class_core,medium,B,,2017-11-16,82 FR 48249,https://www.federalregister.gov/documents/2017/10/17/2017-22434/notice-of-inventory-completion-us-department-of-defense-defense-health-agency-national-museum-of
CONS-FR-2018-22601,2018-10-17,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: University of California, Davis, Davis, CA, and U.S. Bureau of Reclamation, Mid-Pacific Region, Sacramento, CA",Greenville,Greenville Rancheria,invited_did_not_participate,fr_official_name,high,B,,2018-11-16,83 FR 52530,https://www.federalregister.gov/documents/2018/10/17/2018-22601/notice-of-inventory-completion-university-of-california-davis-davis-ca-and-us-bureau-of-reclamation
CONS-FR-2019-09037,2019-05-03,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: The San Diego Museum of Man, San Diego, CA",Campo,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",consulted,fr_official_name,high,B,,2019-06-03,84 FR 19109,https://www.federalregister.gov/documents/2019/05/03/2019-09037/notice-of-inventory-completion-the-san-diego-museum-of-man-san-diego-ca
CONS-FR-2020-12549,2020-06-10,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: The Field Museum of Natural History, Chicago, IL",Pueblo of Sandia,"Pueblo of Sandia, New Mexico",consulted,fr_official_name,high,B,,2020-07-10,85 FR 35433,https://www.federalregister.gov/documents/2020/06/10/2020-12549/notice-of-inventory-completion-the-field-museum-of-natural-history-chicago-il
CONS-FR-2021-11121,2021-05-26,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: San Juan County Museum Association DBA Salmon Ruins Museum, Bloomfield, NM",Pueblo of Nambe,"Pueblo of Nambe, New Mexico",invited_did_not_participate,fr_official_name,high,B,,2021-06-25,86 FR 28378,https://www.federalregister.gov/documents/2021/05/26/2021-11121/notice-of-inventory-completion-san-juan-county-museum-association-dba-salmon-ruins-museum-bloomfield
CONS-FR-2022-08361,2022-04-20,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: Beloit College, Logan Museum of Anthropology, Beloit, WI",Sokaogon,"Sokaogon Chippewa Community, Wisconsin",consulted,fr_official_name,high,B,,2022-05-20,87 FR 23564,https://www.federalregister.gov/documents/2022/04/20/2022-08361/notice-of-inventory-completion-beloit-college-logan-museum-of-anthropology-beloit-wi
