registrant_id,registrant_name,registrant_city,registrant_state,n_filings_native_clients,n_native_clients,n_distinct_native_entities,native_entity_classes,first_filing_year_corpus,last_filing_year_corpus
36127,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP","Washington, D.C.",DC,1858,55,55,Federally recognized tribe:50|Federal-level self-governance consortium:2|Federally recognized Alaska Native Village:1|Federal-level constituency entity:1|Alaska Native Regional Corporation:1,1999,2026
317732,FRANKLIN CREEK CONSULTING,Washington,DC,148,6,6,Federally recognized tribe:6,2007,2026
30212,"OLSSON, FRANK, WEEDA, TERMAN & MATZ, PC",Washington,DC,72,1,1,Federally recognized tribe:1,1999,2020
401063997,GRTYREE CONSULTING LLC,Washington,DC,40,1,1,Federally recognized tribe:1,2013,2022
84115,THE KITTO LAW FIRM,WASHINGTON,DC,26,6,6,Federally recognized tribe:6,2003,2008
73817,STEPHEN GRAHAM,BOSTON,MA,18,1,1,Federally recognized tribe:1,2002,2009
48598,METCALF FEDERAL RELATIONS,Alexandria,VA,12,1,1,Federally recognized tribe:1,2002,2007
288453,KEEPTHECHANGELLC,Washington,DC,7,2,2,Federally recognized tribe:2,2005,2007
2194,AMERICAN DEFENSE INTERNATIONAL,Washington,DC,5,1,1,Federally recognized tribe:1,2017,2026
83978,"WELCH RESOURCES, INC.",Brookhaven,MS,4,1,1,Federally recognized tribe:1,2005,2005
