document_number,publication_date,notice_type,institution_name,institution_city,institution_state,mni_total_stated,mni_basis,removal_states,n_affiliated_named,n_affiliated_resolved,affiliated_entity_ids,repatriation_eligible_date,agency_names,html_url
94-27079,1994-11-02,inventory_completion,Rome Historical Society,Rome,NY,,no_mni_stated,NY,1,1,TRBF-ONDANY-00,,Interior Department,https://www.federalregister.gov/documents/1994/11/02/94-27079/notice-of-inventory-completion-for-native-american-human-remains-from-blossvale-ny-in-the-possession
02-23136,2002-09-12,inventory_completion,"Phoebe A. Hearst Museum of Anthropology, University of California, Berkeley",Berkeley,CA,,no_mni_stated,AZ,3,3,TRBF-GILARV-00|TRBF-QUECHN-00|TRBF-SRPMCP-00,,Interior Department; National Park Service,https://www.federalregister.gov/documents/2002/09/12/02-23136/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects-in
E8-28006,2008-11-25,inventory_completion,"Phoebe A. Hearst Museum of Anthropology, University of California, Berkeley",Berkeley,CA,77,determinations_finding,CA,8,8,TRBF-AUBURN-00|TRBF-BNVSTA-00|TRBF-CHCKNR-00|TRBF-CHRAEH-00|TRBF-IONEBD-00|TRBF-JCKMWK-00|TRBF-SHSMWK-00|TRBF-TUOLMN-00,,Interior Department; National Park Service,https://www.federalregister.gov/documents/2008/11/25/E8-28006/notice-of-inventory-completion-phoebe-a-hearst-museum-of-anthropology-university-of-california
2013-18273,2013-07-30,inventory_completion,University of Denver Museum of Anthropology,Denver,CO,1,determinations_finding,NM,0,0,,,Interior Department; National Park Service,https://www.federalregister.gov/documents/2013/07/30/2013-18273/notice-of-inventory-completion-university-of-denver-museum-of-anthropology-denver-co
2017-20294,2017-09-22,intent_to_repatriate,"Cultural Items: U.S. Army Corps of Engineers, Omaha District",Omaha,NE,,no_mni_stated,SD,1,1,TRBF-MHATAT-00,,Interior Department; National Park Service,https://www.federalregister.gov/documents/2017/09/22/2017-20294/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne
2021-10656,2021-05-20,inventory_completion,"University of Wisconsin-Madison, Department of Anthropology",Madison,WI,1,determinations_finding,WI,0,0,,,Interior Department; National Park Service,https://www.federalregister.gov/documents/2021/05/20/2021-10656/notice-of-inventory-completion-university-of-wisconsin-madison-department-of-anthropology-madison-wi
2023-17785,2023-08-18,inventory_completion,Santa Barbara Museum of Natural History,Santa Barbara,CA,1,determinations_finding,CA,2,2,TRBF-GRATON-00|TRBF-GUIDIV-00,2023-09-18,Interior Department; National Park Service,https://www.federalregister.gov/documents/2023/08/18/2023-17785/notice-of-inventory-completion-santa-barbara-museum-of-natural-history-santa-barbara-ca
2024-16705,2024-07-30,inventory_completion,"University of Tennessee, Department of Anthropology",Knoxville,TN,59,determinations_finding,TN,3,3,TRBF-CHKNAT-00|TRBF-ESTCHK-00|TRBF-UKEETW-00,2024-08-29,Interior Department; National Park Service,https://www.federalregister.gov/documents/2024/07/30/2024-16705/notice-of-inventory-completion-university-of-tennessee-department-of-anthropology-knoxville-tn
2025-08780,2025-05-16,inventory_completion,"South Carolina Institute of Archaeology and Anthropology, Columbia, SC; South Carolina Department of Parks, Recreation, and Tourism, Columbia, SC; South Carolina State Museum, Columbia, SC; U.S. Department of the Interior, Fish and Wildlife Service, Pinckney Island National Wildlife Refuge, Hardeeville, SC, and Santee National Wildlife Refuge, Summerton, SC; University of North Carolina at Chapel Hill, Research Laboratories of Archaeology, Chapel Hill, NC; and Yale Peabody Museum",New Haven,CT,252,determinations_finding,NC|SC,7,7,TRBF-CATWBA-00|TRBF-CHKNAT-00|TRBF-ESTCHK-00|TRBF-MSENAT-00|TRBF-POARCH-00|TRBF-SHAWNT-00|TRBF-UKEETW-00,2025-06-16,Interior Department; National Park Service,https://www.federalregister.gov/documents/2025/05/16/2025-08780/notice-of-inventory-completion-south-carolina-institute-of-archaeology-and-anthropology-columbia-sc
2026-00060,2026-01-07,inventory_completion,"Peabody Museum of Archaeology and Ethnology, Harvard University",Cambridge,MA,1,determinations_finding,,1,1,TRBF-MESAGR-00,2026-02-06,Interior Department; National Park Service,https://www.federalregister.gov/documents/2026/01/07/2026-00060/notice-of-inventory-completion-peabody-museum-of-archaeology-and-ethnology-harvard-university
