business_name_raw,certifying_authority_name,programme_name,identity_scope,directory_type,city,state_province,certification_expiration,source_terms_status,publishable
7Th Gen Contractors Llc,Tulalip Tribes,TERO Native American Owned Business (NAOB) Registry,any_native,tero,Spokane,WA,,TERMS_STATED_NO_REUSE_RESTRICTION,Y
ARLEE MASSAGE CLINIC,Confederated Salish & Kootenai Tribes,Indian Preference Office - Indian Preference Business List,enrolled_member_cskt,tero,ARLEE,MT,04/29/2027,SILENT,Y
"Betty Jackson Counseling Services, PC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,,,,SILENT,Y
"Global Veterans Solutions, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,,,,SILENT,Y
"Mother Earth Eco Enterprises, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,,,,SILENT,Y
"Sugartree Nursery, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,,,,SILENT,Y
Native Brother Services LLC,Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,any_native,tero,,,,SILENT,Y
"Thank God It's Frybread ""TGIF""",Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),any_native,business_licence,,,4/16/2027,SILENT,Y
Portage Glacier Cruises,"Doyon, Limited",Doyon Operations - family of companies,parent_asserted_subsidiary,subsidiary_directory,,,,SILENT,Y
"Native Comfort Heat and Air, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,any_native,tero,Collinsville,OK,,SILENT,Y
