enterprise_id,enterprise_name,owner_hub_cedar_uid,owner_hub_name,owner_class,relationship,sector,status,city,state_province,uei,uei_candidate,identifier_status,in_federal_contracting,assertion_class,n_distinct_sources,source_url
CEDAR-NEST-000005-YX,CP Marine LLC,CE-0006B-0K,Tlingit & Haida,tribal_government,subsidiary,,operating,JUNEAU,Alaska,,RFVGJGX8H5A8,cedar_minted_only,Y,OWNERSHIP,1,https://www.goldbelt.com/directory/
CEDAR-NEST-000167-3Z,ASRC Federal Vistronix,CE-00078-KR,Arctic Slope Regional Corporation,alaska_native_corporation,subsidiary,"Software, Apps & Analytics , Digital Ops & IT Modernization",operating,RESTON,Virginia,XPRKVQ956WB4,,external_identifier,Y,OWNERSHIP,2,https://www.asrcfederal.com/companies/
CEDAR-NEST-000288-DG,"CCI Facility Support Services, LLC",CE-0007A-ZA,Bristol Bay Native Corporation,alaska_native_corporation,majority_owned,Construction,operating,MILILANI,Hawaii,,F3K5XLHUQ3H3,cedar_minted_only,Y,OWNERSHIP,2,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-000400-WG,"Brice Civil Constructors, Inc",CE-0007B-53,Calista Corporation,alaska_native_corporation,wholly_owned,Construction,operating,MORGAN CITY,Louisiana,,K2Q3XMQ7N7Y7,cedar_minted_only,Y,OWNERSHIP,3,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-000590-EY,Alutiiq LLC,CE-0007J-FJ,Afognak Native Corporation,alaska_native_corporation,subsidiary,,operating,ANCHORAGE,Alaska,,QDQYPJR2LA43,cedar_minted_only,N,OWNERSHIP,1,https://afognak.com/corporation/our-businesses/
CEDAR-NEST-000710-JP,"Six Mile, LLC",CE-0008X-PN,"Gana-A'Yoo, Ltd.",alaska_native_corporation,wholly_owned,,operating,ANCHORAGE,Alaska,,GB9VB4RGAN65,cedar_minted_only,Y,OWNERSHIP,2,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-000867-SV,"Northern Lights Manor, LLC",CE-000A0-J0,The Kuskokwim Corporation,alaska_native_corporation,wholly_owned,,operating,,AK,,,cedar_minted_only,N,OWNERSHIP,2,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-000962-2J,"HZB, Inc",CE-000BA-KA,Ouzinkie Native Corporation,alaska_native_corporation,wholly_owned,,operating,,AK,,,cedar_minted_only,N,OWNERSHIP,2,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-001037-JE,"Togiak Fuel Distributors, LLC",CE-000CK-EV,"Togiak Natives, Ltd.",alaska_native_corporation,wholly_owned,,operating,,AK,,,cedar_minted_only,N,OWNERSHIP,2,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing)
CEDAR-NEST-001155-AM,"Broadleaf, Inc",CE-000W4-44,"The Hawai'i Pacific Foundation, Inc.",native_hawaiian_organization,subsidiary,,unknown,RESTON,Virginia,DGA4AQ4DJYY9,,external_identifier,Y,OWNERSHIP,1,https://www.softpowersolutions.com/our/
