newsletter_id,publisher_name,cedar_uid,entity_class,state,record_status,publication_name,channel_type,channel_url,format,issue_cadence,archive_earliest_year,archive_latest_year,archive_depth_n_issues,back_issues_open,business_content,discovery_technique,retrieved_date
NLTR-CE-00118-S1-9c9bc0ea,Aaniiih Nakoda College,CE-00118-S1,Tribal College or University,MT,publication_channel,,news_page,https://www.ancollege.edu/news,HTML page (no feed or REST API exposed),undetermined (no dated index retrieved),,,1,,no,"rendered homepage links - fallback, nothing richer was exposed",2026-09-01
NLTR-EIN470924392-d56a391b,BRAIN INJURY ALLIANCE OF SOUTH DAKOTA,,Tribe-serving nonprofit (EIN 470924392),,publication_channel,,newsletter,https://braininjurysd.org/newsletter/,wordpress_blog; facebook_only,spans_2021_to_2024,2021,2024,10,,unknown,shard I nonprofit probe,2026-09-01
NLTR-CE-0013D-1Y-10b92ba9,Cold Springs,CE-0013D-1Y,Federally recognized tribe,CA,publication_channel,,newsletter,https://coldspringsrancheria.gov/wp-content/uploads/2024/11/Cold-Springs-Rancherias-October-2024-Newsletter.pdf,PDF issue,,2024,2025,17,,unknown,HIDDEN_DATA #3 wp-json media,2026-09-02
NLTR-CE-0014W-05-58d10f32,Hannahville,CE-0014W-05,Federally recognized tribe,MI,publication_channel,Island Resort & Casino e-Newsletter,newsletter,https://www.islandresortandcasino.com/e-newsletter,email-only signup,unknown,,,,uncertain,no PDF issue sampled,hand-verified tribal newspaper (shard B),2026-09-01
NLTR-CE-000WX-TN-6bf42e92,Kalihi Palama Hawaiian Civic Club,CE-000WX-TN,Native Hawaiian Organization,HI,publication_channel,,news_page,https://www.kalihipalama.org/feed/,RSS/Atom XML,,2022,2026,0,,yes,HIDDEN_DATA #13 feeds,2026-09-02
NLTR-CE-00165-06-2be3c86f,Lower Elwha,CE-00165-06,Federally recognized tribe,WA,publication_channel,Lower Elwha Klallam Tribe Newsletter,newsletter,https://www.elwha.org/newsletters/,PDF issues,monthly,2017,2026,91,yes,no PDF issue sampled,hand-verified tribal newspaper (shard B),2026-09-01
NLTR-CE-0017F-1G-3329111b,Navajo,CE-0017F-1G,Federally recognized tribe,AZ,publication_channel,Navajo Times - Diné bi Naaltsoos,newsletter,https://navajotimes.com/,HTML posts,,2026,2026,13,yes,yes,rendered page + hidden-endpoint sweep (shard C),2026-09-01
NLTR-CE-0018A-83-6f026866,Port Gamble,CE-0018A-83,Federally recognized tribe,WA,publication_channel,Press Releases - Port Gamble SKlallam Tribe,press_release,https://pgst.nsn.us/press-releases/,PDF issues; HTML posts,weekly; biweekly; annual,2022,2026,15,no,yes,rendered page + hidden-endpoint sweep (shard C),2026-09-01
NLTR-CE-0019T-D3-43e22e87,Santo Domingo,CE-0019T-D3,Federally recognized tribe,NM,publication_channel,,newsletter,https://santodomingopueblo.com/wp-content/uploads/2023/08/April2023_Newsletter_Electronic-1.pdf,PDF issue,,2022,2026,46,,unknown,HIDDEN_DATA #3 wp-json media,2026-09-02
NLTR-CE-00180-C9-e74f5be4,The Osage Nation,CE-00180-C9,Federally recognized tribe,OK,publication_channel,Osage News | Front Page - Osage News,newsletter,https://osagenews.org/,HTML posts,quarterly,2026,2026,6,yes,yes,rendered page + hidden-endpoint sweep (shard C),2026-09-01
