business_source_id,business_name_raw,certifying_authority_name,programme_name,identity_scope,directory_type,service_category_raw,naics,city,state_province,certification_expiration,source_last_updated,federal_uei_candidate,federal_identifier_match_status,source_terms_status,publishable
TBD-030:5196,7Th Gen Contractors Llc,Tulalip Tribes,TERO Native American Owned Business (NAOB) Registry,any_native,tero,CONSTRUCTION (Experience: 1 Year); Small Business?: True,,Spokane,WA,,,,no_match,TERMS_STATED_NO_REUSE_RESTRICTION,Y
TBD-043:1804,Richard Smoker Contracting,Eastern Band of Cherokee Indians,EBCI TERO Certified Vendor List,citizen,tero,Waste Collection,,Cherokee,NC,,,,no_match,SILENT,Y
TBD-045:2717,"B6 Construction, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,Construction-Commercial/General Contractor; Construction-Residential/General Contractor,,,,,,,no_match,SILENT,Y
TBD-045:2617,"FLS Concrete, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,Concrete,,,,,,,no_match,SILENT,Y
TBD-045:1669,"Marty's Backhoe, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,Concrete; Excavation; Septic Tank-Sales; Septic Tank-Service/Pumping/Installation; Trucking-Equipment/Material Transport; Waterline Installation; Water-Treatment Plants,,,,,,,no_match,SILENT,Y
TBD-045:2255,"Site Development Services, LLC",Cherokee Nation,Cherokee Nation TERO Directory,any_native,tero,Asphalt; Concrete; Construction-Metal Buildings/Framing; Drywall-Finishing/Installation; Excavation; Land Development-Commercial/Residential; Masonry,,,,,,,no_match,SILENT,Y
TBD-046:33,Chase' Em Resources,Three Affiliated Tribes (MHA Nation),MHA TERO Certified Indian Contractors,any_native,tero,,,,,,2026-06-17,,no_match,SILENT,Y
TBD-052:33,S & B Products,Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),any_native,business_licence,Beadwork,,,,2027-04-19,2026-09-01,,no_match,SILENT,Y
TBD-079:12,A New Creation Roofing & Construction,Muscogee (Creek) Nation,MCN CESO Vendor List,any_native,tero,"Cabinets-Installation, Ceilings-Drop, Ceilings-Sheetrock, Concrete-Curb/Guttering, Concrete-Driveways, Concrete-footing, Concrete-Pads/Flat Work, Concrete-Walls, Construction-Wood Framing, Drywall Finishing, Drywall Installation, Flooring-Installation, Painting, Powerwashing, Patio-Covers, Siding-Vinyl, Siding-Wood, Roofing-Gravel/Fiberglass Shingles, Roofing-Hot Asphalt/TPO, Roofing-Metal, Roofing-Wood Shingles",,Midwest City,OK,,2026-08-17,,no_match,SILENT,Y
TBD-079:209,"Native Wrecking Services, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,any_native,tero,"Excavation-Site Prep, Excavation-Snow Removal, Fire Restoration & Cleaning, Heavy Equipment-Moving/Setting, Sludge Removal, Tree Removal-Stump Grinding, Trucking-Equipment Transport",,Edmond,OK,,2026-08-17,,no_match,SILENT,Y
