subaward_number,fiscal_year,subaward_date,prime_name,sub_name,sub_state,subaward_amount,duplicate_status,direction,naics,prime_native_tribe_id,sub_native_tribe_id
060062S.01,2002,2001-10-21,"NORTH WIND SITE SERVICES, LLC",AGEISS INC,CO,272467.58,primary,a_native_as_prime,541330,ANRC-CKINLT-00,
DSC1318-01,2014,2014-06-02,"MACAULAY-BROWN, INC",PHANTOM EAGLE LLC,VA,191121.60,exact_repeat_within_source,b_native_as_subawardee,541712,,AKNF-VEAGLE-00-DOYONL-TNNACH
PA154001,2015,2015-07-23,"CHUGACH INDUSTRIES, INC.","GOVSMART, INC.",VA,27088.77,primary,a_native_as_prime,561210,ANRC-CHGCCO-00,
824-1706-002,2017,2017-08-15,"STORMWATER PLANS, LLC","TOMCO ELECTRIC, INC.",OR,262302.00,exact_repeat_within_source,a_native_as_prime,237310,ANVC-NTVSKD-00,
7500162063,2018,2018-07-13,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSION SOLUTIONS LLC,NJ,155444.69,exact_repeat_within_source,b_native_as_subawardee,541330,,ANRC-ARCSLO-00
20CVA02887,2019,2019-04-15,ALUTIIQ COMMERCIAL ENTERPRISES LLC,ATAP INC,AL,32553.60,exact_repeat_within_source,a_native_as_prime,561210,ANVC-AFOGNA-00,
80028,2019,2019-04-04,"NCI INFORMATION SYSTEMS, INC.","GC&E SYSTEMS GROUP, LLC",GA,897226.49,primary,b_native_as_subawardee,541512,,ANRC-BRBYCO-00
AS24-1792 1,2025,2024-12-12,"AGILE DECISION SCIENCES, LLC",DEFENSE ACQUISITION SUPPORT SERVICES LLC,MD,76480.00,primary,a_native_as_prime,541511,ANRC-ARCSLO-00,
637-01-04,2018,2017-11-13,"ASRC BUILDERS, LLC","FULLFORD ELECTRIC, INC.",AK,58922.46,exact_repeat_within_source,a_native_as_prime,561210,ANRC-ARCSLO-00,
SPO-21-1397,2021,2021-06-24,"WOLF CREEK FEDERAL SERVICES, INC.",THE SMITH & OBY SERVICE COMPANY,OH,30050.00,primary,a_native_as_prime,561210,ANRC-CHGCCO-00,
