cedar_uid,name,entity_class,name_source,name_source_label,name_source_url,name_captured,name_match_route,prior_canonical_name,name_differs_from_prior
CE-00001-6S,Asa'carsarmiut Tribe,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Asa'carsarmiut,1
CE-00002-CJ,Native Village of Afognak,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,canonical_name [BIA name minus generic prefix],Afognak,1
CE-00003-JB,Agdaagux Tribe of King Cove,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Agdaagux,1
CE-00004-R4,Akiachak Native Community,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Akiachak,1
CE-00005-YX,Native Village of Akhiok,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Akhiok,1
CE-00006-4P,Akiak Native Community,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Akiak,1
CE-00007-AF,Native Village of Akutan,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,canonical_name [BIA name minus generic prefix],Akutan,1
CE-00008-G8,Allakaket Village,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Allakaket,1
CE-00009-P1,Village of Alakanuk,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,canonical_name [BIA name minus generic prefix],Alakanuk,1
CE-0000A-WT,Alatna Village,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Alatna,1
CE-0000B-2K,Algaaciq Native Village (St. Mary's),Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,canonical_name [generic-word-stripped core name],Algaaciq,1
CE-0000C-8C,Native Village of Aleknagik,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Aleknagik,1
CE-0000D-E5,Alutiiq Tribe of Old Harbor,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Alutiiq,1
CE-0000E-MY,Native Village of Ambler,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Ambler,1
CE-0000F-TQ,Angoon Community Association,Federally recognized Alaska Native Village,bia_federal_register,"BIA, Indian Entities Recognized by and Eligible To Receive Services From the United States Bureau of Indian Affairs, 91 FR 4102",https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-01-30,federal_register_legal_name [exact],Angoon,1
