type_code,label,row_count,definition,example_uid_1,example_name_1,example_uid_2,example_name_2,statutory_basis,evidence_citation,confidence
Federally recognized tribe,Federally recognized tribe (lower 48 and non-village Alaska),349,"A tribal government on the Secretary of the Interior's list published under 25 U.S.C. 5131, EXCLUDING the Alaska Native villages, which Cedar holds as a separate class. It is the GOVERNMENT, not its companies: a tribal enterprise is a sub-hub of this entity, never a row of this class. It is NOT the whole federally recognized universe - 349 here plus 228 Alaska Native villages is 577, so quoting 349 as the federally recognized tribes understates it by 40%. NOT a state-recognized tribe.",CE-0011W-HN,Pueblo of Acoma,CE-0011Y-X7,Ak Chin,"25 U.S.C. 5131 (Federally Recognized Indian Tribe List Act); BIA annual list, FR doc 2026-01899, 91 FR 4102, 2026-01-30",docs/CEDAR_TAXONOMY.json layers.entity_class; docs/CEDAR_TAXONOMY.md:80-107; data/spine/cedar_identity_register.csv federal_register_legal_name_basis,established
Federally recognized Alaska Native Village,Alaska Native village GOVERNMENT,228,"An Alaska Native village government - a federally recognized tribe that happens to be a village - carried as its own class because the split is geographic, not legal. It may own an enterprise directly (ANCSA ruling rule 3), and that enterprise is then an ordinary tribal enterprise. It is NOT an ANCSA corporation in either direction: a village government never owns an ANC (rule 2) and an ANC never owns the village government (rule 4). The two share a name and a place BY STATUTE, so a shared name is no evidence of one owner.",CE-00001-6S,Asa'carsarmiut,CE-00003-JB,Agdaagux,25 U.S.C. 5131 - the same Secretarial list as the class above,docs/CEDAR_TAXONOMY.json layers.entity_class; docs/CEDAR_TAXONOMY.md:126-137; docs/ANCSA_OWNERSHIP_RULING.md,established
Native Hawaiian Organization,Native Hawaiian Organization (NHO),210,"A Native Hawaiian community organization. 13 C.F.R. 124.110 requires an NHO to be a NON-PROFIT organization, and that requirement does the excluding. NOT a state agency - the Department of Hawaiian Home Lands is a State of Hawaii agency and was refused. NOT an LLC - Hoilina Ranch LLC was refused because an LLC cannot satisfy 124.110. An NHO-OWNED firm is a subsidiary, not an NHO.",CE-000SS-K1,Aha Kane,CE-000SW-5C,Aha Punana Leo,13 C.F.R. 124.110 (SBA 8(a) definition of a Native Hawaiian Organization),docs/CEDAR_TAXONOMY.json layers.entity_class; docs/NHO_SPINE_MERGE_LOG.md; DOI Office of Native Hawaiian Relations roster (179 rows) + NHOA directory,established
BIE School,Bureau of Indian Education school,185,"An elementary or secondary school in the Bureau of Indian Education directory, split by BIE's own bie_operation_type into Bureau-Operated and Tribally-Controlled. NOT tribally owned by default: 56 of the 185 are FEDERALLY operated and their blank parent is a RULING, not missing data. BIE's Navajo_Operation field is an administrative grouping, not ownership - trusting it books 35 schools to the Navajo Nation. Post-secondary institutions are NOT here; they belong to Tribal College or University.",CE-000D5-ZD,Ahfachkee School,CE-000D6-56,Alamo Navajo Community School,"None cited in the repo. Membership is the BIE schools directory (bie.edu/schools ArcGIS feature service), not a statutory list.",docs/CEDAR_TAXONOMY.json layers.entity_class; docs/BIE_UIO_BUILD_LOG.md; docs/CEDAR_TAXONOMY.md:170-174,established
Alaska Native Village Corporation,ANCSA village corporation,173,"A for-profit corporation organised under ANCSA section 8, 43 U.S.C. 1607, for a named Alaska Native village. NOT the village government. NOT a subsidiary of its regional corporation - ANCSA ruling rule 5: they are two corporations with an overlapping shareholder base, and treating the regional as owner once moved $32.87B wrongly. AND TODAY NOT ONLY VILLAGE CORPORATIONS: the four ANCSA URBAN Corporations sit in this class because Cedar has no class for them (recorded gap ANCSA_URBAN_CORPORATION_HAS_NO_CLASS).",CE-0007J-FJ,Afognak Native Corporation,CE-0007K-NB,Akutan Corporation,"ANCSA section 8, 43 U.S.C. 1607 (Urban Corporations named at 43 U.S.C. 1607(c))","docs/CEDAR_TAXONOMY.json layers.entity_class; docs/CEDAR_TAXONOMY.md:129-136,631-634; docs/ANCSA_OWNERSHIP_RULING.md:378-397",established
Native Community Development Financial Institution,Certified Native CDFI,64,"An institution carrying US Treasury CDFI Fund certification with the Native CDFI (Y/N) flag set. The certification is what qualifies it; nothing else does. NOT the same as Native Financial Institution, which is the broader Minneapolis Fed NAFI universe without Treasury certification. Both classes sit under the retired CDFI- handle prefix, so the prefix does not identify the class here.",CE-000JY-EE,"Akiptan, Inc.",CE-000JZ-M7,Bay Bank,"Treasury CDFI Fund certification (List of Currently Certified CDFIs; Total Number of Certified Native CDFIs as of July 16, 2026: 65). Underlying authority not cited in the repo.",docs/CEDAR_TAXONOMY.json layers.entity_class; docs/TCU_CDFI_BUILD_LOG.md; code/cedar_ids.py:466-468,established
State-recognized tribe,State-recognized tribe,64,"A tribe recognised by a state and NOT by the United States. It has no ISDEAA relationship, no 25 U.S.C. 5131 listing, and it is NOT eligible under the SLFRF definition of Tribal government at 42 U.S.C. 802(g)(7). Pooling it with the federal class changes the recipient universe, which is why it is a separate class rather than an attribute.",CE-001CP-4F,Accohannock Indian Tribe,CE-001CQ-A8,Adai Caddo Indians of Louisiana,Defined by exclusion: NOT on the 25 U.S.C. 5131 list; NOT within 42 U.S.C. 802(g)(7). State recognition statutes vary and are not enumerated in the repo.,docs/CEDAR_TAXONOMY.json layers.entity_class; docs/ASSUMPTIONS_AND_LIMITATIONS.md:311-312,established
Intertribal Organization,Intertribal organization,56,"An organisation whose MEMBERS are tribes. NOT owned by its member tribes - membership is recorded as member_of / affiliated_with, both of which sit in NEVER_OWNERSHIP, so no dollar rolls from the organisation up to a member. Distinguished from a self-governance consortium by function: an intertribal organization represents or convenes, it does not carry a member's ISDEAA self-governance compact in its own name.",CE-000R1-YS,"Inter Tribal Council of Arizona, Inc.",CE-000R3-AB,"Inter-Tribal Council of California, Inc.","None. Not a statutory category. (ISDEAA tribal organization, 25 U.S.C. 5304(l), is a related but non-identical federal term used elsewhere in the repo.)",docs/CEDAR_TAXONOMY.json layers.entity_class; docs/NHO_INTERTRIBAL_REGISTER_LOG.md; intertribal_orgs.csv (57 verified) + 989 membership rows,established
Individually Native-owned business,Individually Native-owned firm,45,"An ordinary firm - LLC, S-corp, sole proprietorship - whose OWNER is an individual Native person. Ruled into existence by the owner on 2026-08-07. It is NOT a tribal entity, NOT a false positive, and NOT excluded from the product; it simply never rolls up. parent_native_entity is permanently NULL and that blank is a RULING. Five of the 45 rulings read Not a Native entity - individually Native-owned firm, which refuses the TRIBAL LINK and AFFIRMS Native ownership; read literally as not Native it inverts the owner's meaning.",CE-000NV-BK,"[name withheld - publication rule, see definition]",CE-000NW-HC,"[name withheld - publication rule, see definition]","None. An owner ruling, not a statutory or registry category.",docs/CEDAR_TAXONOMY.json layers.entity_class; docs/INDIVIDUAL_NATIVE_CLASS_PROPOSAL.md; code/241_promote_individual_native_firms_in_place.py:774; may_publish_individual_native_field(),established
Urban Indian Organization,Urban Indian Organization (UIO),43,"A non-profit in the IHS Urban Indian Organization programme holding a Title V Indian Health Care Improvement Act contract with the Indian Health Service, serving Native people in an urban area. NOT tribally owned - it is owned by no tribe at all, and it serves people of many tribal affiliations by programme design, not by data gap. Serving a population is not being owned by it: serves_native_entities is never evidence of ownership. NOT resolvable by place name.",CE-001EP-EF,Bakersfield American Indian Health Project,CE-001FZ-90,Seattle Indian Health Board,"Title V of the Indian Health Care Improvement Act - the IHS Title V contract is the qualifying instrument, per the IHS roster quoted in the repo","docs/BIE_UIO_BUILD_LOG.md:10,19-20,30; docs/CEDAR_TAXONOMY.json layers.entity_class; docs/CONSTELLATION_EXTENSION_LOG.md:145",established
