handle,cedar_uid,valid_from,valid_to,status,change_reason,recorded_date
AKNF-ACSRMT-00-CALSTA-ASVCPR,CE-00001-6S,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AFGNAK-00-KONIAG,CE-00002-CJ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AGDAGX-00-ALEUTC-PRBLFA,CE-00003-JB,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AKACHK-00-CALSTA-ASVCPR,CE-00004-R4,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AKHIOK-00-KONIAG,CE-00005-YX,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AKIAKC-00-CALSTA-ASVCPR,CE-00006-4P,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AKUTAN-00-ALEUTC-PRBLFA,CE-00007-AF,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALAKKT-00-DOYONL-TNNACH,CE-00008-G8,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALAKNK-00-CALSTA-ASVCPR,CE-00009-P1,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALATNA-00-DOYONL-TNNACH,CE-0000A-WT,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALGACQ-00-CALSTA-ASVCPR,CE-0000B-2K,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALKNGK-00-BRBYCO-BRBYAS,CE-0000C-8C,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ALTIIQ-00-KONIAG,CE-0000D-E5,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-AMBLER-00-NANARC-MANLLQ,CE-0000E-MY,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ANGOON-00-SEALSK-TLNGHD,CE-0000F-TQ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ANKTVK-00-ARCSLO,CE-0000G-0G,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ANVIKV-00-DOYONL-TNNACH,CE-0000H-69,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ARCTIC-00-DOYONL-CATHTG-TNNACH-VENTGV,CE-0000J-C2,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ATKANV-00-ALEUTC-PRBLFA,CE-0000K-JV,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ATMTLK-00-CALSTA-ASVCPR,CE-0000M-RM,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-ATQSUK-00-ARCSLO,CE-0000N-YD,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BCKLND-00-NANARC-MANLLQ,CE-0000P-46,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BEAVRV-00-DOYONL-CATHTG-TNNACH,CE-0000Q-AZ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BIRCHC-00-DOYONL-TNNACH,CE-0000R-GR,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BLKFSK-00-ALEUTC-PRBLFA,CE-0000S-PH,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BLLMSL-00-CALSTA-ASVCPR,CE-0000T-WA,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-BREVIG-00-BERSTR-KAWRAK,CE-0000V-23,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CGNKBY-00-BRBYCO-BRBYAS,CE-0000W-8W,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CGNKLG-00-BRBYCO-BRBYAS,CE-0000X-EN,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CGNKLK-00-BRBYCO-BRBYAS,CE-0000Y-ME,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CHCKLN-00-CKINLT,CE-0000Z-T7,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CHEVAK-00-CALSTA-ASVCPR,CE-00010-5G,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-CHFRNK-00-CALSTA-ASVCPR,CE-00011-B9,2026-08-29,,current,first recorded binding,2026-08-29
