retired_neid,cedar_uid,status
AKNF-ACSRMT-00-CALSTA-ASVCPR,CE-00001-6S,unique
AKNF-AFGNAK-00-KONIAG,CE-00002-CJ,unique
AKNF-AGDAGX-00-ALEUTC-PRBLFA,CE-00003-JB,unique
AKNF-AKACHK-00-CALSTA-ASVCPR,CE-00004-R4,unique
AKNF-AKHIOK-00-KONIAG,CE-00005-YX,unique
AKNF-AKIAKC-00-CALSTA-ASVCPR,CE-00006-4P,unique
AKNF-AKUTAN-00-ALEUTC-PRBLFA,CE-00007-AF,unique
AKNF-ALAKKT-00-DOYONL-TNNACH,CE-00008-G8,unique
AKNF-ALAKNK-00-CALSTA-ASVCPR,CE-00009-P1,unique
AKNF-ALATNA-00-DOYONL-TNNACH,CE-0000A-WT,unique
AKNF-ALGACQ-00-CALSTA-ASVCPR,CE-0000B-2K,unique
AKNF-ALKNGK-00-BRBYCO-BRBYAS,CE-0000C-8C,unique
AKNF-ALTIIQ-00-KONIAG,CE-0000D-E5,unique
AKNF-AMBLER-00-NANARC-MANLLQ,CE-0000E-MY,unique
AKNF-ANGOON-00-SEALSK-TLNGHD,CE-0000F-TQ,unique
AKNF-ANKTVK-00-ARCSLO,CE-0000G-0G,unique
AKNF-ANVIKV-00-DOYONL-TNNACH,CE-0000H-69,unique
AKNF-ARCTIC-00-DOYONL-CATHTG-TNNACH-VENTGV,CE-0000J-C2,unique
AKNF-ATKANV-00-ALEUTC-PRBLFA,CE-0000K-JV,unique
AKNF-ATMTLK-00-CALSTA-ASVCPR,CE-0000M-RM,unique
AKNF-ATQSUK-00-ARCSLO,CE-0000N-YD,unique
AKNF-BCKLND-00-NANARC-MANLLQ,CE-0000P-46,unique
AKNF-BEAVRV-00-DOYONL-CATHTG-TNNACH,CE-0000Q-AZ,unique
AKNF-BIRCHC-00-DOYONL-TNNACH,CE-0000R-GR,unique
AKNF-BLKFSK-00-ALEUTC-PRBLFA,CE-0000S-PH,unique
AKNF-BLLMSL-00-CALSTA-ASVCPR,CE-0000T-WA,unique
AKNF-BREVIG-00-BERSTR-KAWRAK,CE-0000V-23,unique
AKNF-CGNKBY-00-BRBYCO-BRBYAS,CE-0000W-8W,unique
AKNF-CGNKLG-00-BRBYCO-BRBYAS,CE-0000X-EN,unique
AKNF-CGNKLK-00-BRBYCO-BRBYAS,CE-0000Y-ME,unique
