awardee_name,canonical_name,parent_name,funding_agency,setaside,fiscal_year,total_obligations,recipient_city_name,recipient_state_code,contract_number,cedar_uid
MANAGEMENT CONSULTING INC,Cherokee Nation,MANAGEMENT CONSULTING INC,Dept Of Defense,None reported,2008,74493.24,VIRGINIA BEACH,VA,1097,CE-00134-BX
YAVAPAI APACHE NATION,Yavapai-Apache,YAVAPAI APACHE NATION,Public Buildings Service,None reported,2010,3417.0,CAMP VERDE,AZ,GS09B0185510151,CE-0013Z-D0
"Chugach Management Services, I",Chugach Alaska Corporation,Chugach Alaska Corporation,Dept Of Defense,8(a),2005,51034.0,ANCHORAGE,AK,5253,CE-0007C-BW
ASRC AEROSPACE CORP,Arctic Slope Regional Corporation,ARCTIC SLOPE REGIONAL CORPORATION,Nan,8(a),2009,49500.0,GREENBELT,MD,NNC06E068T,CE-00078-KR
"CHUGACH WORLD SERVICES, INC.",Chugach Alaska Corporation,CHUGACH ALASKA CORPORATION,National Institutes Of Health,None reported,2010,4827.0,ANCHORAGE,AK,HHSN29200591,CE-0007C-BW
"Aircraft & Commercial Enterprises, Inc.",,Aircraft & Commercial Enterprises Inc.,Dept Of Defense,None reported,2016,519.0,DERBY,KS,SPE7M116M1246,
"Rj'S Supply Company, L.L.C.",,Rj'S Supply Company L.L.C.,Federal Acquisition Service,None reported,2022,-83.41999816894531,WINNFIELD,LA,47QSHA21F4M63,
"MARSH CREEK, LLC",,"MARSH CREEK, LLC",Nan,8(a),2009,54685.88,ANCHORAGE,AK,INPC9865080139,
CHEROKEE CRC LLC,Cherokee Nation,CHEROKEE NATION,Departmental Offices,None reported,2014,43546.44,TULSA,OK,0003,CE-00134-BX
"Sweat, Llc",,Sweat Llc,Dept Of Defense,8(a),2011,1100000.0,PENSACOLA,FL,N6945011C5349,
CHEROKEE NATION TECHNOLOGY SOLUTIONS LLC,Cherokee Nation,CHEROKEE NATION,Dept Of Defense,8(a),2021,91334.4,CATOOSA,OK,W81XWH17C0017,CE-00134-BX
"BROADLEAF, INC.",,"BROADLEAF, INC.",Dept Of Defense,None reported,2022,242536.6,MANASSAS,VA,W15QKN20F5227,
Cni Administration Services Limited Liability Company,The Chickasaw Nation,Chickasaw Nation,Dept Of Defense,Small Business,2007,25245.0,ALBUQUERQUE,NM,0007,CE-00135-HP
Arrowhead Truck Equipment Inc,,Arrowhead Truck Equipment Inc,Bureau Of Indian Affairs And Bureau Of Indian Education,Indian Business,2020,10840.0,BIXBY,OK,140A0820P0011,
"WOLVERINE SERVICES, LLC","NANA Regional Corporation, Incorporated",NANA REGIONAL CORPORATION INC,Dept Of Defense,8(a),2012,0.0,ANCHORAGE,AK,0042,CE-0007G-30
AKIMA DATA MANAGEMENT LLC,,AKIMA DATA MANAGEMENT LLC,Dept Of Defense,None reported,2024,4335290.0,HERNDON,VA,FA872623F0002,
"GREAT HILL SOLUTIONS, LLC",,"GREAT HILL SOLUTIONS, LLC",Dept Of Defense,None reported,2026,0.0,CHANTILLY,VA,HQ085926DF265,
UKPIK LLC,,UKPEAGVIK INUPIAT CORPORATION,Dept Of Defense,8(a),2013,54821.94,ANCHORAGE,AK,0005,
DAE SUNG LLC,Three Affiliated,DAE SUNG LLC,Public Buildings Service,8(a),2012,1009844.16,PLAINFIELD,IL,GSP1112NW0010,CE-0016W-A5
TOHONO OODHAM UTILITY AUTHORITY,,TOHONO OODHAM UTILITY AUTHORITY,Nan,None reported,2009,96000.0,SELLS,AZ,INISBH01080009,
