tribe_name,channel,agency,consultation_type,topic,notice_date,federal_register_citation,cedar_uid
National Congress of American Indians,CONSULTATION,Interior Department,consultation_notice,Notice of Schedule of Regional Consultation Sessions on Tribal Shares,1997-05-16,62 FR 27064,CE-000R8-88
Comanche Nation,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0013G-K9
Crow,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0013W-VN
Hopi,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-00153-F4
Navajo,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0017F-1G
Ohkay Owingeh,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0017V-9W
Pueblo of Acoma,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0011W-HN
Pueblo of Cochiti,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0013H-S2
Pueblo of Isleta,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0015B-ZC
Pueblo of Jemez,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0015F-QG
Pueblo of Laguna,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-00161-82
Pueblo of Nambe,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0017E-VQ
Pueblo of Picuris,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-00188-WH
Pueblo of Pojoaque,CONSULTATION,Interior Department,NAGPRA_consultation_reported,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",2011-02-09,76 FR 7232,CE-0018J-RB
