bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
95-hr-3377,"A bill to authorize the Wichita Indian Tribe of Oklahoma, and its affiliated bands and groups of Indians, to file with the Indian Claims Commission any of their claims against the United States for lands taken without adequate compensation.",95,House,"Rep. Steed, Tom [D-OK-4]",1977-02-09,"Measure laid on table in House, S. 773 passed in lieu.",Indian claims,Wichita
99-hr-2868,Gay Head Wampanoag Indian Claims Settlement Act of 1985,99,House,"Rep. Studds, Gerry E. [D-MA-10]",1985-06-25,Passed Senate in lieu of S. 1452 with an amendment by Voice Vote.,Native Americans,Wampanoag
99-s-1396,White Earth Reservation Land Settlement Act of 1985,99,Senate,"Sen. Boschwitz, Rudy [R-MN]",1985-06-27,Became Public Law No: 99-264.,Native Americans,White Earth
100-hr-2642,Colorado Ute Indian Water Rights Settlement Act of 1988,100,House,"Rep. Campbell, Ben Nighthorse [D-CO-3]",1987-06-10,Became Public Law No: 100-585.,Native Americans,Ute
100-hr-4102,Salt River Pima-Maricopa Indian Community Water Rights Settlement Act of 1988,100,House,"Rep. Udall, Morris K. [D-AZ-2]",1988-03-08,Became Public Law No: 100-512.,Native Americans,Salt River
100-hr-5203,"A bill to declare that certain lands be held in trust for the Quinault Indian Nation, and for other purposes.",100,House,"Rep. Swift, Al [D-WA-2]",1988-08-11,For Further Action See S.2752.,Native Americans,Quinault
100-s-1236,Navajo and Hopi Indian Relocation Amendments of 1988,100,Senate,"Sen. Inouye, Daniel K. [D-HI]",1987-05-19,Became Public Law No: 100-666.,Native Americans,Hopi|Navajo
100-s-2723,Hoopa-Yurok Settlement Act,100,Senate,"Sen. Cranston, Alan [D-CA]",1988-08-10,Became Public Law No: 100-580.,Native Americans,Hoopa|Yurok
101-s-1413,Aroostook Band of Micmacs Settlement Act,101,Senate,"Sen. Cohen, William S. [R-ME]",1989-07-26,Motion to reconsider laid on the table Agreed to without objection.,Native Americans,Mi'kmaq
102-hr-1426,Lumbee Recognition Act,102,House,"Rep. Rose, Charlie [D-NC-7]",1991-03-13,Cloture on the motion to proceed not invoked in Senate by Yea-Nay Vote. 58-39. Record Vote No: 35.,Native Americans,Lumbee
103-hr-2366,Jena Band of Choctaw Indians of Louisiana Confirmation Act,103,House,"Rep. Baker, Richard H. [R-LA-6]",1993-06-10,Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote.,Native Americans,Jena
103-hr-2376,Little Traverse Bay Bands of Odawa Indians and the Little River Band of Ottawa Indians Act,103,House,"Rep. Kildee, Dale E. [D-MI-9]",1993-06-10,For Further Action See S.1357.,Native Americans,Little Traverse
103-hr-2399,Catawba Indian Tribe of South Carolina land Claims Settlement Act of 1993,103,House,"Rep. Derrick, Butler C. [D-SC-3]",1993-06-10,Became Public Law No: 103-116.,Native Americans,Catawba
103-hr-2489,To confer jurisdiction on the United States Claims Court with respect to land claims of Pueblo of Isleta Indian Tribe.,103,House,"Rep. Skeen, Joe [R-NM-2]",1993-06-22,Referred to the Subcommittee on Administrative Law and Governmental Relations.,Law,Pueblo of Isleta
103-hr-2514,Yavapai-Prescott Indian Tribe Water Rights Settlement Act of 1993,103,House,"Rep. Stump, Bob [R-AZ-3]",1993-06-23,For Further Action See S.1146.,Native Americans,Yavapai-Prescott
103-hr-2768,To ratify the transfer of a parcel of land by the Ysleta del Sur Pueblo of Texas.,103,House,"Rep. Coleman, Ronald D. [D-TX-16]",1993-07-28,For Further Action See H.R.4709.,Native Americans,Ysleta del Sur
