institution_name,institution_city,institution_state,title,publication_date,document_number,affiliated_entity_ids
Rome Historical Society,Rome,NY,"Notice of Inventory Completion for Native American Human Remains From Blossvale, NY, in the Possession of the Rome Historical Society, Rome, NY",1994-11-02,94-27079,TRBF-ONDANY-00
Arizona State Capitol Museum,Phoenix,AZ,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Arizona State Capitol Museum, Phoenix, AZ",1994-11-16,X94-11116,TRBF-NAVAJO-00
Heard Museum,Phoenix,AZ,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Heard Museum, Phoenix, AZ",1994-12-21,94-31259,TRBF-NAVAJO-00
Robert S. Peabody Museum of Archaeology,Andover,MA,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from the State of Maine in the Possession of the Robert S. Peabody Museum of Archaeology, Andover, MA",1995-01-10,95-561,TRBF-PNBSCT-00
Field Museum of Natural History,Chicago,IL,"Notice of Inventory Completion for Native American Human Remains in the Possession of the Field Museum of Natural History, Chicago, IL",1995-02-15,95-3684,TRBF-PAWNEE-00
Ojai Valley Historical Society and Museum,Ojai,CA,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Control of the Ojai Valley Historical Society and Museum, Ojai, CA",1995-04-18,95-9491,TRBF-STAYNZ-00
"Pipe Spring National Monument, National Park Service",Moccasin,AZ,"Notice of Inventory Completion for Human Remains in the Possession of Pipe Spring National Monument, National Park Service, Moccasin, AZ",1995-06-28,95-15883,TRBF-KAIBAB-00
"Hood Museum of Art, Dartmouth College",Hanover,NH,"Notice of Intent to Repatriate Native American Items in the Possession of the Hood Museum of Art, Dartmouth College, Hanover, NH",1995-07-05,95-16402,TRBF-ZUNINM-00
Glacier Bay National Park and Preserve,Gustavus,AK,"Notice of Inventory Completion for Human Remains and Associated Funerary Objects in the Control of Glacier Bay National Park and Preserve, Gustavus, AK",1995-08-09,95-19607,AKNF-HOONAH-00-SEALSK-TLNGHD
"Knife River Indian Villages National Historic Site, National Park Service",Stanton,ND,"Notice of Inventory Completion for Native American Human Remains in the Possession of Knife River Indian Villages National Historic Site, National Park Service, Stanton, ND",1995-08-11,95-19927,TRBF-MHATAT-00
Utah Field House of Natural History State Park,Vernal,UT,"Notice of Inventory Completion of Native American Human Remains in the Possession of the Utah Field House of Natural History State Park, Vernal, UT",1995-09-11,95-22375,TRBF-STNDRK-00
Colorado Historical Society,Denver,CO,"Notice of Inventory Completion of Native American Human Remains in the Possession of the Colorado Historical Society, Denver, CO",1995-10-24,95-26267,TRBF-PAWNEE-00
"Office of the State Archeologist, University of Iowa",Iowa City,IA,"Notice of Inventory Completion for Native American Human Remains in the Possession of the Office of the State Archeologist, University of Iowa, Iowa City, IA",1996-01-31,96-1826,TRBF-YAKAMA-00
Anchorage Museum of History and Art,Anchorage,AK,"Notice of Inventory Completion of Human Remains in the Possession of the Anchorage Museum of History and Art, Anchorage, AK",1996-02-02,96-2161,ANVC-INALI1-00
"for Native American Human Remains and Associated Funerary Objects from Indian Gardens Cemetery (Cross Village) in Emmet County, Michigan, in the Possession and Control of the Putnam Museum of History and Natural Science",Davenport,IA,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Indian Gardens Cemetery (Cross Village) in Emmet County, Michigan, in the Possession and Control of the Putnam Museum of History and Natural Science, Davenport, IA",1996-02-26,96-4199,TRBF-LTRVRS-00
