recipient_entity_name,payer_entity_name,commodity,revenue_type,period_start,amount_usd,aggregation_level,cedar_uid
"NANA Regional Corporation, Incorporated","Mine operator, not named in the quoted passage",Zinc and lead (Red Dog Mine),royalty,2021-09-30,442200000.00,entity_specific,CE-0007G-30
Sealaska Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2022-01-01,30687000.00,entity_specific,CE-0007H-9S
Northwest Arctic Borough,"NANA Regional Corporation, Incorporated",Timber and subsurface estate resources (ANCSA 7(i) shareable),payment_in_lieu_of_taxes,2021-09-30,26700000.00,entity_specific,CE-0000J-C2
Calista Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2022-01-01,25816000.00,entity_specific,CE-0007B-53
"Doyon, Limited","Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2018-01-01,18836000.00,entity_specific,CE-0007E-QE
Bering Straits Native Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2018-03-31,13300000.00,entity_specific,CE-00079-SH
"Cook Inlet Region, Incorporated","Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2022-01-01,12100000.00,entity_specific,CE-0007D-HN
Bristol Bay Native Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2018-03-31,11319000.00,entity_specific,CE-0007A-ZA
Chugach Alaska Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing,2018-01-01,8600946.00,entity_specific,CE-0007C-BW
Arctic Slope Regional Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2018-01-01,8500000.00,entity_specific,CE-00078-KR
Navajo,"United States, Office of Surface Mining Reclamation and Enforcement",Coal (abandoned mine land reclamation fee),reclamation_fee_distribution,2012-10-01,7188786.00,entity_specific,CE-0017F-1G
"Koniag, Incorporated","Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2018-03-31,7009000.00,entity_specific,CE-0007F-X7
Aleut Corporation,"Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing,2018-03-31,6810262.00,entity_specific,CE-00077-DZ
"Ahtna, Incorporated","Other ANCSA regional corporations, not individually named in the source",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing_net_of_7j,2022-01-01,3472182.00,entity_specific,CE-00076-76
Crow,"United States, Office of Surface Mining Reclamation and Enforcement",Coal (abandoned mine land reclamation fee),reclamation_fee_distribution,2013-10-01,1818860.55,entity_specific,CE-0013W-VN
Hopi,"United States, Office of Surface Mining Reclamation and Enforcement",Coal (abandoned mine land reclamation fee),reclamation_fee_distribution,2012-10-01,1318733.00,entity_specific,CE-00153-F4
"The other ANCSA regional corporations, not individually named in the source","NANA Regional Corporation, Incorporated",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_revenue_sharing,2017-09-30,217668000.00,entity_specific,
"Other ANCSA regional corporations, village corporations and at-large shareholders, not individually named in the source",Arctic Slope Regional Corporation,Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7i_7j_obligation_combined,2019-01-01,102600000.00,entity_specific,
Three Affiliated,State of North Dakota,Oil and gas,severance_tax_share,,20308166.28,entity_specific,CE-0016W-A5
Uintah Basin Revitalization Fund,State of Utah,"Oil, gas or other hydrocarbon substances",grant_from_resource_fund,2011-07-01,-14461342.01,state_aggregate,
"Village corporations and at-large shareholders of the region, not individually named in the source","Cook Inlet Region, Incorporated",Timber and subsurface estate resources (ANCSA 7(i) shareable),ancsa_7j_redistribution,2023-01-01,12235000.00,entity_specific,
Navajo Revitalization Fund,State of Utah,"Oil, gas or other hydrocarbon substances",grant_from_resource_fund,2017-07-01,-4046260.68,state_aggregate,
State of Oklahoma,Osage Mineral Estate,Osage Mineral Estate (all sources),production_tax_paid_to_state,2022-01-01,649807.68,entity_specific_component,
Holders of Osage headrights (individuals),"United States, Bureau of Indian Affairs","Osage Mineral Estate (oil, gas, sand and gravel, water use)",direct_pay,2008-10-01,11600.00,per_headright_rate,
Osage Mineral Estate,,Osage Mineral Estate (all sources),total_reported_revenue,2014-07-01,21051866.03,entity_specific,
,State of Montana,Oil and natural gas,production_tax_share,2014-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2014-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2014-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2014-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2015-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2015-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2015-07-01,0.00,state_aggregate,
