org_name,city,state,ntee_code,bmf_revenue_amt,classification_ruling,EIN,cedar_uid
TRIBAL NATIONS MINISTRY,BROOKVILLE,OH,X20,0,UNRULED,474301337,
MARICOPA YOUTH MARINERS,SCOTTSDALE,AZ,O40,50346,UNRULED,823082631,
OSAGE EARTH AND EDUCATION COLLECTIVE,WOODSIDE,NY,S12,,UNRULED,334109900,
COMMUNITIES IN SCHOOLS OF TACOMA,TACOMA,WA,B90,784214,UNRULED,912138848,
WHITE EARTH URBAN COMMUNITY COUNCIL,MINNEAPOLIS,MN,S80,76757,UNRULED,352321434,CE-000QH-SS
SOUTHERN CAYUGA BOOSTERS CLUB,AURORA,NY,B90,0,place_name_coincidence,161491649,
WASHOE COUNTY JUNIOR LIVESTOCK,WASHOE VALLEY,NV,B11,139039,UNRULED,933403690,
INDIAN SPRINGS ELEMENTARY PTO,KINGSPORT,TN,B11,0,UNRULED,465291174,
GLOBAL INDIAN COUNCIL,GARLAND,TX,B03,0,UNRULED,881932252,
INDIAN CREEK HILLS INC,ARCADIA,IN,,0,UNRULED,351024575,
KOREAN AMERICAN ASSOCIATION OF LAGUNA WOODS VILLAGE,LAGUNA WOODS,CA,W99,101508,UNRULED,873284248,
ORDER OF THE EASTERN STAR OF NORTH DAKOTA,FARGO,ND,,0,UNRULED,237584552,
COLLEGE OF THE MENOMINEE NATION,KESHENA,WI,,15458817,tribally_controlled,391773613,CE-00172-KB
SIOUX FALLS PUBLIC SCHOOLS EDUCATION FOUNDATION,SIOUX FALLS,SD,B113,768046,UNRULED,263537657,
AMERICAN INDIAN SERVICE ASSOCIATON INC,SUMTER,SC,O40,0,UNRULED,640695920,
NIPOMO AREA SENIOR CENTER,NIPOMO,CA,P81,0,UNRULED,205813782,
CHEROKEE MAKERSPACE INC,ACWORTH,GA,B80,79418,UNRULED,822172132,
SOUTH DAKOTA WILDLIFE FEDERATION CAMO COALITION INC,PIERRE,SD,D30,0,UNRULED,273386235,
INDIAN RIVER SOCCER CLUB,OCEAN VIEW,DE,N64,359590,UNRULED,510377913,
WALLA WALLA BOARD OF REALTORS,WALLA WALLA,WA,,75088,UNRULED,910783772,
BARBARENO BAND OF CHUMASH INDIANS,SANTA BARBARA,CA,W99,0,UNRULED,812012164,
ORDER OF THE EASTERN STAR OF SOUTH DAKOTA,SPEARFISH,SD,,0,UNRULED,466012338,
SOUTHWESTERN ASSOCIATION FOR INDIAN ARTS INC,SANTA FE,NM,A230,1630662,UNRULED,850212504,
INDIAN FIELDS HOMES ASSOCIATION,PRAIRIE VLG,KS,,0,UNRULED,486125131,
MARICOPA COUNTY SHERIFFS OFFICE CRIME PREVENTION POSSE,SCOTTSDALE,AZ,I20,0,UNRULED,320264611,
GROWING HOPE CAYUGA,UNION SPRINGS,NY,K20,,UNRULED,331841758,
NAVAJO COUNTY FRIENDS OF CASA INC,SHOW LOW,AZ,I72,223916,UNRULED,860896108,
CROWS RUN RETREAT,LEECHBURG,PA,,0,UNRULED,251652698,
WALLA WALLA GUN CLUB INC,WALLA WALLA,WA,,183682,UNRULED,916057755,
WHITE EARTH LAND RECOVERY PROJECT,CALLAWAY,MN,K99,1010231,UNRULED,411673625,CE-000QH-SS
SOUTHERN APACHE COUNTY FRIENDS OF BUSINESS,SPRINGERVILLE,AZ,T50,0,UNRULED,994257950,
CROWN POINT CHRISTIAN VILLAGE INC,NASHVILLE,TN,E910,16444691,UNRULED,311114614,
ALLY DAKOTA DEVELOPMENT INC,RAPID CITY,SD,,3918457,UNRULED,460361483,
VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF NORTH DAKOTA,ELLENDALE,ND,,0,UNRULED,237109999,
CHURCH OF THE GOOD SHEPHERD OF LAGUNA NIGUEL,RENO,NV,X20,0,UNRULED,330381413,
SOUTH DAKOTA RETIRED SCHOOL PERSONNEL,SIOUX FALLS,SD,,0,UNRULED,460379362,
YAVAPAI COWBELLES,CONGRESS,AZ,,0,place_name_coincidence,866052817,
CALIFORNIA INDIAN WATER COMMISSION,SACRAMENTO,CA,C32,0,UNRULED,452499946,
NORTH DAKOTA BOWHUNTERS ASSOCIATION INC,BISMARCK,ND,N61,34862,UNRULED,450426169,
CHEYENNE EVANGELICAL FREE CHURCH OF CHEYENNE WYOMING,CHEYENNE,WY,,,UNRULED,830282452,
SOUTH DAKOTA POULTRY INDUSTRIES ASSOCIATION,BROOKINGS,SD,K28Z,127325,UNRULED,460342812,
AMERICAN INDIAN CHAMBER OF COMMERCE OF WISCONSIN INC,HALES CORNERS,WI,B82,628853,UNRULED,391703752,
CHEROKEE CREEK VOLUNTEER FIRE DEPARTMENT INC,GAFFNEY,SC,M24Z,445816,UNRULED,570667108,
LAKOTA LUTHERAN CHURCH,LAKOTA,ND,,,UNRULED,450350719,
CROWN OF FAITH NETWORK,APPLE VALLEY,CA,X20,,UNRULED,393574978,
ASSOCIATION OF OLD CROWS,WILLIAMSVILLE,NY,,,UNRULED,521269322,
SOUTH DAKOTA CAREER PLANNING AND PLACEMENT ASSOCIATION,SIOUX FALLS,SD,,95084,UNRULED,460439943,
INDIAN CREEK CEMETERY CORP,STEPHENVILLE,TX,,0,UNRULED,756024445,
SPEAKLIFE TRIBE,YOUNGSTOWN,OH,P01,0,UNRULED,863356456,
COUNCIL FOR WEST INDIAN PLANNING & DEVELOPMENT,HARTFORD,CT,Q300,0,UNRULED,061285185,
TAOS COUNTY CRIME STOPPERS,TAOS,NM,I20,0,UNRULED,850266814,
SOUTH DAKOTA CHIROPRACTORS ASSN,MITCHELL,SD,,159638,UNRULED,466015748,
QUTEKCAK NATIVE TRIBE,SEWARD,AK,,462133,UNRULED,920117501,
PEORIA HEIGHTS VOLUNTEER FIREMENS ASSOCIATION,PEORIA HEIGHTS,IL,M24,0,UNRULED,320747511,
RIBBON WRANGLERS 4-H CLUB MILLE LACS COUNTY MN,MILACA,MN,O52,0,UNRULED,844312532,
POMONA COMMUNITY HEALTH CENTER,POMONA,CA,E31,15924673,UNRULED,223914738,
SIOUXLAND INSTITUTE OF FILM INC,SIOUX CITY,IA,A31,0,UNRULED,453659637,
ONEIDA FULL GOSPEL ASSEMBLY,ONEIDA,NY,,,UNRULED,861058872,
TRIPLE CROWN COWBOY CHURCH INC,FRANKFORT,KY,X20,,UNRULED,263587731,
NORTH DAKOTA SOCIETY OF HEALTH SYSTEMS PHARMACISTS,WEST FARGO,ND,S41,0,UNRULED,900587796,
CHEROKEE COUNTY AREA BEEKEEPERS,COLUMBUS,KS,D60,0,UNRULED,811890701,
CHILHOWEE BETTERMENT TRIBE,CHILHOWEE,MO,S20,0,UNRULED,831864688,
INDIAN TRAIL CHAPTER TEXAS MASTER NATURALISTS INC,WAXAHACHIE,TX,C60,0,UNRULED,273717831,
GALLUP INTER-TRIBAL INDIAN CEREMONIAL ASSOCIATION INC,GALLUP,NM,A99Z,908672,UNRULED,856002663,
SENECA VALLEY BOYS VOLLEYBALL BOOSTERS,CRANBERRY TWP,PA,B01,0,UNRULED,332962665,
MOHAWK VALLEY HEALTH SYSTEM FOUNDATION,UTICA,NY,E122,7909549,UNRULED,223078768,
INDIAN RELIGIOUS AND CULTURALCENTER OF COLUMBUS INC,COLUMBUS,GA,X70,,UNRULED,205419732,
LAKOTA TIMES INCORPORATED,MARTIN,SD,A30,0,UNRULED,851255433,
PIMA COUNTY MEDICAL FOUNDATION INC,TUCSON,AZ,P20B,0,UNRULED,860664465,
CREEK NATION FOUNDATION INC,TULSA,OK,,832908,UNRULED,730975892,
LAGUNA BEACH BEAUTIFICATION COUNCIL,LAGUNA BEACH,CA,P20,0,UNRULED,263699700,
APACHE COUNTY YOUTH COUNCIL,SAINT JOHNS,AZ,O51,374053,UNRULED,860806380,
MUSEUM OF THE ALEUTIANS,UNALASKA,AK,A500,940163,UNRULED,920162384,
