sub_name,prime_name,prime_parent_name,subaward_amount,subaward_date,fiscal_year,naics_title,sub_state,subaward_number,cedar_uid
BIOSAFE ENGINEERING LLC,"ASRC FEDERAL FIELD SERVICES, LLC",ASRC FEDERAL FIELD SERVICES  LLC,47790.00,2019-03-12,2019,FACILITIES SUPPORT SERVICES,IN,AS19-00255 0,CE-00078-KR
EASTERN BAND OF CHEROKEE INDIANS,BOYS & GIRLS CLUBS OF AMERICA,BOYS & GIRLS CLUBS OF AMERICA,10927.54,2021-02-05,2021,,NC,48633,
NORTHWEST JUSTICE PROJECT,NATIVE AMERICAN RIGHTS FUND,NATIVE AMERICAN RIGHTS FUND,27047.00,2012-11-26,2013,,WA,16,CE-000SH-3S
RIECK CONSTRUCTION LLC,"GANA-A'YOO CONSTRUCTION SERVICES JV, LLC",GANA-A'YOO CONSTRUCTION SERVICES JV  LLC,565000.00,2024-02-13,2024,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,OH,10-BOA-0003-71-0032-03,CE-0008X-PN
MIDDLETOWN COMPOSITES INC,DEFENSE SYSTEMS AND SOLUTIONS,DEFENSE SYSTEMS AND SOLUTIONS,46158.00,2020-11-25,2021,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,KY,D20P001076,CE-0007B-53
KEWA PUEBLO HEALTH CORPORATION (KPHC),HOMELAND SECURITY AND EMERGENCY MAN,STATE OF NEW MEXICO,361414.90,2015-06-01,2015,,NM,PA06NM4152PW00565(0),
UTE MOUNTAIN UTE TRIBE,COLORADO DEPARTMENT OF PUBLIC SAFET,,17840.00,2014-10-01,2015,,CO,"CTGG1,RFAA,20160000000000001446,",
COMMONWEALTH TRADING PARTNERS INC,"ALUTIIQ INFORMATION MANAGEMENT, LLC",ALUTIIQ INFORMATION MANAGEMENT  LLC,1305157.84,2023-02-28,2023,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VA,AIM-D-27018-007,CE-0007J-FJ
HANNAHVILLE INDIAN COMMUNITY,"HEALTH AND HUMAN SERVICES, MICHIGAN DEPARTMENT OF",,7500.00,2025-10-01,2026,,MI,E20261463,
KICKAPOO TRADITIONAL TRIBE OF TEXAS,TX DEPT. OF AGRICULTURE,State of Texas,184.30,2015-12-01,2016,,TX,01568,
"MID-AMERICAN ELEVATOR COMPANY, INC.","CHUGACH CONSOLIDATED SOLUTIONS, LLC",CHUGACH CONSOLIDATED SOLUTIONS  LLC,1089393.00,2025-09-08,2025,FACILITIES SUPPORT SERVICES,IL,SC-C-01600077-0039,CE-0007C-BW
"MORI ASSOCIATES, INCORPORATED","INUTEQ, LLC",ASRC FEDERAL HOLDING COMPANY  LLC,111324.80,2023-04-03,2023,COMPUTER FACILITIES MANAGEMENT SERVICES,MD,INU10-0002,CE-00078-KR
"WESTERN MECHANICAL, INC.","ASRC BUILDERS, LLC",ASRC BUILDERS  LLC,119982.48,2017-09-15,2017,"ROOMING AND BOARDING HOUSES, DORMITORIES, AND WORKERS' CAMPS",AK,636-01-08,CE-00078-KR
"INTER-TRIBAL COUNCIL OF NEVADA,",NEVADA DEPARTMENT OF AGRICULTURE,,14917.65,2021-09-30,2021,,NV,CACFP-EOC-ITCNV,
"NETCENTRIC TECHNOLOGY, LLC","LEIDOS, INC.",LEIDOS  INC.,250000.00,2017-07-10,2017,CUSTOM COMPUTER PROGRAMMING SERVICES,NJ,P010198459-0,
WASHOE COUNTY,NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,,20507.00,2024-11-22,2025,,NV,SG-2025-00482,
MURRAY BENJAMIN ELECTRIC COMPANY LLC,"CHUGACH FEDERAL SOLUTIONS, INC.",Chugach Alaska Corporation,306280.00,2014-11-12,2015,ENGINEERING SERVICES,CT,041512542,CE-0007C-BW
SUPERSMITH,"INUTEQ, LLC",INUTEQ  LLC,34820.00,2024-05-08,2024,COMPUTER FACILITIES MANAGEMENT SERVICES,NM,AS24-0875 0,CE-00078-KR
"ARC CONSTRUCTORS, LLC",DOYON LOGISTICS SERVICES LLC,DOYON LOGISTICS SERVICES LLC,175529.00,2016-09-16,2016,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,TX,60-14011.26,CE-0007E-QE
"NORTH WIND, INC.","FLUOR IDAHO, LLC",FLUOR IDAHO  LLC,152321.60,2019-05-29,2019,REMEDIATION SERVICES,ID,16-3001-71,
CONFEDERATED SALISH AND KOOTENAI TRIBES,TRANSPORTATION MONTANA DEPARTMENT OF,,313484.00,2017-07-01,2017,,MT,109535,
AKIMA TECHNICAL SOLUTIONS LLC,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORPORATION,60275.40,2021-04-07,2021,ALL OTHER SUPPORT SERVICES,VA,4104906385,
"T3I, INC.","BERING GLOBAL SOLUTIONS, LLC",BERING STRAITS NATIVE CORPORATION,155677.21,2019-01-01,2019,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,CA,BGS-2210007-T3I,CE-00079-SH
ARES CORPORATION,"ANALYTICAL SERVICES, INC.",ASRC FEDERAL HOLDING COMPANY  LLC,50658.00,2015-03-04,2015,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",CA,AIA6-00007,CE-00078-KR
"IRON BOW TECHNOLOGIES, LLC","BOWHEAD TOTAL ENTERPRISE SOLUTIONS, LLC",BOWHEAD TOTAL ENTERPRISE SOLUTIONS  LLC,36972.10,2024-11-19,2025,COMPUTER FACILITIES MANAGEMENT SERVICES,VA,2404716,CE-0009Z-7Q
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",AK DEPARTMENT OF EDUCATION & EARLY DEVELOPMENT,,4121.51,2025-06-05,2025,,AK,CNP,
VOORHEES INC,"ALUTIIQ GENERAL CONTRACTORS, LLC",AFOGNAK NATIVE CORPORATION,30881.00,2019-03-08,2019,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,AK,S16078000-21,CE-0007J-FJ
KETCHIKAN INDIAN COMMUNITY,PHILANTHROPY NORTHWEST,,349962.00,2025-07-22,2025,,AK,R-2024-00274,
GUIDEPOINT SECURITY GOVERNMENT SOLUTIONS LLC,ASRC FEDERAL DATA NETWORX LLC,ASRC FEDERAL DATA NETWORX  LLC,46200.00,2022-11-16,2023,OTHER COMPUTER RELATED SERVICES,VA,AS22-01861,CE-00078-KR
S & K ELECTRONICS INC,TEXTRON INC.,TEXTRON SYSTEMS CORPORATION,78526.00,2013-02-06,2013,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",MT,93498,
"BEDROCK CONSTRUCTION MATERIALS, INC.","WOLF CREEK FEDERAL SERVICES, INC.",CHUGACH ALASKA CORPORATION,96081.41,2017-03-22,2017,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,GU,WY-17-0025,CE-0007C-BW
PORCUPINE SCHOOL,SD DEPT OF EDUCATION,"SOUTH DAKOTA, STATE OF",90579.52,2013-06-14,2013,,SD,NSLP-13-204,
CHUGACH INFORMATION TECHNOLOGY LLC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,52999.00,2017-07-25,2017,ENGINEERING SERVICES,AK,P010227644,
A3 TECHNOLOGY INC,"ARCTIC SLOPE TECHNICAL SERVICES, INC.",ARCTIC SLOPE TECHNICAL SERVICES  INC.,564234.00,2021-05-03,2021,OTHER COMPUTER RELATED SERVICES,NJ,ART3-00031,CE-00078-KR
"PENNSYLVANIA STATE UNIVERSITY, THE",STARFIRE INDUSTRIES LLC,,340000.00,2019-07-01,2019,,PA,980099,
CHEYENNE RIVER SIOUX TRIBE,DEPARTMENT OF HUMAN SERVICES SOUTH DAKOTA,,10648.51,2026-04-01,2026,,SD,9193-657-014 26,
SQUAXIN ISLAND TRIBE,WA OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCT,,6413.20,2015-10-01,2016,,WA,159317,
"BRISTOL BAY NATIVE ASSOCIATION, INC.",AK DEPARTMENT OF EDUCATION & EARLY DEVELOPMENT,,5858.75,2024-05-23,2024,,AK,CNP,
ONEIDA NATION,"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",,7016.00,2024-09-04,2024,,WI,66419,
THYSSENKRUPP ELEVATOR CORP,"ALUTIIQ MANUFACTURING CONTRACTORS, LLC",ALUTIIQ  LLC,280132.00,2019-06-24,2019,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CA,S0510800-02,CE-0007J-FJ
TOHONO O'ODHAM NATION,ARIZONA DEPARTMENT OF ECONOMIC SECURITY,STATE OF ARIZONA,0.00,2020-07-01,2020,,AZ,DI19-002237,
MISSISSIPPI BAND OF CHOCTAW INDIANS,MS STATE DEPT OF EDUCATION,"MISSISSIPPI, STATE OF",1207691.95,2011-08-31,2011,,MS,V0000720920,
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,NATIONAL FISH AND WILDLIFE FOUNDATION,NATIONAL FISH & WILDLIFE FOUNDATION,4066121.94,2024-06-27,2024,,AK,0318.24.080179,
"ESSENTIAL SPACE, INC.","INUTEQ, LLC",ASRC FEDERAL HOLDING COMPANY  LLC,80800.00,2013-11-13,2014,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,CO,INU136,CE-00078-KR
STRAYCO INC,"WOLF CREEK FEDERAL SERVICES, INC.",WOLF CREEK FEDERAL SERVICES INC,39479.30,2019-09-12,2019,FACILITIES SUPPORT SERVICES,OH,SPO-19-0919,CE-0007C-BW
PIT RIVER TRIBAL COUNCIL,NATIONAL CONGRESS OF AMERICAN INDIANS FUND,,257511.83,2020-10-01,2021,,CA,2020-PRT,
SCOGGIN EXCAVATING,"BRISTOL PRIME CONTRACTORS, LLC",BRISTOL PRIME CONTRACTORS  LLC,240600.00,2020-10-09,2021,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,AK,3021007102,CE-0007A-ZA
RED LAKE HOMELESS SHELTER INC,MINNESOTA DEPARTMENT OF HUMAN SERVICES,,203098.00,2021-08-11,2021,,MN,203098,
CONVERGINT TECHNOLOGIES LLC,"PATRICK CONSTRUCTORS, LLC",PATRICK CONSTRUCTORS  LLC,336985.00,2025-02-06,2025,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",IL,27-1543,CE-00077-DZ
ALARM SECURITY GROUP LLC,"CHUGACH WORLD SERVICES, INC.",CHUGACH ALASKA CORPORATION,25519.00,2013-09-24,2013,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,MD,IDIQ-1180,CE-0007C-BW
FORT MOJAVE TRIBAL COUNCIL,ARIZONA DEPARTMENT OF ECONOMIC SECURITY,,43231.00,2025-10-16,2026,,CA,DI21-002294,
"MYANE INSULATION & CONSTRUCTION COMPANY, INC.","BRISTOL GENERAL CONTRACTORS, LLC",BRISTOL BAY NATIVE CORPORATION,748964.43,2016-10-13,2017,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,TX,3715008720,CE-00088-R8
TREGASKIS BROS LLC,MILLE LACS BAND OF OJIBWE,MILLE LACS BAND OF OJIBWE,60000.00,2019-12-10,2020,,MN,001,CE-000QG-K0
"COOK INLET TRIBAL COUNCIL, INC.",AK ST DHSS,"ALASKA, STATE OF",107545.00,2016-08-10,2016,,AK,602-226-1702,
"SANTA ANA, CITY OF",CA DEPT OF TRANS,"CALIFORNIA, STATE OF",9147083.00,2011-02-14,2011,,CA,69000,
COOK INLET TRIBAL COUNCIL INC,"ALASKA NATIVE JUSTICE CENTER, INC",,822203.00,2023-08-09,2023,,AK,1339,
COOK INLET LENDING CENTER INC,"COOK INLET TRIBAL COUNCIL, INC.",COOK INLET TRIBAL COUNCIL INC,380000.00,2023-10-01,2024,,AK,1440,CE-0007D-HN
FOND DU LAC RESERVATION,STATE OF MINNESOTA,State of Minnesota,214714.00,2019-10-01,2020,,MN,A-CVS-2020-FDLBAND-167,
KENAITZE INDIAN TRIBE,AK DEPARTMENT OF EDUCATION & EARLY DEVELOPMENT,,9969.90,2024-02-13,2024,,AK,CNP,
FOREST COUNTY POTAWATOMI COMMUNITY,WISCONSIN DEPARTMENT OF JUSTICE,"WISCONSIN, STATE OF",147999.00,2016-10-01,2017,,WI,2015-VO-01-11878,
