collection,table,shippable,rows_in,rows_published,rows_withheld,withheld_why,rows_attribution_masked,attribution_masked_why,columns_published,columns_dropped_proprietary,sample_rows,split,files,largest_file_mb,note
_entity_layer,admin_region_assignments.csv,1,2124,2124,0,,0,,21,built_by_script,10,,0,0.0,
_entity_layer,admin_region_overlap_derived.csv,1,28,28,0,,0,,10,,10,,0,0.0,
_entity_layer,admin_region_systems.csv,1,6,6,0,,0,,17,,6,,0,0.0,
_entity_layer,admin_regional_observations.csv,1,27,27,0,,0,,15,built_by_script,10,,0,0.0,
_entity_layer,admin_regions.csv,1,155,155,0,,0,,16,built_by_script,10,,0,0.0,
_entity_layer,bia_aian_national_lar.csv,1,335,335,0,,0,,16,,10,,0,0.0,
_entity_layer,bia_ofa_petitioners.csv,1,20,20,0,,0,,17,,10,,0,0.0,
_entity_layer,bia_offices.csv,1,93,93,0,,0,,32,,10,,0,0.0,
_entity_layer,bia_pl102_477_plans.csv,1,84,84,0,,0,,26,,10,,0,0.0,
_entity_layer,bia_tribal_leaders_directory.csv,1,587,587,0,,0,,49,phone; email,10,,0,0.0,
_entity_layer,bie_uio_dollars_by_entity.csv,1,114,114,0,,0,,14,tribe_id,10,,0,0.0,
_entity_layer,bie_uio_identifier_links.csv,0,302,302,0,,0,,18,tribe_id; source_file,10,,0,0.0,
_entity_layer,cedar_correction_register.csv,1,178,178,0,,0,,14,recorded_by_script,10,,0,0.0,
_entity_layer,cedar_entity_freshness.csv,0,1555,1555,0,,0,,11,,10,,0,0.0,
_entity_layer,cedar_entity_identity_crosswalk.csv,1,10107,10107,0,,0,,18,source_file; built_by,10,,0,0.0,
_entity_layer,cedar_entity_spine.csv,0,1555,1555,0,,0,,41,tribe_id; built_by_script,10,,0,0.0,
_entity_layer,cedar_identifier_graph_edges.csv,1,46820,46820,0,,0,,13,built_by,10,,0,0.0,
_entity_layer,cedar_identifier_graph_nodes.csv,1,115471,115471,0,,0,,16,,10,,0,0.0,
_entity_layer,cedar_identifier_ledger.csv,0,19232,19232,0,,0,,12,tribe_id; source_file,10,,0,0.0,
_entity_layer,cedar_identifier_ledger_final.csv,1,20740,20740,0,,0,,27,tribe_id; source_file,10,,0,0.0,
_entity_layer,cedar_identifier_ledger_tiered.csv,0,19232,19232,0,,0,,20,tribe_id; source_file,10,,0,0.0,
_entity_layer,cedar_identifier_propagation.csv,1,1157,0,1157,publishable=1157,0,,16,built_by,0,,0,0.0,
_entity_layer,cedar_place_id_register.csv,0,1051,1051,0,,0,,10,,10,,0,0.0,
_entity_layer,cedar_places.csv,1,997,997,0,,0,,18,built_by,10,,0,0.0,
_entity_layer,cedar_publishable_identifiers.csv,1,1577,1577,0,,0,,16,tribe_id; source_file,10,,0,0.0,
_entity_layer,cedar_ruling_ledger_consolidated.csv,1,84099,84099,0,,0,,15,source_file,10,,0,0.0,
_entity_layer,cedar_rulings.csv,0,8,8,0,,0,,15,,8,,0,0.0,
_entity_layer,cross_dataset_ruling_map.csv,1,22936,22936,0,,0,,10,source_file,10,,0,0.0,
_entity_layer,entity_aliases.csv,1,6300,6300,0,,0,,19,,10,,0,0.0,
_entity_layer,entity_candidates_new.csv,0,2874,2874,0,,0,,27,,10,,0,0.0,
_entity_layer,entity_candidates_rejected.csv,0,1045,1045,0,,0,,28,,10,,0,0.0,
_entity_layer,entity_dated_public_facts.csv,0,632,632,0,,0,,18,,10,,0,0.0,
_entity_layer,entity_evidence_profile.csv,0,1313,1313,0,,0,,10,,10,,0,0.0,
_entity_layer,entity_hierarchy.csv,1,952,952,0,,0,,10,tribe_id,10,,0,0.0,
_entity_layer,entity_name_harvest.csv,0,31728,31728,0,,0,,14,,10,,0,0.0,
_entity_layer,entity_relationships.csv,1,2292,2292,0,,0,,25,,10,,0,0.0,
_entity_layer,entity_year_coverage.csv,0,196,196,0,,0,,7,,10,,0,0.0,
_entity_layer,entity_year_panel.csv,1,12534,12534,0,,0,,41,tribe_id,10,,0,0.0,
_entity_layer,federal_recognition_events.csv,1,366,366,0,,0,,30,tribe_id,10,,0,0.0,
_entity_layer,federal_recognition_roster.csv,1,17058,17058,0,,0,,21,tribe_id,10,,0,0.0,
_entity_layer,foia_discovery_targets.csv,1,122,122,0,,0,,12,,10,,0,0.0,
_entity_layer,foia_request_index.csv,1,20102,17155,2947,unknown_state:disposition=-=42; unknown_state:disposition=- Other Reasons -=1; unknown_state:disposition=- Other Reasons - All=1; unknown_state:disposition=All Records Referred to Another Agency=17; unknown_state:disposition=Directed Requester to Publicly Available Information=1; unknown_state:disposition=Duplicate Request=47; unknown_state:disposition=Fee-Related Reason=22; unknown_state:disposition=Full Denial=314; unknown_state:disposition=Full Denial Based on Exemption=15; unknown_state:disposition=Full Denial Based on Exemptions=6; unknown_state:disposition=Full Grant=721; unknown_state:disposition=Granted/Denied in Part=1; unknown_state:disposition=Improper FOIA Request for Other Reasons=23; unknown_state:disposition=No Records=242; unknown_state:disposition=Not an Agency Record=23; unknown_state:disposition=Other=402; unknown_state:disposition=Other Reasons - Aggregate Cases=83; unknown_state:disposition=Other Reasons - Directed Requester to Another Entity Subject to the FOIA=9; unknown_state:disposition=Other Reasons - Directed Requester to Publicly Available Information=1; unknown_state:disposition=Other Reasons - Duplicate request=1; unknown_state:disposition=Other Reasons - No Records=16; unknown_state:disposition=Other Reasons - Not Agency Record=1; unknown_state:disposition=Other Reasons - Records not Reasonably Described=1; unknown_state:disposition=Partial Denial=240; unknown_state:disposition=Partial Grant=88; unknown_state:disposition=Partial Grant/Partial Denial=455; unknown_state:disposition=Records Not Reasonably Described=64; unknown_state:disposition=Records Referred to Another Component or Agency=1; unknown_state:disposition=Request Withdrawn=109,0,,44,entity_link_built_by_script; tribe_entity_link_withdrawn_by_script,10,,0,0.0,
_entity_layer,intertribal_memberships.csv,1,989,989,0,,0,,7,,10,,0,0.0,
_entity_layer,intertribal_orgs.csv,1,57,57,0,,0,,15,,10,,0,0.0,
_entity_layer,native_fi_roster.csv,1,94,94,0,,0,,22,,10,,0,0.0,
_entity_layer,nho_doi_notification_roster.csv,1,190,190,0,,0,,13,,10,,0,0.0,
_entity_layer,nho_ito_spine_crosswalk.csv,0,269,269,0,,0,,8,tribe_id,10,,0,0.0,
_entity_layer,nho_ownership_changes.csv,1,9,9,0,,0,,19,date_basis,9,,0,0.0,
_entity_layer,nho_parents.csv,0,21,21,0,,0,,4,,10,,0,0.0,
_entity_layer,nho_register.csv,1,218,218,0,,0,,19,,10,,0,0.0,
_entity_layer,nho_verified_entities.csv,1,36,36,0,,0,,13,source_file,10,,0,0.0,
_entity_layer,nppes_org_registrations.csv,1,16981,16981,0,,0,,28,,10,,0,0.0,
_entity_layer,nppes_spine_name_candidates.csv,1,18221,18221,0,,0,,27,,10,,0,0.0,
_entity_layer,tcu_cdfi_added.csv,1,130,130,0,,0,,26,tribe_id,10,,0,0.0,
_entity_layer,tcu_cdfi_ownership_evidence.csv,1,130,130,0,,0,,7,,10,,0,0.0,
_entity_layer,tcu_roster.csv,1,37,37,0,,0,,12,,10,,0,0.0,
_entity_layer,visitor_access_events.csv,1,20,20,0,,0,,38,,10,,0,0.0,
_entity_layer,visitor_record_foia_requests.csv,1,667,424,243,unknown_state:disposition=-=6; unknown_state:disposition=Duplicate Request=1; unknown_state:disposition=Fee-Related Reason=1; unknown_state:disposition=Full Grant=21; unknown_state:disposition=No Records=8; unknown_state:disposition=Other=33; unknown_state:disposition=Other Reasons - Aggregate Cases=79; unknown_state:disposition=Other Reasons - Directed Requester to Another Entity Subject to the FOIA=7; unknown_state:disposition=Other Reasons - Directed Requester to Publicly Available Information=1; unknown_state:disposition=Other Reasons - No Records=5; unknown_state:disposition=Partial Denial=1; unknown_state:disposition=Partial Grant/Partial Denial=72; unknown_state:disposition=Request Withdrawn=8,0,,21,,10,,0,0.0,
contractors,contractor_ranking.csv,1,1429,1429,0,,0,,44,built_by,10,,0,0.0,
contractors,fpds_uei_cage_map.csv,1,34601,34601,0,,0,,6,source_file,10,,0,0.0,
contractors,fpds_uei_edges.csv,1,5167,5167,0,,0,,11,source_file,10,,0,0.0,
contractors,prime_contracts.csv,1,1217768,1217768,0,,166166,identifier_ruling_review=HOLD=12063; identifier_ruling_review=WITHDRAWN_BY_1079=4487; owner_attribution_status=CONTRADICTED_AS_OF=9223; quarantined_method_not_ruled_tier_A=100114; ruling_status=RULED_CLASS_ONLY=3962; ruling_status=RULED_HOLD=16468; ruling_status=RULED_NAME_KEY_ONLY_NOT_ATTRIBUTED=7703; ruling_status=RULED_NOT_NATIVE=558; ruling_status=RULING_CONFLICT=11588,72,tribe_id; source_file; ruling_source_file,10,,0,0.0,
contractors,prime_contracts_archive_backfill.csv,1,631507,631507,0,,0,,38,tribe_id; source_file,10,,0,0.0,
contractors,prime_contracts_awards.csv,1,455080,455080,0,,0,,30,tribe_id,10,,0,0.0,
contractors,prime_contracts_entity_year.csv,1,6715,6715,0,,0,,16,tribe_id,10,,0,0.0,
contractors,prime_contracts_published.csv,1,455080,455080,0,,0,,24,tribe_id,10,,0,0.0,
contractors,sam_prime_contracts_fy2000_2007.csv,1,269312,269312,0,,0,,89,source_file,10,,0,0.0,
contractors,sam_prime_contracts_fy2000_2007_PUBLISHABLE.csv,1,269312,269312,0,,0,,79,source_file,10,,0,0.0,
contractors,sam_prime_contracts_fy2000_2007_reconciliation.csv,0,6,6,0,,0,,13,,6,,0,0.0,
deals,deals_2000_2019_additions.csv,1,40,40,0,,0,,29,Record_Scope; Threshold_Exception; Date_Basis,10,,0,0.0,
deals,deals_2026_ytd_additions.csv,1,0,0,0,,0,,28,Record_Scope; Threshold_Exception; Date_Basis,0,,0,0.0,
deals,deals_anc_reports_additions.csv,1,28,28,0,,0,,29,Record_Scope; Threshold_Exception; Date_Basis,10,,0,0.0,
