assignment_id,subject_type,subject_id,subject_name,related_subject_name,region_system_code,administrative_region_id,assignment_basis,effective_start_date,effective_end_date,is_primary,verification_status,confidence,source_url,notes,built_date,region_system_version,effective_start_year,effective_end_year,assignment_method,fetched_date,built_by_script
CEDAR-ADMASG-001112,TRIBE,AKNF-AFGNAK-00-KONIAG,Afognak,,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_PUBLISHED,high,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,HUD lists this entity as a tribe administered by Alaska ONAP,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list+exact,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001116,TRIBE,AKNF-AKHIOK-00-KONIAG,Akhiok,,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_PUBLISHED,high,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,HUD lists this entity as a tribe administered by Alaska ONAP,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list+exact,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001120,TDHE,,AVCP RHA,Akiak,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001124,TDHE,,AVCP RHA,Alakanuk,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001128,TDHE,,Bristol Bay HA,Aleknagik,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001132,TDHE,,AVCP RHA,Algaaciq (St. Mary's),HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001136,TDHE,,Northwest Inupiat HA,Ambler,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001140,TDHE,,AVCP RHA,Andreafski,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001144,TDHE,,AVCP RHA,Aniak,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_UNLINKED,medium,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,named by HUD as a tdhe this ONAP administers; not resolved to a Cedar entity,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMASG-001151,TRIBE,AKNF-ARCTIC-00-DOYONL-CATHTG-TNNACH-VENTGV,Arctic Village,,HUD_ONAP_AREA,CEDAR-ADMREG-400001,PROGRAM_RECIPIENT_ASSIGNMENT,,,1,OFFICIAL_PUBLISHED,high,https://www.hud.gov/sites/dfiles/PIH/documents/AK-Tribe-TDHE-Assignments.pdf,HUD lists this entity as a tribe administered by Alaska ONAP,2026-08-06,hud.gov-onap-offices-2026,2025,,hud_onap_tribe_tdhe_assignment_list+exact,2026-08-06,85_build_admin_region_crosswalk.py
