observation_id,region_system_code,administrative_region_id,region_code,observation_name,observation_value,observation_unit,observation_year,published_at_region_level,observation_basis,source_url,source_quote,notes,fetched_date,built_date,built_by_script
CEDAR-ADMOBS-f4c49eaddc97f8bf,BIA_REGION,CEDAR-ADMREG-100002,EASTERN,tribal_members_minimum,62000,persons,2026,1,AGENCY_PUBLISHED,https://www.bia.gov/regional-offices/eastern,"e Region encompasses a dynamic and diverse mix of Tribes and natural resources. There are over 62,000 Tribal Members that make up the 34 Tribes under the Eastern Region’s jurisdiction. The service area incl",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-8e444fae04cf3f59,BIA_REGION,CEDAR-ADMREG-100002,EASTERN,restricted_acres,102677,acres,2026,1,AGENCY_PUBLISHED,https://www.bia.gov/regional-offices/eastern,"Eastern Region’s jurisdiction. The service area includes 460,980 acres held in trust, and 102,677 acres of restricted lands. The Eastern Region’s jurisdictional area consists of the states from Maine to Florida ov",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-e5371f5770f6738f,BIA_REGION,CEDAR-ADMREG-100004,GREAT_PLAINS,federally_recognized_tribes_served,16,count,2026,1,AGENCY_PUBLISHED,https://www.bia.gov/regional-offices/great-plains,"ved Agencies Contact Us Overview The BIA Great Plains Region provides funding and support to 16 federally recognized Indian tribes located in the states of North Dakota, South Dakota, and Nebraska. Tribes in this region ",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-0a8415249c9642ec,BIA_REGION,CEDAR-ADMREG-100005,MIDWEST,federally_recognized_tribes_served,36,count,2026,1,AGENCY_PUBLISHED,https://www.bia.gov/regional-offices/midwest,"s Overview The Bureau of Indian Affairs (BIA) Midwest Region provides funding and support to 36 federally recognized Indian tribes located in the states of Minnesota, Wisconsin, Michigan and Iowa. Tribes in the Midwest R",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-1886a0e6d9220913,IHS_AREA,CEDAR-ADMREG-200001,ALASKA,federally_recognized_tribes_served,228,count,2026,1,AGENCY_PUBLISHED,https://www.ihs.gov/alaska/,"The Alaska Tribal Health Compact is a comprehensive system of health care that serves all 228 federally recognized tribes in Alaska. IHS-funded, tribally-managed hospitals are located in Anchorage, Barrow, Bethe",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-7e657828d8c5c7fc,IHS_AREA,CEDAR-ADMREG-200003,BEMIDJI,federally_recognized_tribes_served,34,count,2026,1,AGENCY_PUBLISHED,https://www.ihs.gov/bemidji/,"site_content""> Bemidji Area The Bemidji Area Office (BAO) provides service and support to 34 Federally-recognized Tribes and 4 Urban Indian Health programs located in Illinois, Indiana, Michigan, Minnesota and ",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-7236ad21e6d0cf2a,IHS_AREA,CEDAR-ADMREG-200003,BEMIDJI,title_v_compacts,11,count,2026,1,AGENCY_PUBLISHED,https://www.ihs.gov/bemidji/,", Indiana, Michigan, Minnesota and Wisconsin. Tribal Health services are provided through 11 P.L. 93-638 Title V compacts and 23 Title I contracts. Urban Indian Health programs are located in Chicago, IL; Detroi",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-f4e172c94bb70230,IHS_AREA,CEDAR-ADMREG-200008,NAVAJO,urban_indian_health_programs,34,count,2026,1,AGENCY_PUBLISHED,https://www.ihs.gov/navajo/,"porations. Native Americans for Community Action, Inc. (NACA), founded in 1971, is one of 34 Urban Indian health programs in the United States. NACA provides outpatient, behavioral health, health promotion, and ",,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-1c90765b219b1171,HUD_ONAP_AREA,CEDAR-ADMREG-400001,AK,cedar_hud_onap_award_rows,60,count,,0,CEDAR_AGGREGATION_FROM_ENTITY_ROWS,https://www.hud.gov/codetalk,,,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
CEDAR-ADMOBS-3c82c51a7f6cc6cd,HUD_ONAP_AREA,CEDAR-ADMREG-400007,SW,cedar_hud_onap_award_rows,62,count,,0,CEDAR_AGGREGATION_FROM_ENTITY_ROWS,https://www.hud.gov/codetalk,,,2026-08-06,2026-08-06,85_build_admin_region_crosswalk.py
