OBJECTID,LARID,LARNAME,CLASSIFICATION,GISACRES,REGION,GlobalID,Shape__Area,Shape__Length,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
2,LAR0002,Crow Creek,1,575104.58502247,Great Plains,{CB8094E7-950A-4A2B-8823-D8C12B86F32A},0.1348065132044198,2.5977796579790824,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
6,LAR0006,Lower Brule,1,474565.96301733,Great Plains,{9FA6C870-CA10-46ED-BE1D-C23283CA03AE},0.11131538580778408,2.48329904836186,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
10,LAR0010,Santee,1,217643.74407984,Great Plains,{C2467519-ACB5-45C5-A915-8F51B5252295},0.05221303323869244,0.9514432901076425,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
14,LAR0014,Yankton,1,828764.91573903,Great Plains,{BA093699-BED6-4D29-A0E4-B766636A4EE1},0.19759158234737006,2.2738251163762553,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
18,LAR0018,Bois Fort (Nett Lake),1,250192.00005052,Midwest,{8B754CB3-214C-43CC-81BD-A4B674A91C76},0.054573681649309036,0.9956108364981915,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
22,LAR0022,Grand Portage,1,107543.62375643,Midwest,{945595CD-A65F-457C-ACC8-05A6A726BF95},0.023517741027680374,1.5189453947394926,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
26,LAR0026,Huron Potawatomi,1,363.77739808,Midwest,{AC872607-03E8-4DC4-9F39-9B4BB3C622D1},8.803351752646552e-05,0.05884562851285376,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
30,LAR0030,Lac Courte Oreilles,1,164532.17285832,Midwest,{F5AB7FD6-EDD6-481A-9C07-8AB7DD5EB507},0.037403028324937415,2.786075878048401,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
34,LAR0034,Little River,1,4287.56820546,Midwest,{2FEC2F34-9D70-4933-A971-5810CE6C1E31},0.0010040424758568907,0.5859427428146405,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
38,LAR0038,Menominee,1,469149.99837664,Midwest,{315E8584-ACE7-43E2-AAFF-F9452285222A},0.10832780620533024,1.6707037294195752,https://biamaps.geoplatform.gov/server/rest/services/DivLTR/BIA_AIAN_National_LAR/FeatureServer/0,DivLTR/BIA_AIAN_National_LAR,2026-09-02T15:48:11.598903+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"federal Indian reservations and associated trust / restricted-fee / mixed-ownership land, as the BIA Division of Land Titles and Records defines them"
