objectid,petition_number,website,petitioner_name,address,city,state,latitude,longitude,zipcode,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
1,005,https://www.bia.gov/as-ia/ofa/005-pimati-nm,Piro/Manso/Tiwa Indian Tribe of the Pueblo of San Juan Guadalupe,P.O. Box 16243,Las Cruces,New Mexico,32.317,-106.772,88004,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
3,056,https://www.bia.gov/as-ia/ofa/056-uhouma-la,"United Houma Nation, Inc.",400 Monarch Drive,Houma,Louisiana,29.595,-90.72,70364,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
5,056B,https://www.bia.gov/as-ia/ofa/056b-pacitr-la,Pointe-au-Chien Indian Tribe,P.O. Box 416,Montegut,Louisiana,29.473,-90.557,70377,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
7,084A,https://www.bia.gov/as-ia/ofa/084a-juajba-ca,"Juaneno Band of Mission Indians, Acjachemen Nation","31411 LaMatanza Street, Suite A",San Juan Capistrano,California,33.503,-117.643,92675,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
9,146,https://www.bia.gov/as-ia/ofa/146-grrvbd,Grand River Bands of Ottawa Indians,1316 Front Ave. NE,Grand Rapids,Michigan,42.971,-85.668,49504,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
11,402,https://www.bia.gov/as-ia/ofa/402-butrbb-la,Butte Tribe of Bayou Bourbeaux,1458 Highway 1226,Natchitoches,Louisiana,31.761,-93.084,71457,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
13,404,https://www.bia.gov/as-ia/ofa/404-chnnnm-nm,Chihene Nde Nation of New Mexico,1216 Hall CT SW,Albuquerque,New Mexico,35.082,-106.659,87105,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
15,406,https://www.bia.gov/as-ia/ofa/406-stmslo-ca,Salinan Tribe of Monterey and San Luis Obispo Counties,8270 Morro Road,Atascadero,California,35.491,-120.669,93422,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
17,408,https://www.bia.gov/as-ia/ofa/408-mitrva-va,Mattaponi Indian Tribe and Reservation,1314 Mattaponi Reservation Circle,West Point,Virginia,37.531,-76.799,23181,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
19,410,https://www.bia.gov/as-ia/ofa/410-slyvic-mi,Salyersville Indian Community,P.O. Box 1359,East Jordan,Michigan,45.157,-85.121,49727,https://biamaps.geoplatform.gov/server/rest/services/Hosted/OFAPetitioners/FeatureServer/0,Hosted/OFAPetitioners,2026-09-02T15:48:30.716051+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,petitioners before the Office of Federal Acknowledgment under 25 CFR Part 83
