OBJECTID,REGIONID,OFFICEID,OFFICENAME,OFFICETYPE,CONTACTNAME,LATITUDE,LONGITUDE,PHONE,FAX,URLADDRESS,ADDRESSID,POCEMAILADDRESS,POCPREFIX,POCFIRSTNAME,POCMIDDLENAME,POCLASTNAME,POCSUFFIX,POCJOBTITLE,POCORG,REGION,AGENCY,GlobalID,cedar_place_id_absent_reason,cedar_place_id,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
1,REG0007,OFID0008,Northwest Regional Office,BIA Regional,,45.5296,-122.6555,(503) 231-6702,(503) 231-6791,https://www.bia.gov/regional-offices/northwest,,,,Bryan,,Mercier,,Regional Director,BIA Region,,,{912582D7-2CD5-4980-891D-ABFA475AC69B},,CEDAR-PLACE-000718-2Y,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
5,REG0012,OFID0013,Western Regional Office,BIA Regional,,33.4772,-112.0744,(602) 379-6600,(602) 379-4139,https://www.bia.gov/regional-offices/western/contact-us,,,,Bryan,,Bowker,,Regional Director (acting),BIA Region,,,{DEA836C6-54A0-41E9-8C84-D013EAA024E7},,CEDAR-PLACE-000722-T2,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
10,REG0007,OFID0018,Coeur d'Alene Agency,Agency,,47.3375,-116.8872,(208) 686-1887,(208) 686-1903,https://www.bia.gov/regional-offices/northwest/coeur-dalene-agency,,,,Bryan,,Mercier,,Regional Director,BIA Region,,,{6FE204B3-E70F-430B-ACD1-A341895A4709},,CEDAR-PLACE-000727-RZ,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
14,REG0007,OFID0022,Metlakatla Agency,Agency,,55.1264,-131.5731,(907) 886-3791,(907) 886-7738,https://www.bia.gov/regional-offices/northwest/metlakatla-agency,,,,Bryan,,Mercier,,Regional Director,BIA Region,,,{00D4C497-A31E-40EC-B3DB-11F61C0DA0C6},,CEDAR-PLACE-000731-G3,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
18,REG0007,OFID0026,Spokane Agency,Agency,,47.8891,-117.9877,(509) 258-4561,(509) 258-7542,https://www.bia.gov/regional-offices/northwest/spokane-agency,,,,Bryan,,Mercier,,Regional Director,BIA Region,,,{6DCB8E52-C047-4293-93FB-5DB1F9FC28D8},,CEDAR-PLACE-000735-87,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
22,REG0009,OFID0030,Blackfeet Agency,Agency,,48.5504,-113.0111,(406) 338-7544,(406) 338-2968,https://www.bia.gov/regional-offices/rocky-mountain/blackfeet-agency,,,,Susan,,Messerly,,Regional Director,BIA Region,,,{702AD4F2-C8C9-4FC4-9972-82B00E65D40F},,CEDAR-PLACE-000739-5V,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
52,REG0002,OFID0002,Eastern Regional Office,BIA Regional,,36.1493,-86.6894,(615) 564-6500,(615) 564-6701,https://www.bia.gov/regional-offices/eastern,,,,Bruce,<Null>,Maytubby,,Regional Director,BIA Region,,,{6A8DA44F-B1AB-4D60-AA0E-B0E6866DD333},,CEDAR-PLACE-000769-YS,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
78,REG0004,OFID0079,Winnebago Agency,Agency,,42.2285,-96.4543,(402) 878-2502,(402) 878-2943,https://www.bia.gov/regional-offices/great-plains/nebraska/winnebago-agency,,,,Timothy,<Null>,LaPointe,,Regional Director,BIA Region,,,{207C09CE-792D-462F-9842-64BC747C7338},,CEDAR-PLACE-000795-T3,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
82,REG0004,OFID0083,Turtle Mountain Agency,Agency,,48.8427,-99.7447,(701) 477-3191,(701) 477-6628,https://www.bia.gov/regional-offices/great-plains/north-dakota/turtle-mountain-agency,,,,Timothy,<Null>,LaPointe,,Regional Director,BIA Region,,,{3E7C65EC-1880-4C11-80DA-A4E4B50E3864},,CEDAR-PLACE-000799-J7,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
86,REG0004,OFID0087,Sisseton Agency,Agency,,45.5629,-97.0705,(605) 698-3001,(605) 698-7784,https://www.bia.gov/regional-offices/great-plains/south-dakota/sisseton-agency,,,,Timothy,<Null>,LaPointe,,Regional Director,BIA Region,,,{7AF0CE6F-6F68-4DB6-81E6-328AE4B32880},,CEDAR-PLACE-000803-FV,https://biamaps.geoplatform.gov/server/rest/services/BOGS/BIA_Office/FeatureServer/0,BOGS/BIA_Office,2026-09-02T15:48:18.053048+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Bureau of Indian Affairs offices - the agency whose entire statutory remit is Indian Country
