objectid,acronym,agreement_type,first_name,last_name,title,email_bia_aotr,latitude,longitude,organization_type,region,partner_name,plan_service_area,plan_start_date,plan_expiration_date,plan_renewal_date,plan_start_date_iso,plan_expiration_date_iso,plan_renewal_date_iso,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
1,,Self-Determination Contract Agreement,Gary,Harrison,Chairman,477PlanSubmission@bia.gov,61.67694,-149.0197661,Tribe,Alaska,Chickaloon Native Village,,1664640000000,1790784000000,1782835200000,2022-10-01,2026-09-30,2026-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
5,,Self-Governance Compact Agreement,Hazen,Shopbell,Chairman,477PlanSubmission@bia.gov,48.0546608,-122.2585449,Tribe,Northwest,Tulalip Tribes of Washington,,1775059200000,1869667200000,1774800000000,2026-04-01,2029-03-31,2026-03-29,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
9,,Self-Governance Compact Agreement,Brooke,Mallory,Chairman,477PlanSubmission@bia.gov,60.54269028,-145.7646484,Tribe,Alaska,Native Village of Eyak (Cordova),,1696176000000,1790784000000,1782835200000,2023-10-01,2026-09-30,2026-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
13,,Self-Governance Compact Agreement,Sandra,Witherspoon,Chairwoman,477PlanSubmission@bia.gov,45.02075958,-85.60486603,Tribe,Midwest,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",,1696176000000,1790784000000,1782835200000,2023-10-01,2026-09-30,2026-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
17,,Self-Determination Contract Agreement,Randall,Werk,President,477PlanSubmission@bia.gov,48.48280334,-108.7610397,Tribe,Rocky Mountain,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,,1696176000000,1790784000000,1782835200000,2023-10-01,2026-09-30,2026-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
21,AVCP,Self-Governance Compact Agreement,Vivian,Korthius,President/CEO,477PlanSubmission@bia.gov,60.79417868,-161.76024717,Consortium,Alaska,Association of Village Council Presidents,"Akiachak Native Community/ Akiak Native Community/ Algaaciq Native Village (St. Mary's)/ Village of Alakanuk/ Yupiit of Andreafski/ Village of Aniak/ Village of Atmautluak/ Village of Bill Moore's Slough/ Village of Chefornak/ Chevak Native Village/ Native Village of Chuathbaluk (Russian Mission, Kuskokwim)/ Chuloonawick Native Village/ Village of Crooked Creek/ Native Village of Eek/ Emmonak Village/ Native Village of Georgetown/ Native Village of Goodnews Bay/ Native Village of Hamilton/ Native Village of Hooper Bay/ Village of Lower Kalskag/ Village of Kalskag/ Kasigluk Traditional Elders Council/ Native Village of Kipnuk/ Native Village of Kongiganak/ Village of Kotlik/ Organized Village of Kwethluk/ Native Village of Kwigillingok/ Lime Village/ Native Village of Marshall (aka Fortuna Ledge)/ Native Village of Mekoryuk/ Asa'carsarmiut Tribe/ Native Village of Napakiak/ Native Village of Napaimute/ Native Village of Napaskiak/ Newtok Village/ Native Village of Nightmute/ Nunakauyarmiut Tribe/ Native Village of Nunam Iqua/ Native Village of Nunapitchuk/ Village of Ohogamiut/ Oscarville Traditional Village/ Native Village of Paimiut/ Pilot Station Traditional Village/ Pitka's Point Traditional Council/ Platinum Traditional Village/ Native Village of Kwinhagak (aka Quinhagak)/ Village of Red Devil/ Native Village of Chuathbaluk (Russian Mission, Kuskokwim)/ Native Village of Scammon Bay/ Village of Sleetmute/ Algaaciq Native Village (St. Mary's)/ Village of Stony River/ Tuluksak Native Community/ Native Village of Tuntutuliak/ Native Village of Tununak/ Umkumiut Native Village",1704128400000,1798736400000,1790784000000,2024-01-01,2026-12-31,2026-09-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
25,,Self-Governance Compact Agreement,Brian,Mason,Chairman,477PlanSubmission@bia.gov,41.99756622,-116.1308746,Tribe,Western,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",,1719849600000,1814371200000,1806422400000,2024-07-01,2027-06-30,2027-03-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
29,,Self-Governance Compact Agreement,Michael,Dolson,Chairman,477PlanSubmission@bia.gov,47.59633636,-114.1144485,Tribe,Northwest,Confederated Salish and Kootenai Tribes of the Flathead Reservation,,1664640000000,1822320000000,1814371200000,2022-10-01,2027-09-30,2027-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
51,KANA,Self-Determination Contract Agreement,Mike,Pfeffe,CEO,477PlanSubmission@bia.gov,57.81179428,-152.35510254,Consortium,Alaska,Kodiak Area Native Association,Native Village of Akhiok/ Native Village of Karluk/ Native Village of Larsen Bay/ Alutiiq Tribe of Old Harbor/ Native Village of Ouzinkie/ Native Village of Port Lions,1696176000000,1853942400000,1845993600000,2023-10-01,2028-09-30,2028-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
69,APIA,Self-Governance Compact Agreement,Dimitri,Philemonof,President,477PlanSubmission@bia.gov,61.17443085,-149.86116028,Consortium,Alaska,Aleutian Pribilof Islands Association,Native Village of Atka/ Native Village of Akutan/ Agdaagux Tribe of King Cove/ Native Village of Belkofski/ Native Village of False Pass/ Native Village of Nelson Lagoon/ Native Village of Nikolski/ Pauloff Harbor Village/ Qagan Tayagungin Tribe of Sand Point/ Qawalangin Tribe of Unalaska/ Pribilof Islands Aleut Communities/ Pribilof Islands Aleut Communities/ Native Village of Unga,1727798400000,1885478400000,1877529600000,2024-10-01,2029-09-30,2029-06-30,https://biamaps.geoplatform.gov/server/rest/services/Hosted/PL102_477_Contracts/FeatureServer/0,Hosted/PL102_477_Contracts,2026-09-02T15:48:24.406325+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Public Law 102-477 tribal self-governance plan agreements; the programme is available only to tribes and tribal consortia
