objectid,tribefullname,tribe,tribealternatename,tribalcomponent,salutation,firstname,middlename,lastname,suffix,aka,jobtitle,organization,biaregion,biaagency,physicaladdress,city,state,zipcode,alaska,fax,website,mailingaddress,mailingaddresscity,mailingaddressstate,mailingaddresszipcode,dateelected,nextelection,directory,notes,ancsaregion,blmregion,borregion,fwsregion,lcc,npsregion,usgsregion,alaskasubsistenceregion,latitude,longtitude,dateelected_iso,nextelection_iso,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
1,Absentee-Shawnee Tribe of Indians of Oklahoma,Absentee-Shawnee,A-S Tribe,Tribe,,John,Raymond,Johnson,,,Governor,,Southern Plains,Southern Plains Regional Office,2025 South Gordon Cooper Drive  ,Shawnee,OK,74801,No,(405) 878-4543,https://www.astribe.com/,2025 South Gordon Cooper Drive ,Shawnee,Oklahoma,74801,6/15/2019,6/15/2024,Tribal,OSG,,New Mexico,Missouri Basin,Region 2 - Southwest,,Intermountain,Southwest,,35.2768946,-96.930272,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
11,Allakaket Village,Allakaket,,Tribe,,Gordon,,Bergman,Sr.,,First Chief,,Alaska,Fairbanks Agency,#6 Main Street ,Allakaket,AK,99720,Yes,(907) 968-2233,,P.O. Box 50 ,Allakaket,Alaska,99720,10/1/2018,10/1/2020,Tribal,election listed as month/year,Doyon Ltd.,Alaska,,Region 7 - Alaska,Northwest Boreal,Alaska,Alaska,Western Interior,66.5656,-152.6456,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
66,Chilkat Indian Village (Klukwan),Chilkat,Klukwan,Tribe,,Kimberley,A.,Strong,,,President,,Alaska,Alaska Regional Office, 32 Chilkat Avenue,Klukwan,AK,99827,Yes,(907) 767-5518,http://www.chilkat-nsn.gov,HC 60 Box 2207 ,Haines,Alaska,99827,5/1/2019,05/01/2022,Tribal,Election occurs in the month of May; 3 year term,Sealaska Corp.,Alaska,,Region 7 - Alaska,North Pacific,Alaska,Alaska,Southeast,59.4039,-135.8844,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
98,Curyung Tribal Council,Curyung,,Tribe,,Jonathan,"""JJ""",Larson,,,First Chief,,Alaska,Alaska Regional Office,715 Seward Street,Dillingham,AK,99576,Yes,(907) 842-4510,http://www.curyungtribe.com,P.O. Box 216 ,Dillingham,Alaska,99576,11/20/2021,11/1/2022,Tribal,Election listed as month/year; three-year term.,Bristol Bay Native Corp.,Alaska,,Region 7 - Alaska,Western Alaska,Alaska,Alaska,Bristol Bay,59.0397,-158.4575,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
157,Ivanof Bay Tribe,Ivanof Bay Tribe,Ivanof Bay Village,Tribe,,Edgar,John,Shangin,,,President,,Alaska,Alaska Regional Office,"6407 Brayton Drive, Suite 201 ",Anchorage,AK,99507,Yes,(907) 522-2363,http://www.ivanofbaytribe.org,"6407 Brayton Drive, Suite 201 ",Anchorage,Alaska,99507,4/1/2011,1/1/2013,Tribal,,Bristol Bay Native Corp.,Alaska,,Region 7 - Alaska,Western Alaska,Alaska,Alaska,Bristol Bay,61.2181,-149.9003,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
268,Native Village of Eyak (Cordova),Eyak,Cordova,Tribe,,Darrel,,Olsen,,,Chairman,,Alaska,Alaska Regional Office,110 Nicholoff Way ,Cordova,AK,99574,Yes,(907) 424-7739,http://www.eyak-nsn.gov,P.O. Box 1388 ,Cordova,Alaska,99574-1388,07/17/2018,5/01/2020,Tribal,"2 year term, election listed as month/year.",Chugach Alaska Corp.,Alaska,,Region 7 - Alaska,North Pacific,Alaska,Alaska,Southcentral,60.5424,-145.7525,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
309,Native Village of Point Hope,Point Hope IRA,,Tribe,,Alzred,,Oomittuk,,,President,,Alaska,Fairbanks Agency,916 Ippiq Street ,Pt. Hope,AK,99766,Yes,(907) 368-2332,,P.O. Box 109 ,Pt. Hope,Alaska,99766,2020,2021,Tribal,2 yr term.,Arctic Slope Regional Corp.,Alaska,,Region 7 - Alaska,Arctic,Alaska,Alaska,North Slope,68.3478,-166.8081,1970-01-01,1970-01-01,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
345,Ninilchik Village,Ninilchik,,Tribe,,Richard,G.,Encelewski,,,President,,Alaska,Alaska Regional Office,15910 Sterling Highway ,Ninilchik,AK,99639,Yes,(907) 567-3308,http://www.ninilchiktribe-nsn.gov,P.O. Box 39070 ,Ninilchik,Alaska,99639,11/14/2020,11/08/2021,Tribal,3 year term,Cook Inlet Region Inc.,Alaska,,Region 7 - Alaska,Northwest Boreal,Alaska,Alaska,Southcentral,60.0514,-151.6689,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
383,Pauloff Harbor Village,Pauloff Harbor,,Tribe,,George,P.,Gunderson,,,President,,Alaska,Alaska Regional Office,1 Main Street Room 7 & 8,Sand Point,AK,99661,Yes,(907) 383-6094,http://www.pauloffharbortribe.org,P.O. Box 97 ,Sand Point,Alaska,99661,5/17/2018,5/16/2019,Tribal,3 year term,The Aleut Corp.,Alaska,,Region 7 - Alaska,Western Alaska,Alaska,Alaska,Kodiak/Aleutians,55.3397,-160.4972,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
507,Tangirnaq Native Village ,Tangirnaq,Lesnoi Village (aka Woody Island),Tribe,,Gwen,,Sargent,,,President,,Alaska,Alaska Regional Office,3449 E Rezanof Drive ,Kodiak,AK,99615,Yes,(907) 486-4829,http://www.woodyisland.com,3449 Rezanof Drive E ,Kodiak,Alaska,99615,07/01/2019,07/01/2020,Tribal,1 year term,Koniag Inc.,Alaska,,Region 7 - Alaska,Western Alaska,Alaska,Alaska,Kodiak/Aleutians,57.79,-152.4072,,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/Tribal_Leaders_Directory_new/FeatureServer/0,Hosted/Tribal_Leaders_Directory_new,2026-09-02T15:48:05.043110+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,"the BIA Tribal Leaders Directory - a register of federally recognized tribal governments, Indian Country by construction"
