crosswalk_id,cedar_entity_id,cedar_entity_name,cedar_entity_class,external_scheme,external_identifier,mapping_direction,mapping_status,confidence_tier,tier_source,attribution_method,asserting_authority,basis,identifier_publishes,publish_restriction,n_entities_for_this_identifier,built_date,cedar_uid
CXW-cd61322efcd3652f,CE-00124-6D,Absentee-Shawnee,Federally recognized tribe,ENTITY_MASTER,T-0001,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00124-6D
CXW-187de19843d527e1,CE-00076-76,"Ahtna, Incorporated",Alaska Native Regional Corporation,ENTITY_MASTER,A-0001,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00076-76
CXW-8ace057f758dc420,CE-00006-4P,Akiak,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0006,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00006-4P
CXW-5ddb3601a21b8671,CE-00009-P1,Alakanuk,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0545,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00009-P1
CXW-de1b99889e3ddd90,CE-00008-G8,Allakaket,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0012,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00008-G8
CXW-d71790324d448862,CE-0000G-0G,Anaktuvuk Pass,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0546,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-0000G-0G
CXW-c4efcc3dedce5d2f,CE-0000H-69,Anvik,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0016,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-0000H-69
CXW-1c2b68afd76e6fc6,CE-00128-YH,Assiniboine and Gros Ventre Tribes,Federally recognized tribe,ENTITY_MASTER,T-0119,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-00128-YH
CXW-73b467e6fb7e6488,CE-0000N-YD,Atqasuk,Federally recognized Alaska Native Village,ENTITY_MASTER,T-0252,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-0000N-YD
CXW-5f4b82be08a549c2,CE-0012N-CP,Bay Mills,Federally recognized tribe,ENTITY_MASTER,T-0023,ATTRIBUTE_OF_CEDAR_ID,APPLIED,A,cedar_entity_spine.csv - the register id was recorded on the row when the entity was added,upstream_register_join,Cedar Entity_Master workbook register,"entity_master.csv::Entity_ID. NOT a Cedar id, despite living in a spine column called `cedar_entity_id`. Scripts 52/61/66/163 dedupe on it. See cedar_ids.ENTITY_ID_COLUMN_MEANINGS.",N,internal register key; no external authority asserts it,1,2026-08-26,CE-0012N-CP
