canonical_name,entity_class,state,bia_region,self_governance,cedar_entity_id,n_uei_tierA,n_uei_tierB,n_cage,n_ein,aliases,parent_entity_id,parent_entity_name,ultimate_parent_entity_id,ultimate_parent_entity_name,ancsa_region_entity_id,hierarchy_basis,reconciliation_status,reconciliation_note,fr_official_name,parent_native_entity,serves_native_entities,ownership_basis,entity_source_url,entity_source_quote,bie_operation_type,source_url,source_quote,entity_website,city,evidence_tier,evidence_grade,verification_route,evidence_url,canonical_entity_id_column,cedar_entity_id_scheme,entity_master_register_id,entity_master_register_id_basis,constituent_band_of_entity_id,constituent_band_of_basis,cedar_uid
Fond du Lac,Federal-level constituency entity,MN,Midwest,1,T-0230,1,0,0,0,"Fond du Lac|Minnesota Chippewa Tribe, Minnesota – Fond du Lac Band|Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",CE-00170-7S,Minnesota Chippewa,CE-00170-7S,Minnesota Chippewa,,constituent community of a federally recognised tribe; derived from the spine identifier,,,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",,,,,,,,,,,,,,,tribe_id,ENTITY_MASTER_REGISTER_FK,T-0230,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",CE-00170-7S,"Derived from the constituent-band id itself (CNSF-<UMBRELLA>-<BAND>) and then VERIFIED present in the spine; never written where the umbrella is absent. cedar_domain.NEVER_OWNERSHIP contains `constituent_band_of`, so this edge carries NO dollar in either direction. It exists so the CONSTITUENT_BAND_VS_UMBRELLA_TRIBE rows in review/identifier_one_to_many_defects_2026-08-26.csv can be TYPED rather than guessed at.",CE-000QD-1N
Aha Wahine,Native Hawaiian Organization,HI,,,N-0037,0,0,0,0,Aha Wahine,,,CE-000SX-B5,Aha Wahine,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0037,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000SX-B5
Ala Kahakai Trail Association,Native Hawaiian Organization,HI,,,N-0041,0,0,0,1,Ala Kahakai Trail Association,,,CE-000XX-Z5,Ala Kahakai Trail Association,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0041,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000XX-Z5
Association of Hawaiian Civic Clubs,Native Hawaiian Organization,HI,,,N-0045,0,0,0,1,Association of Hawaiian Civic Clubs,,,CE-000VT-3T,Association of Hawaiian Civic Clubs,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0045,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000VT-3T
Charles Pelenui Mahi Ohana,Native Hawaiian Organization,HI,,,N-0050,0,0,0,0,Charles Pelenui Mahi Ohana,,,CE-000T8-J8,Charles Pelenui Mahi Ohana,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0050,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000T8-J8
Friends of ‘Iolani Palace,Native Hawaiian Organization,HI,,,N-0055,0,0,0,1,Friends of ‘Iolani Palace,,,CE-000TF-WQ,Friends of ‘Iolani Palace,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0055,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000TF-WQ
Hale Mua Cultural Group,Native Hawaiian Organization,HI,,,N-0059,0,0,0,1,Hale Mua Cultural Group,,,CE-000TY-PE,Hale Mua Cultural Group,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0059,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000TY-PE
Hawaiian Civic Club of Wahiawa,Native Hawaiian Organization,HI,,,N-0063,0,0,0,1,Hawaiian Civic Club of Wahiawa,,,CE-000VS-X1,Hawaiian Civic Club of Wahiawa,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0063,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000VS-X1
Historic Hawaiʻi Foundation,Native Hawaiian Organization,HI,,,N-0067,0,0,0,1,Historic Hawaiʻi Foundation,,,CE-000VC-FW,Historic Hawaiʻi Foundation,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0067,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000VC-FW
Ho‘okano Family Land Trust,Native Hawaiian Organization,HI,,,N-0071,0,0,0,0,Ho‘okano Family Land Trust,,,CE-000TT-YA,Ho‘okano Family Land Trust,,,nho_doi_registered_not_contracting_verified,Registered with the DOI Office of Native Hawaiian Relations and listed on its NHO Notification List (each directory entry carries an 'Originally Registered' date). Establishes NHO status for NHPA consultation under 54 U.S.C. 300309. Does NOT establish 13 C.F.R. 124.3 NHO status for SBA 8(a) contracting.,,,,,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",,,,,,C,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,tribe_id,ENTITY_MASTER_REGISTER_FK,N-0071,"entity_master.csv::Entity_ID - the UPSTREAM register's identifier, NOT a Cedar id. Carried in the spine column named `cedar_entity_id`, which is a misnomer: in data/clean that same column name holds the CANONICAL id (TRBF-...). Scripts 52/61/66/163 dedupe against this value. Renaming the column is BLOCKED-ON-CONSUMERS - see the docstring of code/416_reconcile_spine_id_columns.py and docs/CEDAR_ID_SYSTEM.md.",,,CE-000TT-YA
