identifier_type,identifier,canonical_name,legal_business_name,entity_class,attribution_method,confidence_tier,tier_rationale,evidence_url,verified_date,state,prime_dollars_M
UEI,M46UYYHVH4B1,"NANA (NANA Regional Corporation, Inc.)","Tkc Integration Services Llc,",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,VA,3429.631
UEI,YKBMG32J2LL5,Native Village of Eyak (Cordova),"Eyak Technology, Llc",Federally recognized Alaska Native Village,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,VA,1952.922
UEI,VJPCB8N3JYK3,Cherokee Nation,"Cherokee Nation Management & Consulting, L.L.C.",Federally recognized tribe,hand,A,Manual attribution with citation,user_final_tribes.dta,2026-04-27,OK,1726.724
UEI,VEBGB7SC4JP6,Chugach Alaska Corporation,"Chugach Support Services, Inc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,AK,1398.328
UEI,ENJTMRJY53Z8,Native Village of Afognak,Fss Alutiiq Joint Venture,Federally recognized Alaska Native Village,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,VA,1226.791
UEI,VF2ANJQHJ1N7,Arctic Slope Regional Corporation,Asrc Research And Technology Solutions Limited Liability Company,Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,MD,973.225
UEI,ER4NK9VHCRR6,Chugach Alaska Corporation,"Chugach World Services, Inc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,AK,793.262
UEI,YMW9NHJQDLC5,Bristol Bay Native Corporation,Cci Group Limited Liability Company,Alaska Native Regional Corporation,web_verified,A,Verified against a retrieved source,https://www.bbch-llc.com/,2026-04-29,AK,754.247
UEI,LUDNH5K4XQU9,"NANA (NANA Regional Corporation, Inc.)","Akima Global Services, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,VA,687.478
UEI,FGMYA92VQKA9,"NANA (NANA Regional Corporation, Inc.)",Cazador Apparel Limited Liability Company,Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",sam_uei_to_tribe_assignment_v3.csv,2026-04-27,AK,635.718
