cedar_place_id,place_class,source_scheme,source_key,binding_role,place_name_at_mint,operator_cedar_uid_at_mint,minted,minted_by,minted_basis
CEDAR-PLACE-000001-6S,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-686900,primary,Keex Kwan Gaming – Bingo,CE-0006Y-JE,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000005-YX,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-570000,primary,Wind Creek Montgomery,CE-0018H-JJ,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000009-P1,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-44500,primary,BlueWater Resort & Casino,CE-0013N-H6,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000013-E5,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-65900,primary,Cliff Castle Casino Hotel,CE-0013Z-D0,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000017-69,GAMING_PROPERTY,GAMING_FACILITY_ID,VP-0233,primary,Desert Diamond Casino Tucson,CE-001B9-HT,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000021-YD,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-40800,primary,Desert Diamond Casinos & Entertainment - Tucson,CE-001B9-HT,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000025-PH,GAMING_PROPERTY,GAMING_FACILITY_ID,VP-0248,primary,Fort McDowell Casino - rebranded We-Ko-Pa,CE-0014F-J0,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000029-EN,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-805000,primary,Lehi Community Building,CE-001AT-JK,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000033-B9,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-118500,primary,Paradise Casino Arizona,CE-00191-QJ,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
CEDAR-PLACE-000037-3D,GAMING_PROPERTY,GAMING_FACILITY_ID,CCP-252600,primary,Talking Stick Resort,CE-001AT-JK,2026-09-02,code/1129_place_ids.py,ordinal allocated by code/cedar_ids.py under an exclusive lock; two check characters appended by 503_identity.check_chars; binding is append-only and immutable
