cedar_place_id,place_class,place_name,city,state,postal_code,latitude,longitude,operator_cedar_uid,operator_name,operator_basis,source_scheme,source_keys,n_source_keys,adjudication_verdict,adjudication_basis,minted,built_by,built_date
CEDAR-PLACE-000001-6S,GAMING_PROPERTY,Keex Kwan Gaming – Bingo,Kake,AK,99830,56.958251,-133.91224,CE-0006Y-JE,Kake,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-686900,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000006-4P,GAMING_PROPERTY,Wind Creek Wetumpka,Wetumpka,AL,36092-3084,32.525848388671875,-86.20878601074219,CE-0018H-JJ,Poarch,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-544800,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000018-C2,GAMING_PROPERTY,Desert Diamond Casino West Valley,Glendale,AZ,85305,33.5475,-112.2728,CE-001B9-HT,Tohono O'odham,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,VP-0040,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000025-PH,GAMING_PROPERTY,Fort McDowell Casino - rebranded We-Ko-Pa,Fort McDowell,AZ,85264,33.6164,-111.7069,CE-0014F-J0,Fort McDowell,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,VP-0248,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000037-3D,GAMING_PROPERTY,Talking Stick Resort,Scottsdale,AZ,85271-0099,33.54049301147461,-111.8695297241211,CE-001AT-JK,Salt River,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-252600,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000043-73,GAMING_PROPERTY,Augustine Casino,Coachella,CA,92236-9780,33.6557502746582,-116.19732666015625,CE-0011X-QE,Augustine,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-555700,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000048-50,GAMING_PROPERTY,"Black Oak Casino - none, see Tuolumne",Tollhouse,CA,93667,37.1167,-119.3000,CE-0013D-1Y,Cold Springs,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,VP-0085,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000053-3X,GAMING_PROPERTY,Casino Morongo,Cabazon,CA,92230-2200,33.92068099975586,-116.79417419433594,CE-00178-Q1,Morongo,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-843300,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000062-SY,GAMING_PROPERTY,Desert Rose Casino,Alturas,CA,96101-0910,41.4778938293457,-120.52391815185547,CE-00121-M2,Alturas,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,CCP-531600,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
CEDAR-PLACE-000066-PJ,GAMING_PROPERTY,Elem Indian Colony Casino,Clearlake Oaks,CA,95423,39.0419,-122.6583,CE-00146-WZ,Elem,"gaming_facilities.cedar_uid, as keyed by the gaming entity layer",GAMING_FACILITY_ID,VP-0076,1,SINGLETON,no same-name collision in this state,2026-09-02,code/1129_place_ids.py,2026-09-02
