identifier_type,identifier,canonical_name,legal_business_name,entity_class,attribution_method,confidence_tier,tier_rationale,is_authority,exclusion_id,exclusion_evidence,evidence_url,verified_date,state,prime_dollars_M,cedar_uid
UEI,WVJKC2L1ZN11,Confederated Salish and Kootenai Tribes of the Flathead Reservation,S And K Aerospace Incorporated,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,user_final_tribes.dta,2026-04-27,MT,3079.505,CE-0013X-1E
UEI,NWKQVQED4C81,Calista Corporation,Defense Systems And Solutions,Alaska Native Regional Corporation,web_verified,A,Verified against a retrieved source,YES,,,https://yulista.com/subsidiaries/defense-systems-solutions-llc/,2026-04-29,AL,1437.437,CE-0007B-53
UEI,XQJMR89SR6J7,Winnebago Tribe of Nebraska,Hci Management Services Company,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,user_final_tribes.dta,2026-04-27,NE,609.81,CE-001C8-GH
UEI,LVK9CLYD1S36,Central Council of the Tlingit & Haida Indian Tribes,"Goldbelt Wolf, Llc",Federally recognized Alaska Native Village,web_verified,A,Verified against a retrieved source,YES,,,https://www.goldbelt.com/,2026-04-29,VA,493.341,CE-0006B-0K
UEI,F5JZUL8JTEK3,Bering Straits Native Corporation,"Global Precision Systems, Llc",Alaska Native Regional Corporation,subsidiary_lookup,A,"Structural parent->child, documented",YES,,,https://beringstraits.com/,2026-04-29,AK,421.65,CE-00079-SH
UEI,C7FMT3F1RAK5,Winnebago Tribe of Nebraska,All Native Services,Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,user_final_tribes.dta,2026-04-27,NE,388.38,CE-001C8-GH
UEI,MC5NT1MDXNJ4,Bristol Bay Native Corporation,"Cci Utility Services, Llc",Alaska Native Regional Corporation,subsidiary_lookup,A,"Structural parent->child, documented",YES,,,https://www.bbch-llc.com/,2026-04-29,AK,343.834,CE-0007A-ZA
UEI,LKCXFSNY42Q3,"Navajo Nation, Arizona, New Mexico, & Utah",Ddc It Services Llc,Federally recognized tribe,subsidiary_lookup,A,"Structural parent->child, documented",YES,,,https://ddc-dine.com/our-companies/,2026-04-29,AZ,326.913,CE-0017F-1G
UEI,ULBJLGWUNXK1,Passamaquoddy Indian Township,Creative Apparel Assoc,Federal-level constituency entity,hand,A,Manual attribution with citation,YES,,,user_final_tribes.dta,2026-04-27,ME,307.242,CE-000QK-5B
UEI,MPWJK1778LW3,Seneca Nation of Indians,"Seneca Telecommunications, Llc",Federally recognized tribe,hand,A,Manual attribution with citation,YES,,,user_final_tribes.dta,2026-04-27,NY,280.507,CE-001AC-YN
