alias_id,entity_id,alias_name,normalized_alias,alias_type,source_system,start_date,end_date,first_observed_date,last_observed_date,verification_status,confidence,tier,source_id,created_at,alias_type_normalized,alias_role,alias_layer_basis,cedar_uid
CEDAR-ALIAS-00042789,CE-00150-XS,Wisconsin Winnebago Tribe,wisconsin winnebago tribe,former_legal,federal_register,,1995-02-16,,,OFFICIAL,0.98,A,60 FR 9250,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Wisconsin Winnebago Tribe)' against this entity at 60 FR 9250, published 1995-02-16. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-00150-XS
CEDAR-ALIAS-00042793,CE-001AN-MP,Devils Lake Sioux Tribe,devils lake sioux tribe,former_legal,federal_register,,1997-10-23,,,OFFICIAL,0.98,A,62 FR 55270,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Devils Lake Sioux Tribe)' against this entity at 62 FR 55270, published 1997-10-23. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-001AN-MP
CEDAR-ALIAS-00042797,CE-0003K-1B,Mentasta Lake Village,mentasta lake village,former_legal,federal_register,,1997-10-23,,,OFFICIAL,0.98,A,62 FR 55270,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Mentasta Lake Village)' against this entity at 62 FR 55270, published 1997-10-23. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-0003K-1B
CEDAR-ALIAS-00042801,CE-00041-TS,Native Village of Toksook Bay,native village of toksook bay,former_legal,federal_register,,2000-03-13,,,OFFICIAL,0.98,A,65 FR 13298,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Native Village of Toksook Bay)' against this entity at 65 FR 13298, published 2000-03-13. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-00041-TS
CEDAR-ALIAS-00042805,CE-001CC-8N,Confederated Tribes and Bands of the Yakama Indian Nation of the Yakama Reservation,confederated tribes and bands of the yakama indian nation of the yakama reservation,former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Confederated Tribes and Bands of the Yakama Indian Nation of the Yakama Reservation)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-001CC-8N
CEDAR-ALIAS-00042809,CE-0014W-05,Hannahville Indian Community of Wisconsin Potawatomie Indians of Michigan,hannahville indian community of wisconsin potawatomie indians of michigan,former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Hannahville Indian Community of Wisconsin Potawatomie Indians of Michigan)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-0014W-05
CEDAR-ALIAS-00042813,CE-0016A-Y3,Little River Band of Ottawa Indians of Michigan,little river band of ottawa indians of michigan,former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Little River Band of Ottawa Indians of Michigan)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-0016A-Y3
CEDAR-ALIAS-00042817,CE-0018K-Y4,Pokagon Band of Potawatomi Indians of Michigan,pokagon band of potawatomi indians of michigan,former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Pokagon Band of Potawatomi Indians of Michigan)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-0018K-Y4
CEDAR-ALIAS-00042821,CE-00197-V8,"Red Lake Band of Chippewa Indians of the Red Lake Reservation, Minnesota","red lake band of chippewa indians of the red lake reservation, minnesota",former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Red Lake Band of Chippewa Indians of the Red Lake Reservation, Minnesota)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-00197-V8
CEDAR-ALIAS-00042825,CE-001AH-WJ,Soboba Band of Luiseno Mission Indians of the Soboba Reservation,soboba band of luiseno mission indians of the soboba reservation,former_legal,federal_register,,2002-07-12,,,OFFICIAL,0.98,A,67 FR 46328,2026-08-26,former_legal,historical,"FORMER LEGAL NAME. The Federal Register list carries '(previously listed as Soboba Band of Luiseno Mission Indians of the Soboba Reservation)' against this entity at 67 FR 46328, published 2002-07-12. **A RENAME DOES NOT MINT A NEW ID** - same entity, new name, one Cedar id, and the old name must keep resolving forever. start_date / end_date / first_observed_date / last_observed_date are BLANK unless a source dates them. BLANK MEANS NOT RECORDED, never 'the name was never used'. They are deliberately NOT filled with the build date: a build date in an observation column is what set 38 collection descriptors to vintage 2026-08-26.",CE-001AH-WJ
