candidate_name,proposed_prefix,proposed_class,priority,evidence,n_occurrences,source_datasets,example_source_row,first_year_seen,last_year_seen,normalised_name,YOUR_RULING,entity_category,roll_up_target,parent_requirement,parent_native_entity,serves_native_entities,serves_basis,record_complete,entity_category,roll_up_target,parent_requirement,parent_native_entity,serves_native_entities,serves_basis,record_complete,cedar_uid
NANA Development Corporation  - both principals are Native,A-,Alaska Native corporation / village corporation,MEDIUM,Alaska Native corporate token 'nana',1,deals[deals_anc_reports_additions].Counterparty_or_Funder,deals_anc_reports_additions.csv:row17,2005,2005,nana development corporation both principals are native,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
NATIVE HAWAIIAN ORGANIZATION CHARITY,N-,Native Hawaiian Organization,HIGH,listed on a DOI NHO notification roster / NHO parent list,3,identifier_ledger.legal_business_name|nho_parents.parent_name|np_orgs.org_name,np_orgs.csv:row3076,2025,2025,native hawaiian organization charity,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
Cayuse Native Hawaiian Veterans,N-,Native Hawaiian Organization,MEDIUM,Hawaiian-language / Hawaiian-place token 'hawaiian',5,identifier_ledger.legal_business_name|subawards.sub_name,subawards.csv:row275,2019,2021,cayuse native hawaiian veterans,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
AKEANOEAU KELIIPIO NATIVE HAWAIIAN CORPORATION,N-,Native Hawaiian Organization,LOW,Hawaiian-language / Hawaiian-place token 'hawaiian',1,np_orgs.org_name,np_orgs.csv:row3052,2024,2024,akeanoeau keliipio native hawaiian,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
MAUI NATIVE HAWAIIAN CHAMBER FOUNDATION,N-,Native Hawaiian Organization,LOW,Hawaiian-language / Hawaiian-place token 'hawaiian',1,np_orgs.org_name,np_orgs.csv:row3066,2024,2024,maui native hawaiian chamber,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
SOCIETY OF NATIVE HAWAIIAN ENGINEERS,N-,Native Hawaiian Organization,LOW,Hawaiian-language / Hawaiian-place token 'hawaiian',1,np_orgs.org_name,np_orgs.csv:row3081,2024,2024,society of native hawaiian engineers,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
SISSETON-WAHPETON SIOUX INDIAN TRIBE,T-,Tribal government (recognition status unruled),HIGH,tribal-government form 'tribe',12,lobbying_disclosures.client_name,native_entity_lobbying_disclosures.csv:row176,2000,2005,sisseton wahpeton sioux indian tribe,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
Viejas Band of Kumeyaay Indians,T-,Tribal government (recognition status unruled),HIGH,tribal-government form 'band',5,deals[deals_federal_awards_additions].Native_Party|gaming_facilities.tribe|identifier_ledger.legal_business_name,deals_federal_awards_additions.csv:row25,1991,2022,viejas band of kumeyaay indians,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
Cheesh'na Tribal Council,T-,Tribal government (recognition status unruled),HIGH,tribal-government form 'tribal',2,deals[deals_federal_awards_additions].Native_Party|identifier_ledger.legal_business_name,deals_federal_awards_additions.csv:row508,2025,2025,cheeshna tribal council,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
Shivwits Band of Paiutes,T-,Tribal government (recognition status unruled),HIGH,tribal-government form 'band',2,deals[deals_federal_awards_additions].Native_Party|identifier_ledger.legal_business_name,deals_federal_awards_additions.csv:row170,2023,2023,shivwits band of paiutes,,native_entity,yes,none_top_level,,,,yes,native_entity,yes,none_top_level,,,,yes,
