cedar_uid,handle,canonical_name,entity_class,route,source,source_url,fact_key,fact_label,fact_value,as_of_date,as_of_date_basis,identifier_type,identifier_value,match_method,match_note,uniform_source_date,evidence,checked_date
CE-000D5-ZD,BIE-AHFACH-00,Ahfachkee School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Ahfachkee Day School | status open | enrollment 231 | teachers_fte 3 | Clewiston, FL",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00041,distinctive_token_overlap,tokens 1/1 shared (ahfachkee) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590009200041",2026-09-02
CE-000DD-FN,BIE-BLCKMS-00,Black Mesa Community School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Black Mesa Community School | status open | enrollment 52 | teachers_fte 5 | Pinon, AZ",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00008,distinctive_token_overlap,"tokens 2/2 shared (black,mesa) need 2",Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590010200008",2026-09-02
CE-000DM-S4,BIE-CHEMAW-00,Chemawa Indian School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Chemawa Indian School | status open | enrollment 198 | teachers_fte 16 | Salem, OR",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00120,distinctive_token_overlap,tokens 1/1 shared (chemawa) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590016400120",2026-09-02
CE-000DG-10,BIE-CHCHLT-00,Chi Chil'tah Community School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Chi Chil'tah Community School | status open | enrollment 54 | teachers_fte 5 | Vanderwagen, NM",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00026,distinctive_token_overlap,"tokens 2/2 shared (chi,chiltah) need 2",Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590017900026",2026-09-02
CE-000DV-3K,BIE-CHTMC1-00,Chitimacha Tribal School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Chitimacha Tribal School | status open | enrollment 110 | teachers_fte 7 | Jeanerette, LA",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00046,distinctive_token_overlap,tokens 1/1 shared (chitimacha) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590014600046",2026-09-02
CE-000E0-60,BIE-CRCLNT-00,Circle of Nations Wahpeton Indian School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Circle of Nations | status open | enrollment 121 | teachers_fte None | Wahpeton, ND",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00083,distinctive_token_overlap,"tokens 2/2 shared (circle,nations) need 2",Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590009500083",2026-09-02
CE-000DY-NY,BIE-COVEDA-00,Cove Day School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Cove Day School | status open | enrollment 29 | teachers_fte 3 | Red Valley, AZ",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00143,distinctive_token_overlap,tokens 1/1 shared (cove) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590006500143",2026-09-02
CE-000E9-W1,BIE-DCKWTR-00,Duckwater Shoshone Elementary School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Duckwater Shoshone Elementary School | status open | enrollment 12 | teachers_fte 1 | Duckwater, NV",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00135,distinctive_token_overlap,"tokens 2/2 shared (duckwater,shoshone) need 2",Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590015300135",2026-09-02
CE-000ET-2A,BIE-HNNHVL-00,Hannahville Indian School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Hannahville Indian School | status open | enrollment 175 | teachers_fte 28 | Wilson, MI",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00086,distinctive_token_overlap,tokens 1/1 shared (hannahville) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590018700086",2026-09-02
CE-000F0-BG,BIE-ISLAND-00,Indian Island School,BIE School,ccd,"NCES Common Core of Data, BIE reporting universe (fips 59), via the Urban Institute Education Data API",https://educationdata.urban.org/api/v1/schools/ccd/directory/2024/?fips=59,ccd_last_reported,most recent NCES CCD school year in which this school reported,"SY2024-25 | Indian Island School | status open | enrollment 81 | teachers_fte 17 | Indian Island, ME",2024-10-01,"1 October 2024, the autumn membership count date of CCD collection year 2024 (school year 2024-25). NCES states the record is about that school year; this is not a release date and not Cedar's clock. UNIFORM BY THE SOURCE'S CONSTRUCTION: the BIE reporting universe is static -- the same 174 schools reported in every collection year 2008-2024 -- so this date is shared by every school still reporting, and it is 701 days old, well outside the 365-day staleness bar. It identifies the school and dates its enrolment; it is not evidence that anybody looked at it recently.",NCES_BIE_SCHOOL_NUMBER,00051,distinctive_token_overlap,tokens 1/1 shared (island) need 1,Y,"present in 25 of the 25 CCD years 2000-2024 searched, most recently 2024; ncessch that year 590016000051",2026-09-02
