canonical_name,entity_class,parent_entity_id,parent_entity_name,ultimate_parent_entity_id,ultimate_parent_entity_name,ancsa_region_entity_id,hierarchy_basis,built_date,cedar_uid
Native Village of Afognak,Federally recognized Alaska Native Village,,,CE-00002-CJ,Afognak,CE-0007F-X7,"Alaska Native village government; ANCSA region is geographic, not ownership",2026-08-06,CE-00002-CJ
Akiak Native Community,Federally recognized Alaska Native Village,,,CE-00006-4P,Akiak,CE-0007B-53,"Alaska Native village government; ANCSA region is geographic, not ownership",2026-08-06,CE-00006-4P
Native Village of Aleknagik,Federally recognized Alaska Native Village,,,CE-0000C-8C,Aleknagik,CE-0007A-ZA,"Alaska Native village government; ANCSA region is geographic, not ownership",2026-08-06,CE-0000C-8C
Native Village of Ambler,Federally recognized Alaska Native Village,,,CE-0000E-MY,Ambler,CE-0007G-30,"Alaska Native village government; ANCSA region is geographic, not ownership",2026-08-06,CE-0000E-MY
Village of Aniak,Federally recognized Alaska Native Village,,,CE-0006Q-8Z,Aniak,CE-0007B-53,"Alaska Native village government; ANCSA region is geographic, not ownership",2026-08-06,CE-0006Q-8Z
Fond du Lac,Federal-level constituency entity,CE-00170-7S,Minnesota Chippewa,CE-00170-7S,Minnesota Chippewa,,constituent community of a federally recognised tribe; derived from the spine identifier,2026-08-06,CE-000QD-1N
Paiute Indian Tribe of Utah – Cedar Band of Paiutes,Federal-level constituency entity,CE-0018V-EC,Paiute of Utah,CE-0018V-EC,Paiute of Utah,,constituent community of a federally recognised tribe; derived from the spine identifier,2026-08-06,CE-000QN-HX
Paiute Indian Tribe of Utah – Shivwits Band of Paiutes,Federal-level constituency entity,CE-0018V-EC,Paiute of Utah,CE-0018V-EC,Paiute of Utah,,constituent community of a federally recognised tribe; derived from the spine identifier,2026-08-06,CE-000QS-91
Shoshone-Bannock Tribes of the Fort Hall Reservation – Fort Hall Bannock Band,Federal-level constituency entity,CE-0014J-4B,Shoshone-Bannock,CE-0014J-4B,Shoshone-Bannock,,constituent community of a federally recognised tribe; derived from the spine identifier,2026-08-06,CE-000QA-FA
Te-Moak Tribe of Western Shoshone Indians of Nevada – South Fork Band,Federal-level constituency entity,CE-001B8-B1,Te-Moak,CE-001B8-B1,Te-Moak,,constituent community of a federally recognised tribe; derived from the spine identifier,2026-08-06,CE-000QW-VC
