tribe_id,canonical_name,entity_class,in_spine,year,pre_2000_flag,prime_contract_usd,n_prime_awards,prime_tier,prime_observed,assistance_usd,n_assistance_awards,assistance_tier,assistance_fy_partial_flag,assistance_observed,subaward_usd_as_sub,n_subawards_as_sub,subaward_usd_as_prime,n_subawards_as_prime,subaward_tier,subaward_observed,lobbying_spend_usd,lobbying_spend_client_income_usd,lobbying_spend_registrant_expenses_usd,n_lobbying_filings,n_registrants,lobbying_tier,lobbying_match_confidence_worst,lobbying_observed,n_deals,deal_value_usd,deals_observed,n_bills_affecting,bills_observed,n_compacts_active,compacts_observed,n_components_present,components_present,components_in_window,components_unavailable,confidence_tier,cedar_uid
AKNF-TLNGHD-00-SEALSK,Tlingit & Haida,Federally recognized Alaska Native Village,1,2011,0,146472736.0,296,B,1,12554966.0,26,B,0,1,155180.44,5,495080.0,2,B,1,20000.0,20000.0,0.0,4,1,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0006B-0K
AKNF-TLNGHD-00-SEALSK,Tlingit & Haida,Federally recognized Alaska Native Village,1,2017,0,128025888.0,241,C,1,26869824.3,35,B,0,1,2048880.0,2,196731.0,3,B,1,20000.0,20000.0,0.0,4,1,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,C,CE-0006B-0K
ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,1,2011,0,667168704.0,752,B,1,12852984.0,13,B,0,1,7078015.13,12,124433432.05999999,75,B,1,320000.0,320000.0,0.0,10,3,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-00078-KR
ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,1,2015,0,386243136.0,376,B,1,36499516.0,12,B,0,1,4711623.32,19,466991276.46,315,B,1,330000.0,330000.0,0.0,9,2,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-00078-KR
ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,1,2019,0,889687040.0,920,B,1,39727544.35,16,B,0,1,207405874.44000003,122,196033027.55,417,B,1,400000.0,400000.0,0.0,9,2,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-00078-KR
ANRC-BRBYCO-00,Bristol Bay Native Corporation,Alaska Native Regional Corporation,1,2013,0,321712992.0,778,B,1,125000.0,1,B,0,1,29921951.45,21,42333113.06,30,B,1,210000.0,210000.0,0.0,16,4,B,medium,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0007A-ZA
ANRC-BRBYCO-00,Bristol Bay Native Corporation,Alaska Native Regional Corporation,1,2017,0,273906336.0,714,B,1,33781838.0,5,B,0,1,13915463.1,26,75519945.25,170,B,1,262000.0,262000.0,0.0,22,6,B,medium,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0007A-ZA
ANRC-CALSTA-00,Calista Corporation,Alaska Native Regional Corporation,1,2018,0,186653760.0,226,B,1,0.0,1,B,0,1,127539054.16,49,96261.0,1,B,1,470000.0,170000.0,300000.0,11,3,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0007B-53
ANRC-CHGCCO-00,Chugach Alaska Corporation,Alaska Native Regional Corporation,1,2016,0,384611136.0,725,B,1,0.0,1,B,0,1,1803765.07,18,113196968.94,561,B,1,120000.0,120000.0,0.0,4,1,B,high,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0007C-BW
ANRC-CKINLT-00,"Cook Inlet Region, Incorporated",Alaska Native Regional Corporation,1,2012,0,69869304.0,206,B,1,13768098.0,20,B,0,1,661293.04,4,66298191.88,21,B,1,120000.0,120000.0,0.0,4,1,B,medium,1,,,0,,0,,0,4,prime;assistance;subaward;lobbying,prime;assistance;subaward;lobbying,deals;bills;compacts,B,CE-0007D-HN
