event_type,entity_name,previous_name,entity_key,spine_canonical_name,effective_date,effective_date_basis,fr_document_number,fr_citation,prior_notice_document,prior_notice_citation,mechanism,mechanism_basis,quote,quote_basis,quote_context,quote_citation,quote_url,section,possible_rename_counterpart,source_url,fetched_date,public_law_cited,public_law_basis,statute_named,statute_named_basis,bill_ids,bill_link_basis,review_flag,cedar_uid
ADDED,"Jena Band of Choctaw Indians, Louisiana",,jena band of choctaw indians louisiana,Louisiana Band of Choctaw,1996-11-13,fr_publication_date_of_first_listing,96-28935,61 FR 58211,95-3839,60 FR 9250,administrative_acknowledgment_25cfr83,matched_in_quote:Final Determination,Final Determination for Federal Acknowledgment of the Jena Band of Choctaw Indians -- This notice is published in the exercise of authority delegated by the Secretary of the Interior to the Assistant Secretary-- Indian Affairs (Assistant Secretary) by 209 DM 8.,related_fr_document,Final Determination for Federal Acknowledgment of the Jena Band of Choctaw Indians -- This notice is published in the exercise of authority delegated by the Secretary of the Interior to the Assistant Secretary-- Indian Affairs (Assistant Secretary) by 209 DM 8.,FR 1995-05-31 doc 95-13171,https://www.federalregister.gov/documents/1995/05/31/95-13171/final-determination-for-federal-acknowledgment-of-the-jena-band-of-choctaw-indians,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-001DH-B2
RENAMED,"Bay Mills Indian Community of the Sault Ste. Marie Band of Chippewa Indians, Bay Mills Reservation, Michigan","Bay Mills Indian Community of the Sault Ste. Marie Band of Chippewa Indians, Bay Mill Reservation, Michigan",bay mills indian community of the sault ste marie band of chippewa indians bay mill reservation michigan,Sault Ste. Marie,1996-11-13,fr_publication_date_of_the_new_name,96-28935,61 FR 58211,95-3839,60 FR 9250,name_change_listed_by_bia,bridged:typographic_variant:1.00,"Bay Mills Indian Community of the Sault Ste. Marie Band of Chippewa Indians, Bay Mill Reservation, Michigan  ->  Bay Mills Indian Community of the Sault Ste. Marie Band of Chippewa Indians, Bay Mills Reservation, Michigan",roster_lines_both_notices,,61 FR 58211,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-001A7-0R
RENAMED,"Fort Mojave Indian Tribe of Arizona, California & Nevada",Fort Mojave Indian Tribe of Arizona,fort mojave indian tribe of arizona,Fort Mojave,1996-11-13,fr_publication_date_of_the_new_name,96-28935,61 FR 58211,95-3839,60 FR 9250,name_change_listed_by_bia,bridged:bia_shortened_the_listed_name:0.60,"Fort Mojave Indian Tribe of Arizona  ->  Fort Mojave Indian Tribe of Arizona, California & Nevada",roster_lines_both_notices,,61 FR 58211,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-00176-BF
RENAMED,Muscogee (Creek) Nation of Oklahoma,Muskogee (Creek) Nation of Oklahoma,muskogee creek nation of oklahoma,The Muscogee (Creek) Nation,1996-11-13,fr_publication_date_of_the_new_name,96-28935,61 FR 58211,95-3839,60 FR 9250,name_change_listed_by_bia,bridged:typographic_variant:0.97,Muskogee (Creek) Nation of Oklahoma  ->  Muscogee (Creek) Nation of Oklahoma,roster_lines_both_notices,,61 FR 58211,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-0017B-9C
RENAMED,"Otoe-Missouria Tribe of Indians, Oklahoma",Otoe-Missouria Tribe of Oklahoma,otoe missouria tribe of oklahoma,Otoe-Missouria,1996-11-13,fr_publication_date_of_the_new_name,96-28935,61 FR 58211,95-3839,60 FR 9250,name_change_listed_by_bia,bridged:bia_shortened_the_listed_name:1.00,"Otoe-Missouria Tribe of Oklahoma  ->  Otoe-Missouria Tribe of Indians, Oklahoma",roster_lines_both_notices,,61 FR 58211,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-00181-J2
RENAMED,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California","Santa Ynez Band of Chumash Mission Indians of the Santa Ysabel Reservation, California",santa ynez band of chumash mission indians of the santa ysabel reservation california,Santa Ynez,1996-11-13,fr_publication_date_of_the_new_name,96-28935,61 FR 58211,95-3839,60 FR 9250,name_change_listed_by_bia,bridged:typographic_variant:0.96,"Santa Ynez Band of Chumash Mission Indians of the Santa Ysabel Reservation, California  ->  Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",roster_lines_both_notices,,61 FR 58211,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1996/11/13/96-28935/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-001AW-Y5
RENAMED,Alabama-Coushatta Tribes of Texas,Alabama and Coushatta Tribes of Texas,alabama and coushatta tribes of texas,Alabama-Coushatta,1997-10-23,fr_publication_date_of_the_new_name,97-28018,62 FR 55270,96-28935,61 FR 58211,name_change_listed_by_bia,bridged:typographic_variant:0.94,Alabama and Coushatta Tribes of Texas  ->  Alabama-Coushatta Tribes of Texas,roster_lines_both_notices,,62 FR 55270,https://www.federalregister.gov/documents/1997/10/23/97-28018/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/1997/10/23/97-28018/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,,CE-0011Z-30
ADDED,"Federated Indians of Graton Rancheria, California",Graton Rancheria,federated indians of graton rancheria california,Federated Indians of Graton,2003-12-05,fr_publication_date_of_first_listing,03-30244,68 FR 68180,02-17508,67 FR 46328,,not_stated_in_record,"Federated Indians of Graton Rancheria, California (formerly the Graton Rancheria)",roster_line,,68 FR 68180,https://www.federalregister.gov/documents/2003/12/05/03-30244/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,"Graton Rancheria, California (similarity 0.72)",https://www.federalregister.gov/documents/2003/12/05/03-30244/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,,,,,possible_unmarked_rename,CE-0014P-WF
ADDED,Chickahominy Indian Tribe,,chickahominy indian tribe,"Chickahominy Indian Tribe, Inc.",2018-07-23,fr_publication_date_of_first_listing,2018-15679,83 FR 34863,2018-01907,83 FR 4235,act_of_congress,matched_in_surrounding_text:Recognition Act,"The legislation recognized the Chickahominy Indian Tribe, the Chickahominy Indian Tribe--Eastern Division, the Monacan Indian Nation, the Nansemond Indian Tribe, the Rappahannock Tribe, Inc., and the Upper Mattaponi Tribe.",notice_preamble,"Jordan Indian Tribes of Virginia Federal Recognition Act of 2017. The legislation recognized the Chickahominy Indian Tribe, the Chickahominy Indian Tribe--Eastern Division, the Monacan Indian Nation, the Nansemond Indian Tribe, the Rappahannock Tribe, Inc., and the Upper Mattaponi Tribe. To aid in identifying tribal name changes and corrections, the Tribe's previously listed or former name is included in parentheses after the correct current Tribal name. We will continue to list the Tribe's former or previously listed name for several years before dropping the former or previously listed name from the list.",83 FR 34863,https://www.federalregister.gov/documents/2018/07/23/2018-15679/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/2018/07/23/2018-15679/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,Virginia Federal Recognition Act of 2017,verbatim_from_the_surrounding_text,110-hres-377; 111-hres-490,bill_title_names_the_tribe_and_recognition; introduced within 12 years before the listing; NOT evidence that this bill caused it,,CE-00131-SJ
ADDED,"Rappahannock Tribe, Inc.",,rappahannock tribe inc,Rappahannock,2018-07-23,fr_publication_date_of_first_listing,2018-15679,83 FR 34863,2018-01907,83 FR 4235,act_of_congress,matched_in_surrounding_text:Recognition Act,"The legislation recognized the Chickahominy Indian Tribe, the Chickahominy Indian Tribe--Eastern Division, the Monacan Indian Nation, the Nansemond Indian Tribe, the Rappahannock Tribe, Inc., and the Upper Mattaponi Tribe.",notice_preamble,"Jordan Indian Tribes of Virginia Federal Recognition Act of 2017. The legislation recognized the Chickahominy Indian Tribe, the Chickahominy Indian Tribe--Eastern Division, the Monacan Indian Nation, the Nansemond Indian Tribe, the Rappahannock Tribe, Inc., and the Upper Mattaponi Tribe. To aid in identifying tribal name changes and corrections, the Tribe's previously listed or former name is included in parentheses after the correct current Tribal name. We will continue to list the Tribe's former or previously listed name for several years before dropping the former or previously listed name from the list.",83 FR 34863,https://www.federalregister.gov/documents/2018/07/23/2018-15679/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,contiguous_48,,https://www.federalregister.gov/documents/2018/07/23/2018-15679/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,,,Virginia Federal Recognition Act of 2017,verbatim_from_the_surrounding_text,109-hr-5130; 110-hr-106; 110-hres-377; 111-hres-490,bill_title_names_the_tribe_and_recognition; introduced within 12 years before the listing; NOT evidence that this bill caused it,,CE-0019F-BG
