fr_document_number,fr_citation,publication_date,notice_year,section,list_order,entry_kind,entity_name,previously_listed_as,see_instead,also_known_as,constituents,parent_fr_name,listing_note,entry_raw,entry_raw_source,tribe_id,spine_canonical_name,resolve_method,source_url,fetched_date,cedar_uid
95-3839,60 FR 9250,1995-02-16,1995,contiguous_48,99,rename,Ho-Chunk Nation of Wisconsin,Wisconsin Winnebago Tribe,,,,,,Ho-Chunk Nation of Wisconsin (formerly known as the Wisconsin Winnebago Tribe),Ho-Chunk Nation of Wisconsin (formerly known as the Wisconsin Winnebago Tribe),TRBF-HOCHNK-00,Ho-Chunk,alias,https://www.federalregister.gov/documents/1995/02/16/95-3839/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-00150-XS
E9-19124,74 FR 40218,2009-08-11,2009,contiguous_48,187,rename,Paiute Indian Tribe of Utah,"Paiute Indian Tribe of Utah (Cedar City Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes",,,Cedar Band of Paiutes; Kanosh Band of Paiutes; Koosharem Band of Paiutes; Indian Peaks Band of Paiutes; Shivwits Band of Paiutes,,,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes) (formerly Paiute Indian Tribe of Utah (Cedar City Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes))","Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes) (formerly Paiute Indian Tribe of Utah (Cedar City Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes))",TRBF-PTTRUT-00,Paiute of Utah,core,https://www.federalregister.gov/documents/2009/08/11/E9-19124/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-0018V-EC
2012-19588,77 FR 47868,2012-08-10,2012,alaska,196,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2012/08/10/2012-19588/indian-entities-recognized-and-eligible-to-receive-services-from-the-bureau-of-indian-affairs,2026-08-06,CE-0006E-JY
2014-01683,79 FR 4748,2014-01-29,2014,alaska,174,rename,Orutsararmiut Traditional Native Council,Orutsararmuit Native Village,,Bethel,,,,Orutsararmiut Traditional Native Council (previously listed as Orutsararmuit Native Village (aka Bethel)),Orutsararmiut Traditional Native Council (previously listed as Orutsararmuit Native Village (aka Bethel)),AKNF-OTSRMT-00-CALSTA-ASVCPR,Orutsararmiut,alias,https://www.federalregister.gov/documents/2014/01/29/2014-01683/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-0004T-GA
2015-00509,80 FR 1942,2015-01-14,2015,alaska,197,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2015/01/14/2015-00509/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-0006E-JY
2016-10408,81 FR 26826,2016-05-04,2016,alaska,197,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2016/05/04/2016-10408/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-0006E-JY
2018-01907,83 FR 4235,2018-01-30,2018,alaska,197,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2018/01/30/2018-01907/indian-entities-recognized-and-eligible-to-receive-services-from-the-united-states-bureau-of-indian,2026-08-06,CE-0006E-JY
2019-00897,84 FR 1200,2019-02-01,2019,alaska,198,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),Tangirnaq Native Village (formerly Lesnoi Village (aka Woody Island)),AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2019/02/01/2019-00897/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-08-06,CE-0006E-JY
2021-01606,86 FR 7554,2021-01-29,2021,alaska,198,rename,Tangirnaq Native Village,Lesnoi Village,,Woody Island,,,,Tangirnaq Native Village [previously listed as Lesnoi Village (aka Woody Island)],Tangirnaq Native Village [previously listed as Lesnoi Village (aka Woody Island)],AKNF-TNGRNQ-00-KONIAG,Tangirnaq,core,https://www.federalregister.gov/documents/2021/01/29/2021-01606/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-08-06,CE-0006E-JY
2024-00109,89 FR 944,2024-01-08,2024,alaska,56,rename,Louden Tribe,Galena Village,,Louden Village,,,,Louden Tribe (previously listed as Galena Village (aka Louden Village)),Louden Tribe (previously listed as Galena Village (aka Louden Village)),AKNF-LOUDEN-00-DOYONL-TNNACH,Louden Tribe,exact,https://www.federalregister.gov/documents/2024/01/08/2024-00109/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of,2026-08-06,CE-0003D-XN
