agency,agency_code,found_on,found_on_kind,url,anchor_text,target_type,is_document,discovered_date,fetched_status,fetched_bytes,local_path
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-06/jan-26foia-log.pdf,January 2026,FOIA_LOG,Y,2026-08-12,200,3372850,data\raw\external\correspondence\foia_logs\DOI\jan-26foia-log.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-07/june-2026-foia-log.pdf,June 2026,FOIA_LOG,Y,2026-08-12,200,390662,data\raw\external\correspondence\foia_logs\DOI\june-2026-foia-log.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-03/october-24-os-foia-log-processed-no-redactions-needed.pdf,October 2024,FOIA_LOG,Y,2026-08-12,200,216823,data\raw\external\correspondence\foia_logs\DOI\october-24-os-foia-log-processed-no-redactions-needed.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2024-06/os-foia-log-2020clean.xlsx,FY 2020,FOIA_LOG,Y,2026-08-12,200,214456,data\raw\external\correspondence\foia_logs\DOI\os-foia-log-2020clean.xlsx
Indian Health Service,IHS,https://www.ihs.gov/foia/readingroom/,FOIA_READING_ROOM,https://www.ihs.gov/sites/foia/themes/responsive2017/display_objects/documents/FY2023_FOIA_Log.xlsx,FY 2023,FOIA_LOG,Y,2026-08-12,200,44308,data\raw\external\correspondence\foia_logs\IHS\FY2023_FOIA_Log.xlsx
Indian Health Service,IHS,https://www.ihs.gov/foia/readingroom/,FOIA_READING_ROOM,https://www.ihs.gov/sites/foia/themes/responsive2017/display_objects/documents/25-206_Responsive_Document_FOIA_Log.xlsx,"25-206 Responsive Document FOIA Log (April 28, 2025)",FOIA_LOG,Y,2026-08-12,200,44762,data\raw\external\correspondence\foia_logs\IHS\25-206_Responsive_Document_FOIA_Log.xlsx
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-02/3-march-25-os-monthly-foia-logredacted.pdf,March 2025,FOIA_LOG,Y,2026-08-12,200,277436,data\raw\external\correspondence\foia_logs\DOI\3-march-25-os-monthly-foia-logredacted.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-03/10-oct-2025foia-logredacted.pdf,October 2025,FOIA_LOG,Y,2026-08-12,200,309856,data\raw\external\correspondence\foia_logs\DOI\10-oct-2025foia-logredacted.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2026-03/nov-24-foia-logredacted.pdf,November 2024,FOIA_LOG,Y,2026-08-12,200,258805,data\raw\external\correspondence\foia_logs\DOI\nov-24-foia-logredacted.pdf
Department of the Interior,DOI,https://www.doi.gov/foia/os/index.cfm,FOIA_OS_READING_ROOM,https://www.doi.gov/sites/default/files/documents/2024-12/june-24-os-foia-logredacted.pdf,June 2024,FOIA_LOG,Y,2026-08-12,200,786962,data\raw\external\correspondence\foia_logs\DOI\june-24-os-foia-logredacted.pdf
