foia_request_id,agency,agency_code,bureau,request_date,received_date,requester,requester_organization,request_description,tribe_mentioned,tribe_entity_id,tribe_match_phrase,organization_mentioned,official_mentioned,issue_terms_matched,disposition,status,release_available,release_url,requester_is_congressional_office,seeks_congressional_correspondence,seeks_calendar_or_visitor_records,native_related,native_basis,source_url,source_page,fetched_date,confidence_tier,source_format,parse_quality,parse_quality_reason,tribe_entity_link_tier,tribe_entity_link_audit,requester_native_entity_id,requester_native_entity_name,requester_entity_link_method,requester_entity_link_tier,party_role,tribe_entity_id_withdrawn,tribe_entity_link_withdrawn,tribe_entity_link_withdrawn_reason,tribe_entity_link_withdrawn_evidence_verbatim,tribe_entity_link_withdrawn_date,cedar_uid
DOI-2025-006304,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,05/05/2025,05/05/2025,,The Bid Lab,"3. I request all records concerning Freedom of Information Act request logs maintained by your bureau/office. The FOIA logs should detail the request’s control number, the date it was received, who made the request, what company or organization they were from and the request’s subject. 4. I request a list of “special government employees” (SGEs) employed by your bureau/office. A SGE is an agency employee that performs temporary duties, with or without compensation, for not more than 130 days during any period of 365 consecutive days, as defined in 18 U.S.C § 202. Please consider each numbered bullet point a separate FOIA request, with each requiring its own control number and response. (Date Range for I am writing to request information regarding a specific contract or task order. I am seeking copies of the following documents related to the contract or task order in question: A copy of the agreement and all related change orders or amendments to the agreement. The contract or task order in question is as follows: Contract Number:NNG15SC51B Contract Name: Solutions for Enterprise - Wide Procurement (SEWP) V",Enterprise,,Enterprise,The Bid Lab,,,,Closed,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_january-december_2025.pdf,36,2026-08-12,A,PDF,CLEAN,,,"UNLINKED_FALSE_MATCH (2026-08-26, 352_unlink_false_foia_entity_links.py): CE-00149-EA's canonical name is the common English noun 'Enterprise', so the token matches any organisation carrying the word. The subject here is not a tribe - see the verbatim evidence on this row. EVIDENCE: ""order in question is as follows: Contract Number:NNG15SC51B Contract Name: Solutions for Enterprise - Wide Procurement (SEWP) V | The Bid Lab | The Bid Lab | | |"" PROVENANCE KEPT: tribe_mentioned, tribe_match_phrase, tribe_entity_id_withdrawn. PRIOR AUDIT: DISPUTED_FREE_TEXT_SINGLE_TOKEN: the entity was matched on the bare phrase 'Enterprise' inside a free-text request description. One token found in prose is not a party name. Link retained, demoted, staged for a ruling.",,,,,SUBJECT_OF_REQUEST,CE-00149-EA,1,"CE-00149-EA's canonical name is the common English noun 'Enterprise', so the token matches any organisation carrying the word. The subject here is not a tribe - see the verbatim evidence on this row.",order in question is as follows: Contract Number:NNG15SC51B Contract Name: Solutions for Enterprise - Wide Procurement (SEWP) V | The Bid Lab | The Bid Lab | | |,2026-08-26,
DOI-2026-004225,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,02/27/2026,04/06/2026,,Hodgson Russ LLP,"a specific focus on inheritance, land ownership, and any funds that may be owed or held in trust on my behalf. Please include, but do not limit your search to, the following: Inheritance / Probate Records - Any probate files, determinations of heirship, or estate distributions involving trust assets connected to me - Records identifying any deceased relatives from whom I may have inherited trust land, funds, or interests - Documentation showing my status as a beneficiary or heir Trust Land / Allotment Records - Land allotment records, titles, ownership interests, and tract histories associated with my name or inherited interests - Any lease agreements, land use contracts, or rights-of-way connected to trust land in which I hold or may hold an interest Financial / Missing Funds (IIM Account) 1) The full text of the Assistant Secretary’s memorandum, decision, or determination, or any similarly composed document, issued on or about February 24, 2026, in response to the request of the Seneca Nation of Indians to place an acquired parcel of land on Grand Island, New York, into restricted fee status that was made on or about December 22, 2025.",Seneca,CE-001AC-YN,Seneca Nation of Indians,Hodgson Russ LLP,,trust land|allotment|probate,,Documents Added,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_april_2026_redacted.pdf,1,2026-08-12,A,PDF,SUSPECT_BOUNDARY,description_begins_mid_sentence|control_number_appears_more_than_once,A,phrase_has_2plus_identifying_tokens,,,,,SUBJECT_OF_REQUEST,,,,,,CE-001AC-YN
DOI-ASIA-2023-005832,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,9/28/2023,9/28/2023,,"docketed m no substan terms \u20 \u201crela to any give embodies, in any man \u201creco matter of a and wheth following: manuals, i records, no receipts, a prospectus electronic messages, Teams, Wh direct mes contracts, conversati communic 552(b). Ac portion of written not being with of Informa extent that all reasona Additionall they are re fundament investigati interest to memorand agencies a been reque are likely t well as to (https:\/\/ - All Records","one-quarter Indian blood criterion had been eliminated by Zarr for Higher education programs, and the BIA memo dated February 21, 1989, Wilson I. Babby, Deputy to the Assistant Secretary, regarding the eligibility requirements for higher 8/8/2023 8/9/2023 - Any and a ll documents regarding the employment status of Assigned DOI-AS-IA-2023-05781 James Schock for the period of 12-1-2022 through 8-8-2023. (Date Range for Record Search: From 12/1/2022 To 8/8/2023) 8/7/2023 8/9/2023 Development Essentials Dear FOIA Officer: 1. Pertaining to the Freedom of Information Assigned DOI-AS-IA-2023-05782 Act, I am requesting the following records identified below. The records are maintained by the Department of the Interior - Bureau of Indian Affairs (the Senior Procurement Executive Officer). 2. I am requesting the record(s) of or the number of contracting officers/contract specialists with and without a federal contract warrant currently employed by the Department of the Interior - Bureau of Indian Affairs. 3. When you have a moment, please provide the point of contact and the estimated date information will be released. I am willing to pay up to $200.00 for processing the request. 4. Please let me know if you have any questions at chris@developmentessentials.us 8/9/2023 8/9/2023 Perkins Coie LLP I request a copy of all documents relating to Schaghticoke Assigned DOI-AS-IA-2023-05783 Indian Tribe’s (SIT) Petition for Federal Acknowledgment (Petition #401) submitted to the Department of the Interior on or around December 30, 2020 and July, 1, 2021, certified on January 6, 2022, and notice of which was published in the Federal Register on March 23, 2022. 87 Fed. Reg. 16480. This request includes but is not limited to (1) SIT’s petition narrative and all supporting materials submitted as the petition package, (2) all documents relating to the Department of the Interior and/or the Office of Federal Acknowledgment (OFA) review of the petition and any responses to SIT concerning the adequacy of the petition and/or recommending technical or other revisions or deficiencies, including the January 10, 2020 determination letter, and (3) SIT’s governing document or description of membership criteria and current governing procedures as required by 22 C.F.R. 83.11(d), and membership list and evidence of the current members’ descent from the historical tribe as submitted by this petitioner. This request does not include the documents that have to date been made publicly available on the OFA webpage. 8/9/2023 8/10/2023 Hogen Adams PLLC The trust petition and related documents submitted by the St. Assigned DOI-AS-IA-2023-05795 Croix Chippewa Indians of Wisconsin for land located in Turtle Lake, Wisconsin, that was subsequently denied by the Assistant Secretary for Indian Affairs on February 19, 1986. 8/11/2023 8/11/2023 - The Bureau of Indian Affairs report to restore the Paskenta Assigned DOI-AS-IA-2023-05796 Band (Vol 83 7(a) 8/11/1994) 8/12/2023 8/14/2023 - The BIA memo dated November 26, 1986, announcing that the Assigned DOI-AS-IA-2023-05797 one-quarter Indian blood criterion had been eliminated by Zarr for Higher education programs, and the BIA memo dated February 21, 1989, Wilson I. Babby, Deputy to the Assistant Secretary, regarding the eligibility requirements for higher an Osage individual, sent to or from the below officials and staff members, as well as their direct reports: Deb Haaland Tommy Beaudreau Bryan Newland Darryl LaCounte Jerry Gidner Julie Anderson Pam Jester Denise Winlock Troyce Garringer Stephanie Davis Paula Reese Robin Phillips 3. Emails, text messages, memos and reports beginning Jan. 1, 2022 through present mentioning or referencing Hissom Memorial Center sent to or from the below officials and staff members, as well as their direct reports: Deb Haaland Tommy Beaudreau Bryan Newland Darryl LaCounte Jerry Gidner Julie Anderson Pam Jester Denise Winlock Troyce Garringer Stephanie Davis Paula Reese Robin Phillips This request is ongoing, seeking copies of all Records as they are kept with the Bureau of Indian Affairs. I am further requesting that the Records be provided to me on computer files or, if not maintained on computer files, in the same format as they are currently maintained at the Department of Interior. FOIA requires that your agency nonetheless respond to the underlying request for information within 20 business days of receipt of this letter. This request is segregable, and your agency may not withhold entire records because of one section that you believe is exempt from disclosure. Under federal law, if you choose to withhold any such parts of the records from disclosure, you must specify in a written response the factual and legal basis for withholding any part of the Records. Please contact me if I may assist in your office's response to this request. As I am making this request as a journalist and this information is of timely value, I would appreciate your communicating with me by telephone or email, rather than by mail, if you have questions regarding this request. Thank you for your assistance. Sincerely, Rachel (b) (6) Adams-Heard Bloomberg News radamsheard@bloomberg.net 8/3/2023 8/9/2023 NBC News A copy of the ""Letter from principal chief, Muscogee (Creek) Assigned DOI-AS-IA-2023-05776 Nation, to John Fritz, Deputy Assistant Secretary for Indian Affairs (Operations), August 26. BFA."" which is listed in the unpublished materials list in the Proposed Findings document in the Poarch Band of Creek Indians' petition for federal rkequeslt follotwing 8/4/2023 8/9/2023 E&E News I the records from July 1 to Aug. 1, 2023: 1. I Closed DOI-AS-IA-2023-05777 request all records concerning all logs of correspondence that record letters from members of Congress to your bureau/office. The logs should detail the correspondence’s control number, the date it was received, what congressional office sent it and its subject. Please redact constituents’ names and other personal information detailed in these logs in order to expedite this request. Please consider each numbered bullet point a separate FOIA request, with each requiring its own control number and response. (Date Range for Record Search: From 7/1/2023 To 8/1/2023) 8/4/2023 8/9/2023 E&E News I request the following records from July 1 to Aug. 1, 2023: 3. I Closed DOI-AS-IA-2023-05778 request all records concerning Freedom of Information Act request logs maintained by your bureau/office. The FOIA logs should detail the request’s control number, the date it was received, who made the request, what company or organization they were from and the request’s subject. Please consider each numbered bullet point a separate FOIA request, with each requiring its own control number and response. (Date Range for Record Search: From 7/1/2023 To 8/1/2023) 8/4/2023 8/9/2023 E&E News I request the following records from July 1 to Aug. 1, 2023: 4. I Closed DOI-AS-IA-2023-05779 request a list of “special government employees” (SGEs) employed by your bureau/office. A SGE is an agency employee that performs temporary duties, with or without compensation, for not more than 130 days during any period of 365 consecutive days, as defined in 18 U.S.C § 202. Please consider each numbered bullet point a separate FOIA request, with each requiring its own control number and response. (Date Range for Record Search: From 7/1/2023 To 8/1/2023) 8/4/2023 8/9/2023 Brandako Inc. The plaintiff on his behalf and his families brought this tort Closed DOI-AS-IA-2023-05780 allegation against the above agency for relief Under the Federal Tort Claim Act (""FTCA""), which waive its sovereign Immunity for the tort of federal laws Enforcement officer acting with the scope of their employment or for intervening clause under the Act, as injuries in fact claims against the United States while in their custody, or exposure to Criminal Enterprise by Illegal Laws, or Victim of Genocide, Apartheid and Extortion and Crimes against Humanity or by exposure him to illegal Deportation or Mass deportation in contradicting with congress intent under the laws. Total No of Requests : 26 FOIA's still open with the Agency including the request date, request body\/text, and requestor. I am amicable to a rolling production as records are available. To further narrow down the scope of the request, requester does not seek correspondence that merely forwards press clippings, such as news accounts or opinion pieces, newsletters, and published or docketed materials, if that correspondence has no comment or no substantive comment added by any party in the thread.The terms \u201cpertaining to,\u201d \u201creferring,\u201d \u201crelating,\u201d or \u201cconcerning\u201d with respect to any given subject means anything that constitutes, contains, embodies, reflects, identifies, states, refers to, deals with, or is in any manner whatsoever pertinent to that subject.The term \u201crecord\u201d means any written, recorded, or graphic matter of any nature whatsoever, regardless of how recorded, and whether original or copy, including, but not limited to, the following: memoranda, reports, expense reports, books, manuals, instructions, financial reports, working papers, records, notes, letters, notices, confirmations, telegrams, receipts, appraisals, pamphlets, magazines, newspapers, prospectuses, inter-office and intra-office communications, electronic mail (emails), MMS or SMS text messages, instant messages, messaging systems (such as iMessage, Microsoft Teams, WhatsApp, Telegram, Signal, Google Chat, Twitter direct messages, Lync, Slack, and Facebook Messenger), contracts, cables, telexes, notations of any type of conversation, telephone call, voicemail, meeting or other communication. Please comply fully with 5 US.C. \u00a7 552(b). To further narrow down the scope of the request, the requester does not seek correspondence that merely forwards press clippings, such as news accounts or opinion pieces, newsletters, and published or docketed materials, if that correspondence has no comment or no substantive comment added by any party in the thread. Accordingly, without limitation to the foregoing, if any portion of this request is denied for any reason, please provide written notice of the records or portions of records that are being withheld and cite each specific exemption of the Freedom of Information Act on which the agency relies. Moreover, to the extent that responsive records may be withheld in part produce all aterials, if that correspondence has no comment or tive comment added by any party in the thread.The 1cpertaining to,\u201d \u201creferring,\u201d ting,\u201d or \u201cconcerning\u201d with respect n subject means anything that constitutes, contains, reflects, identifies, states, refers to, deals with, or is ner whatsoever pertinent to that subject.The term rd\u201d means any written, recorded, or graphic ny nature whatsoever, regardless of how recorded, er original or copy, including, but not limited to, the memoranda, reports, expense reports, books, nstructions, financial reports, working papers, tes, letters, notices, confirmations, telegrams, ppraisals, pamphlets, magazines, newspapers, es, inter-office and intra-office communications, mail (emails), MMS or SMS text messages, instant messaging systems (such as iMessage, Microsoft atsApp, Telegram, Signal, Google Chat, Twitter sages, Lync, Slack, and Facebook Messenger), cables, telexes, notations of any type of on, telephone call, voicemail, meeting or other ation. Please comply fully with 5 U S.C. \u00a7 cordingly, without limitation to the foregoing, if any this request is denied for any reason, please provide ice of the records or portions of records that are held and cite each specific exemption of the Freedom tion Act on which the agency relies. Moreover, to the responsive records may be withheld in part produce bly segregable portions of those records. y, please provide all responsive documents even if dacted in full. This request is primarily and ally for non-commercial purposes. As an ve journalist and author, my request is in the public inform the public. I would draw your attention to the um, released March 15, 2022 that requires both dhere to proactive disclosures for \""records that have sted three times or more, or that have become or o become the subject of subsequent requests\"" as uphold \""timely disclosure of records\"" www justice gov\/media\/1212566\/dl?inline) The Management Self-Assessment (RMSA) reports Assi",Enterprise,,Enterprise,"docketed m no substan terms \u20 \u201crela to any give embodies, in any man \u201creco matter of a and wheth following: manuals, i records, no receipts, a prospectus electronic messages, Teams, Wh direct mes contracts, conversati communic 552(b). Ac portion of written not being with of Informa extent that all reasona Additionall they are re fundament investigati interest to memorand agencies a been reque are likely t well as to (https:\/\/ - All Records",the Assistant Secretary for Indian Affairs,education,,gned,NOT_IN_LOG,,N,Y,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_august-december_2023.pdf,6,2026-08-12,A,PDF,SUSPECT_BOUNDARY,description_begins_mid_sentence|control_number_appears_more_than_once,,"UNLINKED_FALSE_MATCH (2026-08-26, 352_unlink_false_foia_entity_links.py): CE-00149-EA's canonical name is the common English noun 'Enterprise', so the token matches any organisation carrying the word. The subject here is not a tribe - see the verbatim evidence on this row. EVIDENCE: ""in fact claims against the United States while in their custody, or exposure to Criminal Enterprise by Illegal Laws, or Victim of Genocide, Apartheid and Extortion and Crimes against Humani"" PROVENANCE KEPT: tribe_mentioned, tribe_match_phrase, tribe_entity_id_withdrawn. PRIOR AUDIT: DISPUTED_FREE_TEXT_SINGLE_TOKEN: the entity was matched on the bare phrase 'Enterprise' inside a free-text request description. One token found in prose is not a party name. Link retained, demoted, staged for a ruling.",,,,,SUBJECT_OF_REQUEST,CE-00149-EA,1,"CE-00149-EA's canonical name is the common English noun 'Enterprise', so the token matches any organisation carrying the word. The subject here is not a tribe - see the verbatim evidence on this row.","in fact claims against the United States while in their custody, or exposure to Criminal Enterprise by Illegal Laws, or Victim of Genocide, Apartheid and Extortion and Crimes against Humani",2026-08-26,
DOI-2025-006999,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,06/05/2025,06/05/2025,,Lytton Rancheria of,"North Carolina. I am also requesting all information for the Brushy Mountain, Iredell County North Caroliana. Please include all relics that have been in these areas. I am requesting Title Status Reports for the Tribal trust tract held by the Scotts Valley Band of Pomo Indians of California located in Sonoma County and the Individual",Scotts Valley,CE-0019S-7A,Scotts Valley Band of Pomo Indians of California,Lytton Rancheria of,,,,,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_june_2025_redacted.pdf,1,2026-08-12,A,PDF,CLEAN,,A,phrase_has_2plus_identifying_tokens,CE-0016K-M4,Lytton Rancheria of California,core_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0019S-7A
DOI-2025-009355,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,09/09/2025,09/09/2025,,Cow Creek Band of Umpqua Tribe of,"September 9, 2025 Please send this request to: FOIA Coordinator Bureau of Indian Affairs Northwest Reg onal Office Division of Land Titles and Records 911 NE 11th Ave, Portland, OR 97232 jean.buck-curtis@bia.gov Ph. 503-231-6754 Subject Matters: • The Coquille Indian Tribe’s 2.42 acres of trust land and improvements located in the C ty of Medford, Oregon (the “Subject Property”). • The Coquille Indian Tribe’s gaming on the Subject Property. • Any Coquille Indian Tribe request that the Un ted States accept t tle to any other parcel of land in Jackson County, Oregon.",Coquille,CE-0013M-BD,Coquille Indian Tribe,Cow Creek Band of Umpqua Tribe of,,gaming|trust land,,Related Assigned,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_september_2025_redacted_redacted_0.pdf,1,2026-08-12,A,PDF,CLEAN,,A,phrase_has_2plus_identifying_tokens,CE-0013Q-XR,Cow Creek Band of Umpqua Tribe of Indians,core_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013M-BD
DOI-2026-002510,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,12/10/2025,12/15/2025,,Cow Creek Band of Umpqua,"2201. 2. I also request a copy of the letter or memorandum wherein the Secretary of Interior delegated authority to Acting Regional Director, Ryan Hunter to acquire land pursuant to the Indian Land Consolidation Act as stated by Mr. Hunter 3. I also request a copy of the Ione Band of Miwok Land Consolidation Plan approved by the Secretary of Interior or approved by Acting Regional Director Ryan Hunter pursuant to the stated delegation of authority form the Secretary in the attached deeds as provided for by 25 U.S.C. 2203. I believe the documents I have requested should be easily located, copied and provided to me within 45 days of this request. Please inform me via the following email with any reason why these documents cannot be provided to me within 45 days of my request. plymouthbutch@hotmail.com December 10, 2025 Please send this request to: FOIA Coordinator Bureau of Indian Affairs Northwest Regional Office Division of Land Titles and Records 911 NE 11th Ave, Portland, OR 97232 jean.buck-curtis@bia.gov Ph. 503-231-6754 Subject Matters: • The Coquille Indian Tribe’s 2.42 acres of trust land and improvements located in the City of Medford, Oregon (the “Subject Property”). • The Coquille Indian Tribe’s gaming on the Subject Property. • Any Coquille Indian Tribe request that the United States accept title to any other parcel of land in Jackson County, Oregon. Time Frame: November 1, 2025, through November 30, 2025.",Coquille,CE-0013M-BD,Coquille Indian Tribe,Cow Creek Band of Umpqua,,gaming|trust land,,Assigned,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_december_2025_redacted.pdf,1,2026-08-12,A,PDF,CLEAN,,A,phrase_has_2plus_identifying_tokens,CE-0013Q-XR,Cow Creek Band of Umpqua Tribe of Indians,core_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013M-BD
DOI-2026-004271,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,03/02/2026,03/04/2026,,Cow Creek Band of Umpqua Tribe of Indians,"communication for Case Number 67256; Anderson Property. I am not requesting and do not want any environmental or hazardous waste assessments, reviews, comments or references. I look forward to your reply within 20 business days, as required by the statute. Thank you for your assistance. Please contact me if you have any questions. March 2, 2026 Please send this request to: FOIA Coordinator Bureau of Indian Affairs Northwest Regional Office Division of Land Titles and Records 911 NE 11th Ave, Portland, OR 97232 jean.buck-curtis@bia.gov Ph. 503-231-6754 Subject Matters: • The Coquille Indian Tribe’s 2.42 acres of trust land and improvements located in the City of Medford, Oregon (the “Subject Property”). • The Coquille Indian Tribe’s gaming on the Subject Property. • Any Coquille Indian Tribe request that the United States accept title to any other parcel of land in Jackson County, Oregon. Time Frame: February 1, 2026, through February 28, 2026.",Coquille,CE-0013M-BD,Coquille Indian Tribe,Cow Creek Band of Umpqua Tribe of Indians,,gaming|trust land|environmental,,Assigned,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_march_2026_redacted_0.pdf,1,2026-08-12,A,PDF,SUSPECT_BOUNDARY,description_begins_mid_sentence,A,phrase_has_2plus_identifying_tokens,CE-0013Q-XR,Cow Creek Band of Umpqua Tribe of Indians,exact_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013M-BD
DOI-2026-006148,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,05/11/2026,05/12/2026,,Cow Creek Band of Umpqua Tribe of,"3.) Any associated maps The current name of the Permittee(b) (6) Chapter of the Shiprock Agency. (Date Range for Record Search: From 01/01/1970 To 05/12/2026) May 11, 2026 Please send this request to: FOIA Coordinator Bureau of Indian Affairs Northwest Regional Office Divis on of Land Titles and Records 911 NE 11th Ave, Portland, OR 97232 jean.buck-curtis@bia.gov Ph. 503-231-6754 Subject Matters: • The Coquille Indian Tribe’s 2.42 acres of trust land and improvements located in the C ty of Medford, Oregon (the “Subject Property”). • The Coquille Indian Tribe’s gaming on the Subject Property. • Any Coquille Indian Tribe request that the Un ted States accept t tle to any other parcel of land in Jackson County, Oregon.",Coquille,CE-0013M-BD,Coquille Indian Tribe,Cow Creek Band of Umpqua Tribe of,,gaming|trust land,,,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_may_2026_redacted.pdf,1,2026-08-12,A,PDF,CLEAN,,A,phrase_has_2plus_identifying_tokens,CE-0013Q-XR,Cow Creek Band of Umpqua Tribe of Indians,core_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013M-BD
DOI-BIA-2024-000805,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Bureau of Indian Affairs,,,,Cow Creek Band of Umpqua Tribe,"(VIN:1G4HG5EM3AU112112) and 2004 Buick Century June 5, 2024. Please send this request to: OFFICE OF INDIAN GAMING (OIG) 1849 C Street, NW MS-3657-MIB Washington, DC 20240 fax: 202.273.3153 phone: 202.219.4066 and to: Sage Wagner Acting FOIA Coordinator Bureau of Indian Affairs Northwest Regional Office Division of Land Titles and Records 911 NE 11th Ave, Portland, OR 97232 sage.wagner@bia.gov Ph. 503-231-6754 Subject Matters: • The Coquille Indian Tribe’s request (the “Fee to Trust Request”) that the United States accept title to approximately 2.42 acres of land and improvements (the “Subject Property”) located in the City of Medford, Oregon, adjacent to the northeastern boundary of Highway 99, between Charlotte Ann Lane and Lowry Lane. • The Coquille Indian Tribe’s request to the Office of Indian Gaming (“OIG”) for an opinion that, or OIG’s consideration of whether, the Subject Property qualifies as “restored lands”, eligible for gaming purposes (“Restored Lands Request”). Time Frame: • May 1, 2024 through May 31, 2024. Material Scope: • All information, letters, documents, and records (electronic or otherwise), including, without limitation, any emails or attachments to such emails, which relate to the Subject Property, the Fee to Trust Request, or the Restored Lands Request, and which are or have been held by, compiled by, created by, received by, sent by, reviewed by, or stored at your office, or the Siletz Field Office of the BIA, or the office of any contractor associated with, or hired by, the",Coquille,CE-0013M-BD,Coquille Indian Tribe,Cow Creek Band of Umpqua Tribe,,gaming,,,NOT_IN_LOG,,N,N,N,Y,bureau_remit,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_may_december_2024.pdf,11,2026-08-12,A,PDF,SUSPECT_BOUNDARY,control_number_appears_more_than_once|no_date_recovered_from_this_layout,A,phrase_has_2plus_identifying_tokens,CE-0013Q-XR,Cow Creek Band of Umpqua Tribe of Indians,core_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013M-BD
DOI-OS-2023-002725,Department of the Interior,DOI,Office of the Secretary,,02/21/2023,,Confederated Tribes and Bands of the Yakama Nation,"This is a request under the Freedom of Information Act (â€œFOIAâ€). The Yakama Nation requests that the Bureau of Indian Affairs (â€œBIAâ€) provide all information, letters, documents, and records (electronic or otherwise, including, without limitation, any emails or attachments to such emails and any text or SMS messages) which are or have been held by, compiled by, created by, received by, sent by, reviewed by, or stored by the BIA or any BIA field office or the Department of the Interior (â€œInteriorâ€) which relate to the following:  1). All records related in any way to the Yakama Nation's June 8, 2021 letter requesting government to government consultation with Secretary Deb Haaland concerning Colville's threat to develop a casino within the Yakama Nation's territory.  2). The Confederated Tribes of the Colville Reservation's (â€œColvilleâ€) September 30, 2021 letter to Secretary Deb Haaland, Assistant Secretary Bryan Newland, and Regional Director Brian Mercier, which represents an initial application for the BIA to (1) take a 160-acre parcel in Pasco, WA into trust on behalf of Colville, and (2) make a two-part determination to enable Colville to conduct gaming activities on the subject property.   This request should be interpreted broadly to include, but not be limited to:  All records related in any way to Colville's application to take a 160-acre parcel in Pasco, WA into trust on behalf of Colville.  All records related in any way to Colville's application for a two-part determination to enable Colville to conduct gaming activities on the 160-acre parcel in Pasco, WA.  All records related in any way to both Colville and Montrose Environmental Group, or any other related ""economic and architecture firms"" as detailed in Colville's September 30, 2021 letter.  All records related in any way to the subject property identified in Colville's September 30, 2021 letter as Assessor Parcel Number 113-130-068 in Pasco, WA.  3). All records demonstrating or related in any way to the United States' outreach to the Yakama Nation, or any other federally recognized Indian tribe, related in any way to Colville's September 30, 2021 letter to Secretary Deb Haaland, Assistant Secretary Bryan Newland, and Regional Director Brian Mercier, which represents an initial application for the BIA to (1) take a 160-acre parcel in Pasco, WA into trust on behalf of Colville, and (2) make a two-part determination to enable Colville to conduct gaming activities on the subject property.  The term â€œrecordsâ€ should be given the broadest possible interpretation and includes, but is not limited to, correspondence, memoranda, notes of meetings and telephone calls, electronic communications, reports, and facsimiles.",Confederated Colville,CE-0013K-5M,Confederated Tribes of the Colville Reservation,Confederated Tribes and Bands of the Yakama Nation,,gaming|casino|environmental|consultation,,Assignment,NOT_IN_LOG,,N,N,N,Y,named_spine_entity,https://www.doi.gov/sites/default/files/documents/2024-06/os-foia-log-2023-71923clean.xlsx,,2026-08-12,A,XLSX,CLEAN,,A,phrase_has_2plus_identifying_tokens,CE-001CC-8N,Confederated Tribes and Bands of the Yakama Nation,exact_name,A,SUBJECT_OF_REQUEST|REQUESTER,,,,,,CE-0013K-5M
