org_id,org_name,member_entity_name,member_entity_id,membership_status,year_observed,source_url
I-002,Indian Gaming Association,Douglas Village,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Chitimacha Tribe of Louisiana,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Oneida Indian Nation,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,St. Regis Mohawk Tribe,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Choctaw Nation of Oklahoma,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Miami Tribe of Oklahoma,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Otoe-Missouria Tribe,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Oglala Lakota Nation,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Three Affiliated Tribes,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
I-002,Indian Gaming Association,Forest County Potawatomi Community,,current,2026-08-05,https://www.indiangaming.org/resources/tribes/
