proposed_id,organization_name,aliases,org_scope,ein,member_count,roster_count,files_lda,lda_filing_count,lda_years_observed,website,founded_year,evidence_url,retrieved_date,notes
I-001,National Congress of American Indians,NCAI,national,53-0210846,,,yes,40,2006-2013,https://www.ncai.org,1944,https://www.ncai.org/about-ncai,2026-08-05,"EIN is the 501(c)(4) membership body. A second entity, EIN 53-6017907, is the 501(c)(3) 'NCAI Fund' - two EINs, one name; do not collapse. NO MEMBER ROSTER IS PUBLISHED: the NCAI Tribal Directory explicitly disclaims being one ('this directory is not a listing of NCAI's Tribal Nation Membership'). The widely repeated 'represents all 574 federally recognized tribes' was NOT found on any NCAI page - not recorded."
I-005,National Indian Health Board,NIHB,national,23-7226316,574+ (representation claim),11,yes,20,2009-2022,https://www.nihb.org,1972,https://legacy.nihb.org/about_us/area_health_boards.php,2026-08-05,"STRUCTURAL POINT: NIHB's MEMBERS are the ~12 IHS-Area health boards, not 574 tribes. The 574+ figure is a representation claim. The roster of Area Health Boards lives only on the legacy domain and lists 11 even though the board is elected from 12 IHS Areas."
I-011,Native American Contractors Association,NACA,national,20-0438232,,,yes,152,2006-2009,https://nativecontractors.org,2003,https://nativecontractors.org/,2026-08-05,"The one national body spanning all three Native contracting classes - its membership categories are 'Tribal Enterprises', 'Alaska Native Corporations', 'Native Hawaiian Organizations'. No roster published (site is JS-heavy; a roster may sit behind nav that would not open - worth one manual check). Also a live Lumecon partnership target: note the dual relationship. 501(c)(6)."
I-015,Native American Rights Fund,NARF,national,84-0611876,,,yes,34,2015-2023,https://narf.org,,https://projects.propublica.org/nonprofits/organizations/840611876,2026-08-05,"LDA client names are mostly 'NATIVE AMERICAN RIGHTS FUND ON BEHALF OF THE <TRIBE>' - NARF files as a representative, so filings attributed to it are really tribal filings. Do not treat the count as NARF's own lobbying."
I-023,"Inter Tribal Council of Arizona, Inc.",ITCA|Inter-Tribal Council of Arizona|Inter Tribal Association of Arizona,regional,86-0343181,,21,yes,38,2016-2023,https://itcaonline.com,1952,https://itcaonline.com/about-itca/,2026-08-05,"LDA MATCHING TRAP: 0 filings under 'Inter Tribal Council of Arizona' but 38 under 'INTER TRIBAL ASSOCIATION OF ARIZONA' (2016-2023). Whether these are the same legal entity or a c3/c4 pair is UNRESOLVED - sent to the review queue; the LDA count here is the ASSOCIATION's. Is the IHS Phoenix-Area health board; ITCA Health Programs is an internal department, not a separate entity. Roster spans beyond Arizona (Pueblo of Zuni is NM)."
I-028,Great Lakes Indian Fish & Wildlife Commission,GLIFWC,regional,39-1468447,11,11,yes,92,2004-2011,https://glifwc.org,1984,https://glifwc.org/,2026-08-05,"Membership defined by TREATY SIGNATORY STATUS (1836, 1837, 1842, 1854 treaties), not geography. Roster is published in Ojibwe with English equivalents."
I-035,Southern California Tribal Chairmen's Association,SCTCA,regional,23-7161267,25,26,yes,64,2011-2026,https://sctca.net,1972,https://sctca.net/about/,2026-08-05,"DISCREPANCY: /about/ says 25, roster enumerates 26 (two independent fetches agreed) - the 25 appears stale. 'Yuhaaviatam of San Manuel Nation' is the current name for San Manuel Band of Mission Indians and sorts out of alphabetical order, suggesting an in-place rename."
I-041,"California Rural Indian Health Board, Inc.",CRIHB,sector,23-7052541,31 sanctioning tribes / 20 member Tribal Health Programs,20,yes,36,1999-2014,https://crihb.org,1969,https://crihb.org/about/history/,2026-08-05,"IHS California Area board. THE ROSTER IS OF TRIBAL HEALTH PROGRAMS (clinic consortia), NOT individual tribes - do not merge into a tribe-level table without a crosswalk."
I-045,"Albuquerque Area Indian Health Board, Inc.",AAIHB|AASTEC,sector,85-0255630,27 (representation claim),6,no,0,,https://www.aaihb.org,1977,https://www.aaihb.org/about-us,2026-08-05,IHS Albuquerque Area board. SHARP DISCREPANCY: claims to represent 27 federally recognized tribes but the member-tribes page lists only 6 (the non-Pueblo tribes); the 19/20 Pueblos are not listed as members.
I-052,Minnesota Indian Gaming Association,MIGA,sector,61-1995466,11,,yes,11,1999-2005,https://mnindiangamingassoc.com,1987,https://mnindiangamingassoc.com/about/,2026-08-05,"ROSTER RECOVERABLE LATER: /members/ returns HTTP 500 (WordPress fatal error) though it is listed in the site's own sitemap - retry or use an archive. The '11' counts Minnesota's tribal nations, not explicitly MIGA members. Founding 1987 vs IRS exemption 2022 - the current 501(c)(6) is a recent re-incorporation."
