firm_name,uei,cage_code,city,state,sba_certifications,parent_native_entity,parent_entity_class,confidence_tier,verification_basis,elijah_note,rebuilt_date,cedar_uid
KAPULE LLC,P9KNMJ6C2211,8VT08,HONOLULU,Hawaii,8(a),,UNRESOLVED,B,"8(a) certified, ownership class UNRESOLVED. 8(a) admits both entity-owned and individually-owned firms, so it does not establish NHO ownership.",,2026-08-05,
CORNERSTONE SERVICES & SOLUTIONS LLC,VAS5KL3XKFB5,9SBH9,HONOLULU,Hawaii,8(a),Ho'omaka Foundation,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
"LAWELAWE TECHNOLOGY SERVICES, INC.",NMNLQN6T66Z5,8JYD2,KAILUA,Hawaii,8(a),NATIVE HAWAIIAN ORGANIZATION CHARITY,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
LAWELAWE LEGACY INC.,J6D5WQ5WHHK5,8W9T9,KAILUA,Hawaii,8(a),NATIVE HAWAIIAN ORGANIZATION CHARITY,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
GALAPAGOS FEDERAL SYSTEMS LLC,N3GDEB78RNF8,7VP89,KIHEI,Hawaii,8(a),NA 'OIWI KANE,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
SMNC PROPERTIES LLC,QKB4EA2NRL45,84VN3,HONOLULU,Hawaii,8(a),ST. MARY'S NATIVE CORPORATION,ANC,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,"ANC (Alaska village corporation), not an NHO despite sitting in the Hawaii 8(a) candidate net.",2026-08-05,
NEXUS CONSULTING GROUP LLC,Q9S7BLZ2AYQ4,7XK74,HONOLULU,Hawaii,8(a),HO'OPALE FOUNDATION,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
ISLAND EMPIRE TECHNOLOGY SYSTEMS LLC,TGGAL8H2TRQ4,8WD37,KAILUA,Hawaii,8(a),ISLAND EMPIRE COMMUNITY DEVELOPMENT,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,"Corrected 2026-08-05. Elijah first entered the company's own URL; the parent is named on that page. Verified at https://www.iets.io/overview: ""Island Empire Community Development, a Native Hawaiian Organization (NHO)"". Offices: Fairfax VA (corporate) and Kailua HI.",2026-08-05,
"HANA ENTERPRISES, INC.",RAMWTMXFNNP4,7GTT2,HONOLULU,Hawaii,8(a),,UNRESOLVED,B,"8(a) certified, ownership class UNRESOLVED. 8(a) admits both entity-owned and individually-owned firms, so it does not establish NHO ownership.",,2026-08-05,
"HAWAII 5-0 DEVELOPMENT CONSTRUCTION & MAINTENANCE, INC",EZ8XY4DDW9D8,3XCA1,HONOLULU,Hawaii,8(a),MENEHUNE FOUNDATION,NHO,A,Elijah ruled the parent 2026-08-05. Ruling is the verification.,,2026-08-05,
