canonical_name,entity_class,state,bia_region,self_governance,cedar_entity_id,n_uei_tierA,n_uei_tierB,n_cage,n_ein,aliases,parent_entity_id,parent_entity_name,ultimate_parent_entity_id,ultimate_parent_entity_name,ancsa_region_entity_id,hierarchy_basis,reconciliation_status,reconciliation_note,fr_official_name,parent_native_entity,serves_native_entities,ownership_basis,entity_source_url,entity_source_quote,cedar_uid
Aaniiih Nakoda College,Tribal College or University,MT,,,,0,0,0,0,Aaniiih Nakoda College|ANC,,,,,,,added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1984; website http://www.ancollege.edu/,,,,no retrieved sentence names a single Native entity as owner or charterer - left empty by design,https://www.aihec.org/tcu-roster-and-profiles/,"AIHEC TCU Roster and Profiles, REGULAR MEMBERS: Aaniiih Nakoda College (ANC), Chartered 1984",CE-00118-S1
Chief Dull Knife College,Tribal College or University,MT,,,,0,0,0,0,Chief Dull Knife College|CDKC,CE-0017N-56,Northern Cheyenne,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1975; website http://www.cdkc.edu/,,Northern Cheyenne,,chartered_by; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,"Chartered in 1975 by the Northern Cheyenne Tribal Council, CDKC is located in the community of Lame Deer, on the 445,000 acre Northern Cheyenne Reservation in southeastern Montana.",CE-0010Q-E8
Fort Peck Community College,Tribal College or University,MT,,,,0,0,0,0,Fort Peck Community College|FPCC,CE-0011T-53,Assiniboine and Sioux,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1978; website http://www.fpcc.edu/,,Assiniboine and Sioux,"Chartered by the Fort Peck Assiniboine and Sioux Tribes in 1978, FPCC’s mission is to serve the people of the reservation by providing educational opportunities and community service.",chartered_by; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,"Chartered by the Fort Peck Assiniboine and Sioux Tribes in 1978, FPCC’s mission is to serve the people of the reservation by providing educational opportunities and community service.",CE-0010Y-RQ
Keweenaw Bay Ojibwa Community College,Tribal College or University,MI,,,,0,0,0,0,Keweenaw Bay Ojibwa Community College|KBOCC,CE-00160-29,Keweenaw,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1975; website http://www.kbocc.edu/,,Keweenaw,,chartered_by; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,"KBOCC was chartered by the Keweenaw Bay Indian Community on July 12, 1975, founded upon the idea that American Indian students, as members of sovereign nations, deserved an educational system responsive to their needs and concerns.",CE-00111-FJ
Little Priest Tribal College,Tribal College or University,NE,,,,0,0,0,0,Little Priest Tribal College|LPTC,CE-001C8-GH,Winnebago,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1996; website http://www.littlepriest.edu/,,Winnebago,,chartered_by; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,"LPTC, named after Little Priest, the last true war chief of the Ho-Chunk (Winnebago) people, was chartered by the Winnebago Tribal Council in 1996 to provide quality education for members of the Winnebago Tribe of Nebraska.",CE-00116-DF
Nueta Hidatsa Sahnish College,Tribal College or University,ND,,,,0,0,0,0,Nueta Hidatsa Sahnish College|NHSC,CE-0016W-A5,Three Affiliated,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1974; website http://nhsc.edu/,,Three Affiliated,,chartered_by; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,"NHSC was chartered by the Three Affiliated Tribes of the Fort Berthold Reservation in New Town, North Dakota.",CE-0011C-H5
Salish Kootenai College,Tribal College or University,MT,,,,0,0,0,0,Salish Kootenai College|SKC,CE-0013X-1E,Confederated Salish,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1977; website http://www.skc.edu/,,Confederated Salish,"The College provides opportunities for individual self-improvement, promotes and helps maintain the cultures of the Confederated Tribes of the Flathead Indian Nation while primarily serving the needs of Native American people.",sovereign_authority; resolved via containment,https://www.aihec.org/tcu-roster-and-profiles/,SKC is a tribally controlled college chartered in 1977 under the sovereign governmental authority of the Confederated Salish and Kootenai Tribes.,CE-0011G-99
Southwestern Indian Polytechnic Institute,Tribal College or University,NM,,,,0,0,0,0,Southwestern Indian Polytechnic Institute|SIPI,,,,,,,added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1971; website http://www.sipi.edu/,,,,"Federally operated - AIHEC records ""Chartered 1971 (BIA)"". NOT tribally owned or chartered; parent left empty by design.",https://www.aihec.org/tcu-roster-and-profiles/,"SIPI in Albuquerque, New Mexico, is a community college, funded through the Bureau of Indian Education, United States Department of the Interior.",CE-0011M-1D
United Tribes Technical College,Tribal College or University,ND,,,,0,0,0,0,United Tribes Technical College|UTTC,,,,,,,added_2026-08-06_script73,AIHEC REGULAR MEMBERS; chartered 1968; website http://www.uttc.edu/,,,"UTTC is owned and operated by and serves the five tribal nations located entirely or in-part of North Dakota: Sisseton-Wahpeton Oyate, Spirit Lake Nation, Standing Rock Sioux Tribe, Three Affiliated Tribes (Mandan, Hidatsa, and Arikara Nation) of the Fort Berthold Reservation, and Turtle Mountain Ba",no retrieved sentence names a single Native entity as owner or charterer - left empty by design,https://www.aihec.org/tcu-roster-and-profiles/,"AIHEC TCU Roster and Profiles, REGULAR MEMBERS: United Tribes Technical College (UTTC), Chartered 1968",CE-0011B-BC
Chehalis Tribal Loan Fund,Native Community Development Financial Institution,WA,,,,0,0,0,0,Chehalis Tribal Loan Fund,CE-00133-54,Chehalis,,,,"charter/ownership evidence, script 73",added_2026-08-06_script73,fi_type=Loan Fund; cdfi_fund_list=1; cicd_nafi_map=1; cert=241CE065543; website=http://www.ctlf-empowers.org,,Chehalis,,established_by; resolved via core,http://www.ctlf-empowers.org,"The Chehalis Tribal Loan Fund was founded by the Chehalis Tribe in 2007, and in 2015 the U.S.",CE-000K8-FR
