institution,layer,pattern,captured_owner,quote,evidence_url,quote_char_offset
Bay Mills Community College,TCU,chartered_by,Bay Mills Indian Community,In 1984 the college was chartered by the Bay Mills Indian Community under the Tribally Controlled Community Colleges,http://www.bmcc.edu/about-us,2346
Chief Dull Knife College,TCU,established_by,Tribal Ordinance,"Chief Dull Knife College (CDKC), founded in 1975 as the Northern Cheyenne Indian Action Program, was established by Tribal Ordinance to expand educational access and opportunity within the Northern Cheyenne community.",http://www.cdkc.edu/about,1445
Diné College,TCU,serves,,"It is an honor to serve our Diné community, and I look forward in contributing to our traditions at Diné College.",http://www.dinecollege.edu/about,6350
Fort Peck Community College,TCU,chartered_by,Fort Peck Assiniboine and Sioux Tribes,Fort Peck Community College is a tribally controlled community college chartered by the Fort Peck Assiniboine and Sioux Tribes.,http://www.fpcc.edu/about,2316
Iḷisaġvik College,TCU,x_established_y,North Slope Borough,"In 1986, the North Slope Borough created the North Slope Higher Education Center,",http://www.ilisagvik.edu/about,4129
Little Priest Tribal College,TCU,x_chartered_y,Winnebago Tribe of Nebraska,The Winnebago Tribe of Nebraska chartered Little Priest Tribal College (LPTC) in May 1996.,http://www.littlepriest.edu,1557
Sisseton Wahpeton College,TCU,established_by,alumni of Sisseton-Wahpeton College,DISCLAIMER: This website is an unofficial informational page created by alumni of Sisseton-Wahpeton College.,http://www.swc.tc,9078
"Cook Inlet Lending Center, Inc.",FI,part_of,Cook Inlet Housing Authority,"(CILC), formerly known as NaQenq’a, was created in 2001 as a social enterprise of Cook Inlet Housing Authority to address the need for affordable home financing and development services in the Cook Inlet Region of Alaska (CIRI).",http://www.cookinletlending.com/about-us,1567
"Northern Shores Community Development, Inc.",FI,established_by,Reigle Community Development and Regulatory Improvement Act of 1994,The Community Development Financial Institutions (CDFI) Program was established by the Reigle Community Development and Regulatory Improvement Act of 1994 to use federal resources to invest in and build the capacity of CDFIs to serve low-income people and communities lacking adequate access to affordable financial products and services.,http://nscdi.org,1513
Woodland Financial Partners Inc,FI,chartered_by,State of Wisconsin,"Woodland Financial Partners (WFP), formerly known as NiiJii Capital Partners, Inc., is a not-for-profit 501(c)(3) corporation, chartered by the State of Wisconsin.",http://www.woodlandfinancial.org/about,339
