name,acronym,membership_tier,state,chartered_year,charter_marker,website,source_url,retrieved_date,ownership_evidence,serves_evidence,profile_text
Aaniiih Nakoda College,ANC,REGULAR MEMBERS,MT,1984,,http://www.ancollege.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,[],[],"More than 25 years ago, a group of forward-thinking men and women from the Fort Belknap Indian Community Council, Fort Belknap Education Department, and Fort Belknap campus of Dull Knife Memorial College (now Chief Dull Knife College) recognized the need to start their own college. They saw that off-reservation programs were not adequately meeting the post-secondary educational needs of the community. In 1984 they established Fort Belknap College to provide the academic and vocational training programs and services to address social and economic needs, while preserving and promoting the A’anin and Nakoda languages, cultures and histories. In 2009, ANC celebrated its 25 th anniversary. Academic programs provide students with exciting learning opportunities. ANC remains dedicated to a “grow your own” philosophy of developing the community’s future educational leaders and has hired many talented young people from within the community."
Cankdeska Cikana Community College,CCCC,REGULAR MEMBERS,ND,1974,,http://www.littlehoop.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""CCCC was chartered by the Spirit Lake Dakota Nation in 1974 and celebrated its first graduating class in 1977 with five graduates."", ""captured_owner"": ""Spirit Lake Dakota Nation"", ""pattern"": ""chartered_by"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]",[],"CCCC was chartered by the Spirit Lake Dakota Nation in 1974 and celebrated its first graduating class in 1977 with five graduates. CCCC was established in response to the need for higher education opportunities for the people of the Spirit Lake Reservation. Academic excellence toward student success is the core mission for CCCC along with the teaching and learning of the Dakota culture and language. To date CCCC has conferred 392 associate degrees and 119 certificates in accounting, agriculture and natural resources management, Indian studies and tribal administration, automotive technology, carpentry, business, computer applications, early childhood education, pre-nursing, office technology, and liberal arts. CCCC celebrated its largest graduating class of 42 in spring 2009."
College of the Muscogee Nation,CtMN,REGULAR MEMBERS,OK,2004,,http://www.mvsktc.org/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""The College of the Muscogee Nation was created by an act of the Muscogee Nation Council."", ""captured_owner"": ""Muscogee Nation Council"", ""pattern"": ""act_of"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","[{""quote"": ""Located in Okmulgee, Oklahoma, the capital of the Muscogee (Creek) Nation, the college was organized to serve Muscogee Nation Tribal members and residents."", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","The College of the Muscogee Nation was created by an act of the Muscogee Nation Council. Located in Okmulgee, Oklahoma, the capital of the Muscogee (Creek) Nation, the college was organized to serve Muscogee Nation Tribal members and residents. Governance for the college is provided by a five-member board of regents of Muscogee citizens that meet monthly. Currently, the college offers a variety of general education and tribal-specific courses through a formal agreement with Oklahoma State University. Students can pursue associate degrees in gaming, tribal services, police science, and Native American studies with specializations in Mvskoke studies and Mvskoke language. Certificate programs are offered in the Mvskoke language and in gaming. Through these programs, the College promotes tribal economic development and strengthens the sovereignty of the Muscogee Nation. The tribal services program prepares students for employment in tribal government through the study of Indian land issues, project management, and grant writing. The police science program trains students for employment in Tribal law enforcement via study of tribal law, tribal courts, and the complexities of federal Indian law. The gaming program readies students for employment in tribal gaming through the study of tribal gaming, American Indian gaming regulations, and managerial techniques of gaming operations."
Haskell Indian Nations University,HINU,REGULAR MEMBERS,KS,1884,BIA,http://www.haskell.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,[],"[{""quote"": ""Haskell serves members of federally recognized American Indian and Alaska Native Nations as authorized by Congress and in partial fulfillment of treaty and trust obligations."", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","HINU, a land grant institution, is one of two postsecondary institutions operating under the auspices of the Bureau of Indian Education. Haskell serves members of federally recognized American Indian and Alaska Native Nations as authorized by Congress and in partial fulfillment of treaty and trust obligations. With student learning as its focus, Haskell embraces the principles of sovereignty and self-determination through a culturally based holistic lifelong learning environment that promotes and upholds respect, rights, and responsibility. HINU offers both associate and baccalaureate degree programs. Associate of science and associate of arts programs include natural resources or natural science; liberal arts; art; business administration; health, physical education and athletics; media arts; pre-professional education; social work; theatre; and Tribal management. The programs prepare students for employment in specific fields and may be used as an entry for baccalaureate work at Haskell or another four-year institution. The university offers one bachelor of arts and three bachelor of science degree programs in the fields of American Indian studies, business administration, environmental science, and elementary teacher education."
Keweenaw Bay Ojibwa Community College,KBOCC,REGULAR MEMBERS,MI,1975,,http://www.kbocc.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""KBOCC was chartered by the Keweenaw Bay Indian Community on July 12, 1975, founded upon the idea that American Indian students, as members of sovereign nations, deserved an educational system responsive to their needs and concerns."", ""captured_owner"": ""Keweenaw Bay Indian Community"", ""pattern"": ""chartered_by"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]",[],"KBOCC was chartered by the Keweenaw Bay Indian Community on July 12, 1975, founded upon the idea that American Indian students, as members of sovereign nations, deserved an educational system responsive to their needs and concerns. In October 2009, KBOCC received initial candidacy for accreditation from the Higher Learning Commission. The Bureau of Indian Education, Bureau of Indian Affairs, conducted a site visit in April 2010 and recommended the college for approval as a Tribally Controlled Community College/University under the Act. In addition, the United States Department of Education approved the college’s application for Title IV federal student aid programs. The College creates an academic environment rich in Ojibwa culture to foster understanding of Native American beliefs while promoting and preserving the customs of the Ojibwa people. Traditional leaders provide direction to faculty and staff for incorporating the Ojibwa language and culture into each of the college’s programs. The student services program offers unique opportunities for students to actively engage in the traditional ceremonies and events throughout their educational journey."
Little Big Horn College,LBHC,REGULAR MEMBERS,MT,1980,,http://www.lbhc.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""LBHC is a public two-year community college chartered by the Crow Tribe of Indians in 1980."", ""captured_owner"": ""Crow Tribe of Indians"", ""pattern"": ""chartered_by"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]",[],"LBHC is a public two-year community college chartered by the Crow Tribe of Indians in 1980. The College is located in heart of the Crow Indian Reservation in south central Montana. The College facility has 35,000 square feet of educational space situated on two acres of wooded river valley. LBHC offers eight associate of arts and two associate of science degree programs. The courses of study are directed to the economic and job opportunities in the Crow Indian Reservation area. The student body is composed of Crow tribal members (95 percent), members of American Indian tribes from around the intermountain west (3 percent), and non-Indian residents of the Big Horn County area (2 percent). LBHC has an open admissions policy and, as a public institution, welcomes enrollment from any adult with a high school diploma or GED."
Nebraska Indian Community College,NICC,REGULAR MEMBERS,NE,1979,,http://www.thenicc.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""In 1979, following the enactment of the Tribally Controlled Community College Assistance Act, NICC established itself as a fully independent two-year college chartered by the governments of three Nebraska Indian Tribes."", ""captured_owner"": ""governments of three Nebraska Indian Tribes"", ""pattern"": ""chartered_by"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]",[],"NICC began in 1972 as the American Indian Satellite Community College under a grant from the Fund for the Improvement of Postsecondary Education. The grant was administered through Northeast Technical Community College in Norfolk, NE to provide postsecondary education on the Omaha, Santee Sioux, and Winnebago Reservations. In 1979, following the enactment of the Tribally Controlled Community College Assistance Act, NICC established itself as a fully independent two-year college chartered by the governments of three Nebraska Indian Tribes. An eight-member board of directors governs the college. The College’s focal points are the two rural reservation locations on the Omaha Reservation at Macy, NE and on the Santee Sioux Reservation, in Santee, NE. The institution is also concerned about the educational opportunities available to Omaha, Santee, and other students in urban America and maintains a campus in South Sioux City, NE along with ventures into distance learning. The multi-campus structure of such a small organization presents unique opportunities for individualized attention even while separated by hundreds of miles."
Oglala Lakota College,OLC,REGULAR MEMBERS,SD,1971,,http://www.olc.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""OLC is chartered by the Oglala Sioux Tribal Council and governed by a 13-member board of trustees."", ""captured_owner"": ""Oglala Sioux Tribal Council"", ""pattern"": ""chartered_by"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","[{""quote"": ""It serves the Pine Ridge Reservation, which has a population of about 26,000 and covers 3,468 square miles in southwestern South Dakota."", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","OLC is chartered by the Oglala Sioux Tribal Council and governed by a 13-member board of trustees. It serves the Pine Ridge Reservation, which has a population of about 26,000 and covers 3,468 square miles in southwestern South Dakota. The College mission is twofold: to produce graduates who demonstrate excellence in their chosen areas of study and fields of endeavor, and to enhance life for the Oglala Lakota Oyate. OLC is unique in its decentralized campus system, which features college instructional centers in each of the nine districts across Pine Ridge Reservation in South Dakota. There are additional college instructional centers in Rapid City and on the Cheyenne River Reservation. OLC is accredited by the Higher Learning Commission of the North Central Accrediting Agency to offer degrees at the associate, bachelor’s, and master’s levels. Education graduates are certified by the South Dakota Division of Education to teach in K-12 elementary systems and to serve in school administrative capacities. OLC nursing graduates are certified by the South Dakota State Board of Nursing and eligible to sit for the registered nurse examination. The social work program is accredited at the bachelor’s degree level. OLC has 1,456 students enrolled part- and full-time."
Salish Kootenai College,SKC,REGULAR MEMBERS,MT,1977,,http://www.skc.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""SKC is a tribally controlled college chartered in 1977 under the sovereign governmental authority of the Confederated Salish and Kootenai Tribes."", ""captured_owner"": ""Confederated Salish and Kootenai Tribes"", ""pattern"": ""sovereign_authority"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","[{""quote"": ""The College provides opportunities for individual self-improvement, promotes and helps maintain the cultures of the Confederated Tribes of the Flathead Indian Nation while primarily serving the needs of Native American people."", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","SKC is a tribally controlled college chartered in 1977 under the sovereign governmental authority of the Confederated Salish and Kootenai Tribes. The mission of SKC is to provide quality postsecondary educational opportunities for American Indians, locally and from throughout the United States. The College provides opportunities for individual self-improvement, promotes and helps maintain the cultures of the Confederated Tribes of the Flathead Indian Nation while primarily serving the needs of Native American people. SKC has an enrollment of 1,207 students. The College offers bachelor’s degrees, associate degrees, and certificate programs in Native American studies, building trades, engineering, education, business, information technology, digital and media arts, environmental science and forestry, dental assisting technology, social work, nursing, psychology, and vocational life skills. The College reaches students at its main campus on the Flathead Reservation and at three satellite locations in Washington in Colville, Spokane, and Wellpinit."
Sitting Bull College,SBC,REGULAR MEMBERS,ND,1973,,http://www.sittingbull.edu/,https://www.aihec.org/tcu-roster-and-profiles/,2026-08-06,"[{""quote"": ""In 1973, the Standing Rock Sioux Tribal Council chartered Sitting Bull College, formerly Standing Rock Community College."", ""captured_owner"": ""Standing Rock Sioux Tribal Council"", ""pattern"": ""x_chartered_y"", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","[{""quote"": ""SBC serves the Standing Rock Indian Reservation consisting of a land base of 2.8 million acres in North Dakota and South Dakota with campuses in Fort Yates, ND and McLaughlin, SD."", ""evidence_url"": ""https://www.aihec.org/tcu-roster-and-profiles/""}]","In 1973, the Standing Rock Sioux Tribal Council chartered Sitting Bull College, formerly Standing Rock Community College. Its mission establishes it as “an academic and technical institution committed to improving the levels of education and training, economic and social development of the people it serves while promoting responsible behavior consistent with Lakota/Dakota culture and language.” SBC was founded with the philosophy that all people grow to their full potential by knowing and understanding their beautiful and profound cultural heritage; therefore, Dakota and Lakota cultures permeate a holistic educational process which permits all people to develop in balance from the elders’ teachings to live in the present world. SBC serves the Standing Rock Indian Reservation consisting of a land base of 2.8 million acres in North Dakota and South Dakota with campuses in Fort Yates, ND and McLaughlin, SD. It offers academic and vocational training and awards in the following programs: seven bachelor of science, five associate of applied science, ten associate of science, four associate of arts, and seven certificate programs. These programs of study range from building trades, environmental science, energy technology, criminal justice, business, Native American studies, education, human services, office/information technology, and nursing."
