contract_number,parent_contract_number,fiscal_year,pre_2000_flag,awardee_name,awardee_uei,cage_code,parent_name,parent_uei,total_obligations,total_award_value,total_obligations_real2025,total_award_value_real2025,deflator_factor_2025,inflation_base_year,setaside,reported_8a,reported_buy_indian,reported_indian_business,reported_native_preference,setaside_reported,extent_competed,funding_agency,sector,supersector,defense,recipient_city_name,recipient_state_code,place_of_perform_city,place_of_perform_state,tribe_id,canonical_name,attribution_method,confidence_tier,attributed_flag,source_file,source_authority,built_date,cedar_uid,contract_transaction_unique_key
MS02,W912HZ05D0015,2008,0,"EYAK TECHNOLOGY, LLC",YKBMG32J2LL5,NAN,THE EYAK CORP,JVECDKERKEJ3,233136.4,233136.4,341650.67,341650.67,1.465454,2025,8(a),1,0,0,1,1,B,Dept Of Defense,33,Manufacturing,1,DULLES,VA,WASHINGTON,DC,ANVC-EYAKXX-00,Eyak Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-0008V-A3,9700_9700_MS02_0_W912HZ05D0015_0
NNC06E148T,NNC06BA07B,2008,0,ASRC AEROSPACE CORP,VPDZVX1FZWX1,NAN,ARCTIC SLOPE REGIONAL CORPORATION,CY16XXPHX213,0.0,0.0,0.0,0.0,1.465454,2025,8(a),1,0,0,1,1,D,Nan,54,Professional & Business Services,0,GREENBELT,MD,GREENBELT,MD,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00078-KR,8000_8000_NNC06E148T_11_NNC06BA07B_0
0001,W81K0408D0023,2008,0,"CNI MEDICAL SERVICES, LLC",DT6LV2ND4V36,NAN,"CNI MEDICAL SERVICES, LLC",DT6LV2ND4V36,0.0,925065.81,0.0,1355641.39,1.465454,2025,None reported,0,0,0,0,0,C,Dept Of Defense,62,Education & Health Services,1,NORMAN,OK,SAN ANTONIO,TX,TRBF-CHKSWN-00,The Chickasaw Nation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00135-HP,9700_9700_0001_0_W81K0408D0023_0
0002,W912BV08D2051,2008,0,SPECPRO ENVIRONMENTAL SERVICES LLC,NLCRUT3KG9R6,NAN,BRISTOL BAY NATIVE CORPORATION,PQUEL5MZFDJ3,371084.31,371084.31,543806.99,543806.99,1.465454,2025,8(a),1,0,0,1,1,B,Dept Of Defense,56,Professional & Business Services,1,OAK RIDGE,TN,EL PASO,TX,ANRC-BRBYCO-00,Bristol Bay Native Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-0007A-ZA,9700_9700_0002_0_W912BV08D2051_0
0Y08,DADA1003D0019,2008,0,AMERICAN HOSPITAL SERVICES GROUP LLC,LT9JX6X1HLQ8,NAN,THE CHENEGA CORPORATION,ZHEGXL9HYV43,-187370.06,0.0,-274582.2,0.0,1.465454,2025,Small Business,0,0,0,0,1,D,Dept Of Defense,62,Education & Health Services,1,EXTON,PA,TRIPLER ARMY MEDICAL CENTER,HI,ANVC-CHENEG-00,Chenega Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00085-6X,9700_9700_0Y08_11_DADA1003D0019_0
FA703708C0015,nan,2008,0,"NANGWIK SERVICES, LLC",C7JTESN1JUK8,NAN,THE CHENEGA CORPORATION,ZHEGXL9HYV43,0.0,0.0,0.0,0.0,1.465454,2025,8(a),1,0,0,1,1,B,Dept Of Defense,54,Professional & Business Services,1,JACKSONVILLE,FL,JACKSONVILLE,FL,ANVC-CHENEG-00,Chenega Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00085-6X,9700_-NONE-_FA703708C0015_P00001_-NONE-_0
NNA08AF30B,nan,2008,0,ASRC RESEARCH AND TECHNOLOGY SOLUTIONS LLC,VF2ANJQHJ1N7,NAN,ARCTIC SLOPE REGIONAL CORPORATION,CY16XXPHX213,567334.14,0.0,831402.08,0.0,1.465454,2025,8(a),1,0,0,1,1,B,National Aeronautics And Space Administration,54,Professional & Business Services,0,GREENBELT,MD,MOFFETT FIELD,CA,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00078-KR,8000_-NONE-_NNA08AF30B_3_-NONE-_0
0047,W91QF106D0002,2008,0,"AKIMA FACILITIES MANAGEMENT, LLC",ZKBEHUM81WU7,NAN,NANA REGIONAL CORPORATION INC,KW9NCQ8W64S4,10981.86,0.0,16093.41,0.0,1.465454,2025,8(a),1,0,0,1,1,D,Dept Of Defense,81,Other services or Not given,1,ANCHORAGE,AK,FORT EUSTIS,VA,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-0007G-30,9700_9700_0047_2_W91QF106D0002_0
0010,FA890306D8515,2008,0,"LAGUNA CONSTRUCTION COMPANY, INC",ZSUANYC4XJX4,NAN,"LAGUNA CONSTRUCTION COMPANY, INC",ZSUANYC4XJX4,0.0,0.0,0.0,0.0,1.465454,2025,None reported,0,0,0,0,0,A,Dept Of Defense,23,Construction,1,LAGUNA,NM,NAN,NAN,TRBF-LAGUNA-00,Pueblo of Laguna,uei_exact,B,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-00161-82,9700_9700_0010_3_FA890306D8515_0
N4008506C1163,nan,2008,0,ST GEORGE CHADUX CORP,JYP5NMHS66T3,NAN,ST GEORGE TANAQ CORP,DD76ANKVJKY8,1388513.0,0.0,2034801.93,0.0,1.465454,2025,8(a),1,0,0,1,1,B,Dept Of Defense,56,Professional & Business Services,1,ANCHORAGE,AK,NORFOLK,VA,ANVC-STGRGT-00,St. George Tanaq Corporation,uei_exact,A,1,FY2008_All_Contracts_Full_20260806.zip,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,CE-000C8-C8,9700_-NONE-_N4008506C1163_P00011_-NONE-_0
