cedar_uid,canonical_name,fiscal_year,obligations_usd,n_contracts,obligations_usd_tier_a,n_contracts_tier_a,obligations_usd_tier_b,n_contracts_tier_b,confidence_tiers,attribution_name_variants_n,attribution_names,obligations_usd_owner_asof_confirmed,obligations_usd_owner_asof_not_confirmed,owner_attribution_statuses,built_date
CE-00003-JB,Agdaagux Tribe of King Cove,2023,3389934.47,9,0.0,0,3389934.47,9,B,1,Agdaagux,0.0,3389934.47,NOT_EVALUATED,2026-08-29
CE-00006-4P,Akiak Native Community,2022,11237821.92,2,0.0,0,11237821.92,2,B,1,Akiak,0.0,11237821.92,NOT_EVALUATED,2026-08-29
CE-00006-4P,Akiak Native Community,2026,29814609.61,34,0.0,0,29814609.61,34,B,1,Akiak,0.0,29814609.61,NOT_EVALUATED,2026-08-29
CE-00008-G8,Allakaket Village,2009,10800.0,1,0.0,0,10800.0,1,B,1,Allakaket,0.0,10800.0,NOT_EVALUATED,2026-08-29
CE-00008-G8,Allakaket Village,2013,-9627.52,2,0.0,0,-9627.52,2,B,1,Allakaket,0.0,-9627.52,NOT_EVALUATED,2026-08-29
CE-00008-G8,Allakaket Village,2017,11000.0,1,0.0,0,11000.0,1,B,1,Allakaket,0.0,11000.0,NOT_EVALUATED,2026-08-29
CE-0000B-2K,Algaaciq Native Village (St. Mary's),2019,551479.94,8,0.0,0,551479.94,8,B,1,Algaaciq,0.0,551479.94,RESOLVED_OWNER_NOT_IN_CEDAR,2026-08-29
CE-0000B-2K,Algaaciq Native Village (St. Mary's),2023,2910312.49,26,0.0,0,2910312.49,26,B,1,Algaaciq,2912144.79,-1832.3,CONFIRMED_AS_OF+RESOLVED_OWNER_NOT_IN_CEDAR,2026-08-29
CE-0000D-E5,Alutiiq Tribe of Old Harbor,2002,610642.0,3,0.0,0,610642.0,3,B,1,Alutiiq,0.0,610642.0,NOT_EVALUATED,2026-08-29
CE-0000D-E5,Alutiiq Tribe of Old Harbor,2006,10376778.75,25,0.0,0,10376778.75,25,B,1,Alutiiq,0.0,10376778.75,NOT_EVALUATED,2026-08-29
