contract_number,first_award_fy,last_action_fy,n_transactions,awardee_name,awardee_uei,cage_code,tribe_id,canonical_name,ultimate_parent_entity_name,total_obligated_usd,max_award_value_usd,funding_agency,defense,sector,setaside,reported_8a,reported_buy_indian,reported_indian_business,reported_native_preference,extent_competed,recipient_state_code,place_of_perform_state,cumulative_snapshot_flag,cedar_uid
0X43,2008,2011,3,AMERICAN HOSPITAL SERVICES GROUP LLC,LT9JX6X1HLQ8,NAN,ANVC-CHENEG-00,Chenega Corporation,Chenega Corporation,-7573.0,0.0,Dept Of Defense,1,62,Small Business,0,0,0,0,D,PA,NC,monotonically_rising,CE-00085-6X
HHSN27400002,2016,2017,2,"1St Choice Staffing, Llc",J9MWJJM9HNQ4,1W2D9,TRBF-BLULKE-00,Blue Lake,Blue Lake,25716.28,30228.28,National Institutes Of Health,0,56,None reported,0,0,0,0,NOT COMPETED UNDER SAP,MD,MD,monotonically_rising,CE-0012H-MJ
HHSI24829097,2012,2016,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,17749.25,11514.25,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829096,2012,2016,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,30236.9,19996.9,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829084,2012,2016,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,26321.66,17726.66,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829087,2012,2016,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,19734.68,15009.68,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829105,2012,2017,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,14106.08,9051.08,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829101,2012,2017,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,38818.4,31001.4,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829122,2012,2017,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,41156.62,34826.62,Indian Health Service,0,23,None reported,0,0,0,0,G,WA,WA,monotonically_rising,CE-0013K-5M
HHSI24829110,2012,2017,2,CONFEDERATED TRIBES OF COLVILLE RESERVATION,NU9UAKLRDDP1,NAN,TRBF-COLVLL-00,Confederated Colville,Confederated Colville,31714.07,31627.03,Indian Health Service,0,23,None reported,0,0,0,0,F,WA,WA,monotonically_rising,CE-0013K-5M
