Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Record_Scope,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Threshold_Exception,Date_Basis,Notes,Date_Added,Data_As_Of
ANCSA2-2017-001,2017-05-15,2017,Q2,2017-05,"ASRC Industrial Services acquires Finite Holdings, LLC and its subsidiaries DACA Specialty Services and D2 Industrial Services",Arctic Slope Regional Corporation,Alaska Native corporation,"Finite Holdings, LLC (DACA Specialty Services, LLC; D2 Industrial Services, LLC)",Acquisition,Industrial and commercial painting and coatings,100% stock acquisition,Completed,2017 commitment,7700000,"Purchase price stated in the acquisitions note, net of cash received, plus a closing-date working capital excess of $1,079 thousand. Contingent consideration of up to $4,000 thousand is EXCLUDED.",,AK,"Atlanta, Georgia and Cincinnati, Ohio","ASRC Industrial Services, LLC (AIS) acquired 100% of the outstanding stock of Finite Holdings, LLC. Its wholly owned subsidiaries DACA Specialty Services, LLC (Atlanta, Georgia) and D2 Industrial Services (Cincinnati, Ohio) are industrial painting contractors. On the closing date $1,000 thousand was retained by AIS as an indemnity holdback and $886 thousand for a pension withdrawal liability.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=956f4fb8-7f2b-4b45-aa0c-31f155cd0586,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"MONTH-LEVEL DATE ONLY. The filing states the month and year of the transaction and no day. A mid-month placeholder day (15) is used per ledger convention; the day is NOT stated in any retrieved document. The 2017 ASRC annual report states: 'In May 2017 we closed the acquisition of Finite Holdings, LLC, and its wholly-owned subsidiaries DACA Specialty services, LLC, and D2 Industrial Services, LLC (collectively, ""Finite"")', and the acquisitions note states 'In May 2017, AIS acquired 100% of the outstanding stock of Finite Holdings, LLC (Finite) for $7,700 net of cash received'.","ANCSA portal v2 harvest 2026-08-05. RESOLVES SKIPPED LEAD SK-ANCSA-001 from the 2026-08-05 run, which could not date this transaction because the 2017 ASRC annual report is an image-only PDF (34 of 38 pages carry no extractable text). DATE AND FULL TARGET NAMES RECOVERED BY OCR (tesseract 5.5.0, 300 dpi grayscale). ASRC states all figures in thousands; $7,700 thousand = $7,700,000. VALUE HANDLING: the narrative purchase price is used, not the acquisition table's 'Net purchase price' of $6,893 thousand, which is the allocation total net of cash acquired; the same narrative-over-table convention was applied to ASRC/Vistronix in the prior run. Contingent consideration of up to $4,000 thousand over the first four calendar years post-close is NOT added.",2026-08-05,2026-08-05
ANCSA2-2025-003,2025-09-15,2025,Q3,2025-09,"ASRC Federal acquires Applied Research Solutions, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Applied Research Solutions, Inc.",Acquisition,"Cyber solutions, research and development, software development and professional services",100% equity acquisition,Completed,2025 commitment,170794000,"Purchase price stated in the ASRC 2025 acquisitions and divestitures table. It includes a post-closing adjustment of $2,974 thousand, a deferred payment of $13,936 thousand due two years after closing and a contingent earnout valued at $6,955 thousand at closing. Holdbacks of $20,892 thousand were deducted to arrive at net cash paid of $140,257 thousand.",,AK,United States (primarily United States Air Force customers),"ASRC Federal acquired 100% of the equity interest of Applied Research Solutions, Inc. (ARS), which provides cyber solutions, research and development, software development and professional solutions primarily for the United States Air Force.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caef9504-14e4-4aad-8285-a18856b0746e,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"MONTH-LEVEL DATE ONLY. The filing states the month and year of the transaction and no day. A mid-month placeholder day (15) is used per ledger convention; the day is NOT stated in any retrieved document. The 2025 ASRC annual report states 'In September 2025, ASRC Federal acquired 100% of the equity interest of Applied Research Solutions, Inc. (ARS).'","ANCSA portal v2 harvest 2026-08-05. Named as an open follow-up in the 2026-08-05 build log and converted here. Figures in thousands; $170,794 thousand = $170,794,000. VALUE HANDLING: the contingent earnout, valued at $6,955 thousand at closing and payable only if ARS meets 2027 financial targets, IS a component of the stated purchase price and is disclosed rather than separated; goodwill of $127,059 thousand is not a price.",2026-08-05,2026-08-05
ANCSA2-2026-001,2026-02-09,2026,Q1,2026-02,"Arctic Slope Regional Corporation acquires Coinstar, LLC",Arctic Slope Regional Corporation,Alaska Native corporation,"Coinstar, LLC",Acquisition,Financial services and self-service coin conversion kiosks,100% equity unit acquisition,Completed,2026 commitment,1050000000,"APPROXIMATE CASH PRICE AS STATED. The filing says the Corporation 'acquired 100% of the equity units of Coinstar, LLC for approximately $1,050,000 in cash' (figures in thousands). The purchase price allocation was not complete when the financial statements were issued.",,AK,North America and Western Europe,"ASRC acquired 100% of the equity units of Coinstar, LLC, which operates a network of over 26,000 coin conversion kiosks in North America and Western Europe and offers various financial services globally. The transaction was funded through an expansion of ASRC's credit facility; the new facility, effective February 9, 2026, provides a revolving line of credit up to $850,000 thousand and term borrowings of $1,250,000 thousand maturing February 9, 2031. Coinstar anchors a sixth ASRC core business segment, financial solutions.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caef9504-14e4-4aad-8285-a18856b0746e,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,No,"Transaction date stated in the subsequent-events note of the 2025 annual report: 'On February 9, 2026, the Corporation acquired 100% of the equity units of Coinstar, LLC for approximately $1,050,000 in cash.'","ANCSA portal v2 harvest 2026-08-05. Reported as a SUBSEQUENT EVENT in the ASRC annual report for the year ended December 31, 2025; filed by TRANSACTION year (2026), not report year. ASRC states all figures in thousands; $1,050,000 thousand = $1,050,000,000. The price is stated as APPROXIMATE and the purchase price allocation was still in process at issuance, so the value is preliminary. VALUE TRAPS AVOIDED: the $850,000 thousand revolver, the $1,250,000 thousand term borrowings and the $1.1 billion credit-facility increase are FINANCING, not consideration; the $3,975 thousand of related acquisition expenses is a cost, not a price. Largest single transaction in this dataset.",2026-08-05,2026-08-05
ANCSA2-2023-002,2023-03-10,2023,Q1,2023-03,Sealaska Foods International Holdings acquires 60% of Normarine AS,Sealaska Corporation,Alaska Native corporation,Normarine AS,Acquisition,Atlantic whitefish supply and processing,60% share capital acquisition,Completed,2023 commitment,3387000,"CASH CONSIDERATION ACTUALLY PAID, as stated in the narrative. The note's 'fair value of total consideration transferred' of $5,349 thousand is NOT used because it adds $1,962 thousand of noncontrolling interest that Sealaska did not buy.",,AK,Norway,"Sealaska's subsidiary Sealaska Foods International Holdings, Ltd (SFIHL) acquired 60% of the issued share capital of Normarine AS, a Norwegian company, to obtain direct access to high-quality Atlantic whitefish.",Sealaska Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=4c8f3297-698c-4449-824b-ec0a490c422b,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,No,"Transaction date stated in the business acquisitions note: 'On March 10, 2023, the Company's subsidiary SFIHL acquired 60% of the issued share capital of Normarine, a Norwegian company, for cash consideration of $3,387.'","ANCSA portal v2 harvest 2026-08-05. VALUE TRAP AVOIDED (the Odyssey pattern): the acquisition table shows Cash $3,387 plus Noncontrolling interest in consolidated subsidiary $1,962 equals 'Fair value of total consideration transferred' $5,349. The $1,962 thousand is the fair value of the 40% Sealaska did NOT buy, so $5,349 thousand is not a price. Figures in thousands.",2026-08-05,2026-08-05
ANCSA2-2020-002,2020-12-15,2020,Q4,2020-12,"Bristol Bay Industrial acquires The Cannon Group, LLC and Cannon Constructors, LLC",Bristol Bay Native Corporation,Alaska Native corporation,"The Cannon Group, LLC (Cannon Construction, LLC; Bud's Hauling and Leasing, LLC); Cannon Constructors, LLC",Acquisition,"Electrical, telecommunication and civil infrastructure utility contracting",Controlling membership interest acquisition,Completed,2020 commitment,26696000,"Purchase price as stated in the BBNC acquisitions note table (footnote 3), which allocates the total purchase price to tangible and intangible assets acquired and liabilities assumed. Contingent consideration of $8,500 thousand determined on negotiated EBITDA is a component of this purchase price; net cash paid was $18,196 thousand.",,AK,Washington,"Bristol Bay Industrial, LLC (BBI) acquired controlling membership interests of The Cannon Group, LLC (which owned Cannon Construction, LLC and Bud's Hauling and Leasing, LLC) and a controlling membership interest of Cannon Constructors, LLC, collectively a group of utility companies specialising in electrical, telecommunication and civil infrastructure projects in Washington.",Bristol Bay Native Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=8b275c5d-394f-4cb8-a2b3-ebed9644f6a2,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"MONTH-LEVEL DATE ONLY. The filing states the month and year of the transaction and no day. A mid-month placeholder day (15) is used per ledger convention; the day is NOT stated in any retrieved document. The BBNC FY2023 annual report states 'In December 2020, BBI acquired controlling membership interests of The Cannon Group, LLC (which owned Cannon Construction, LLC and Bud's Hauling and Leasing, LLC) and controlling membership interest of Cannon Constructors, LLC (collectively Cannon).'","ANCSA portal v2 harvest 2026-08-05. Figures in thousands; $26,696 thousand = $26,696,000. VALUE HANDLING: contingent consideration of $8,500 thousand, calculated for the four-month period to March 31, 2021 and then annually for five fiscal years, is INCLUDED in the stated purchase price and must not be added to it. The allocation was completed in 2022 and is final as of March 31, 2022.",2026-08-05,2026-08-05
ANCSA2-2021-004,2021-12-15,2021,Q4,2021-12,"PetroCard acquires the assets of Marc Nelson Oil Products, Inc.",Bristol Bay Native Corporation,Alaska Native corporation,"Marc Nelson Oil Products, Inc.",Acquisition,Fuel and lubricant distribution,Asset acquisition,Completed,2021 commitment,46125000,"Purchase price as stated in the BBNC acquisitions note table (footnote 3), which allocates the total purchase price to tangible and intangible assets acquired and liabilities assumed. No contingent consideration or holdbacks; net cash paid equals the purchase price.",,AK,Oregon,"PetroCard, Inc. acquired the assets and certain liabilities of Marc Nelson Oil Products, Inc. (MNOP), a fuel and lubricant distributor primarily servicing Oregon with cardlock sales and bulk fuel delivery, expanding PetroCard's fuel distribution network in the Pacific Northwest.",Bristol Bay Native Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=8b275c5d-394f-4cb8-a2b3-ebed9644f6a2,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"MONTH-LEVEL DATE ONLY. The filing states the month and year of the transaction and no day. A mid-month placeholder day (15) is used per ledger convention; the day is NOT stated in any retrieved document. The BBNC FY2023 annual report states 'In December 2021, PetroCard, Inc. acquired the assets and certain liabilities of Marc Nelson Oil Products, Inc. (MNOP).'","ANCSA portal v2 harvest 2026-08-05. Figures in thousands; $46,125 thousand = $46,125,000. Intangible assets of $5,000 thousand represent franchise rights in the Pacific Pride and CFN fuel networks and are an allocation component, not a separate price. The allocation was completed in 2022 and is final as of March 31, 2022.",2026-08-05,2026-08-05
ANCSA2-2023-005,2023-02-15,2023,Q1,2023-02,"Bristol Bay Industrial acquires John Burns Holdings, LLC and affiliates",Bristol Bay Native Corporation,Alaska Native corporation,"John Burns Holdings, LLC (John Burns Construction Company, LLC; John Burns Construction Company of Texas, LLC)",Acquisition,"General, electrical, telecommunications, power and industrial construction",Controlling membership interest acquisition,Completed,2023 commitment,75050000,"CONSIDERATION FOR THE CONTROLLING INTEREST ACTUALLY ACQUIRED. The FY2025 final table shows a purchase price of $83,389 thousand less noncontrolling interest of $8,339 thousand, giving $75,050 thousand, which equals net cash paid. The $83,389 thousand figure is NOT used because it includes the fair value of the minority interest BBNC did not buy.",,AK,"Chicago, Illinois; Dallas, Texas; and other United States sites","Bristol Bay Industrial, LLC (BBI) acquired the controlling membership interest of John Burns Holdings, LLC and its affiliated entities John Burns Construction Company, LLC and John Burns Construction Company of Texas, LLC, a provider of general, electrical, telecommunications, power and industrial construction services in the Chicago and Dallas metropolitan areas and other sites nationwide.",Bristol Bay Native Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=84be0cbe-a12d-415e-9752-ec91ca87e740,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"MONTH-LEVEL DATE ONLY. The filing states the month and year of the transaction and no day. A mid-month placeholder day (15) is used per ledger convention; the day is NOT stated in any retrieved document. The BBNC FY2023 annual report states 'In February 2023, BBI acquired the controlling membership interest of John Burns Holdings, LLC (John Burns).'","ANCSA portal v2 harvest 2026-08-05. Named as an open follow-up in the 2026-08-05 build log and converted here. Figures in thousands; $75,050 thousand = $75,050,000. VALUE TRAP AVOIDED (the Odyssey pattern): the acquisitions table books a 'PURCHASE PRICE' of $83,389 thousand that includes $8,339 thousand of noncontrolling interest BBNC did NOT acquire. RESTATEMENT: the FY2023 report showed a provisional purchase price of $82,083 thousand with noncontrolling interest of $8,208 thousand (net $73,875 thousand) pending a net working capital true-up; the FY2024 and FY2025 reports both show the final $83,389 / $8,339 / $75,050. THE FINAL FIGURES ARE USED and Source_1 is the FY2025 report where the final allocation appears.",2026-08-05,2026-08-05
ANCSA2-2016-001,2016-03-11,2016,Q1,2016-03,"Cook Inlet Region, Inc. sells CIRI Alaska Tourism Corporation","Cook Inlet Region, Inc.",Alaska Native corporation,Undisclosed buyer (not named in the filing),Divestiture,Tourism and hospitality,Sale of subsidiary,Completed,2016 commitment,45000000,Sale price stated in the filing; a gain from the sale of $9.8 million was recognised.,,AK,"Seward, Talkeetna and Fox Island, Alaska","CIRI sold CIRI Alaska Tourism Corporation (CATC), exiting the tourism and hospitality industry. CATC operated as Kenai Fjord Tours (a wildlife cruise operation in Resurrection Bay and Kenai Fjords National Park), the Talkeetna Alaskan Lodge (212 rooms), the Kenai Fjords Wilderness Lodge on Fox Island and the Seward Windsong Lodge (180 rooms).","Cook Inlet Region, Inc. is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.",https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=0887a921-430c-4dc4-b693-7920d98436e4,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"Transaction date stated in the filing: 'On March 11, 2016, the Company sold CATC for $45 million and recognized a gain from the sale of $9.8 million.'","ANCSA portal v2 harvest 2026-08-05. Recovered by OCR (tesseract 5.5.0, 300 dpi grayscale) of the image-only 2017 CIRI annual report. The buyer is NOT NAMED in the retrieved text; the counterparty field records that explicitly rather than inferring one. VALUE TRAPS AVOIDED: CATC revenues of $79,000, $27.4 million and $24.0 million for 2016, 2015 and 2014 are REVENUE figures, not consideration, and the $9.8 million gain is an accounting outcome, not a price. Filed by TRANSACTION year (2016), not report year (2017).",2026-08-05,2026-08-05
ANCSA2-2023-008,2023-02-28,2023,Q1,2023-02,"KUUK Investments acquires HME Construction, Inc.",Ukpeagvik Inupiat Corporation,Alaska Native village corporation,"HME Construction, Inc.",Acquisition,Marine dredging and marine construction,100% stock acquisition,Completed,2023 commitment,18000000,"Total consideration as stated: cash consideration of $3,600,000 and leveraged debt of $14,400,000. The acquisition-date allocation table totals the same $18,000,000. Of the cash consideration, $1,690,560 was contributed by KUUK's noncontrolling interest holder.",,AK,Oregon and the United States,"KUUK Investments, LLC (KUUK), a UIC 51% majority owned subsidiary organised in Washington in December 2022, acquired 100% of the stock of HME Construction, Inc., an Oregon corporation, to capitalise on increasing marine dredging and marine construction work driven by environmental impacts throughout the United States.",Ukpeagvik Inupiat Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=8a12ff8b-4213-457e-afbf-a145365a6fbe,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,No,"Transaction date stated in the business acquisition note: 'On February 28, 2023, KUUK acquired 100% of the stock of HME Construction, Inc (HME), an entity incorporated in the State of Oregon, for cash consideration of $3,600,000 and leveraged debt of $14,400,000.'","ANCSA portal v2 harvest 2026-08-05. UIC states this note in whole dollars. NOTE ON ECONOMIC SHARE: the acquiring vehicle KUUK is 51% UIC-owned and $1,690,560 of the cash consideration came from KUUK's noncontrolling interest holder, so UIC's economic share of the $18,000,000 is smaller than the transaction value. The transaction value is recorded with the structure disclosed here. Acquisition-related costs of $216,343 (2023) and $30,397 (2022) are costs, not consideration.",2026-08-05,2026-08-05
ANCSA2-2022-006,2022-02-01,2022,Q1,2022-02,"Huna Totem Corporation acquires Icy Strait Brewing, LLC",Huna Totem Corporation,Alaska Native village corporation,"Icy Strait Brewing, LLC (formerly Icy Strait Brewery, LLC)",Acquisition,Brewing,100% ownership acquisition,Completed,2022 commitment,1675000,"Total purchase price as stated in the acquisition note: cash of $200,000 and a note payable of $1,475,000.",,AK,"Hoonah, Alaska","Huna Totem Corporation acquired 100% of the ownership of Icy Strait Brewing, LLC (ISB), a brewery operating in the City of Hoonah, Alaska, formerly named Icy Strait Brewery, LLC.",Huna Totem Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=fe9d88fc-587f-45b0-8971-591c3bb161ad,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,No,"Transaction date stated in the dedicated acquisition note of the 2022 annual report: '12. Acquisition of Icy Strait Brewing, LLC. On February 1, 2022, the Company acquired 100% of the ownership of Icy Strait Brewing, LLC (ISB). Total purchase price of the acquisition was $1,675,000 and $1,475,000 was financed and the rest of the acquisition price was paid in cash.' The purchase price allocation is presented 'as of February 1, 2022'.","ANCSA portal v2 harvest 2026-08-05. The 2022 Huna Totem annual report is a MOSTLY IMAGE-ONLY PDF (55 of 72 pages carry no extractable text) and this note was RECOVERED BY OCR (tesseract 5.5.0, 300 dpi grayscale) in this run. DATE UPGRADED BY OCR: the 2025 annual report's goodwill note recaps this transaction only as 'In January 2022, the Company became the sole owner of Icy Strait Brewery, LLC', which would have supported a month-level date and a mid-month placeholder. The 2022 report's dedicated acquisition note gives an EXACT date of February 1, 2022 and a purchase price allocation dated to that day, so the exact date governs and the 2025 recap is treated as a superseded, less precise restatement. Huna Totem states this note in whole dollars and the price cross-foots two ways: cash $200,000 + note payable $1,475,000 = $1,675,000, and building and improvement $882,000 + furniture and equipment $200,000 + vehicles $10,000 + intangible asset $165,000 + goodwill $418,000 = $1,675,000.",2026-08-05,2026-08-05
