Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Record_Scope,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Threshold_Exception,Date_Basis,Notes,Date_Added,Data_As_Of
ND-2010-002,2010-10-21,2010,Q4,2010-10,"Arctic Slope Regional Corporation sells its entire General Communication, Inc. Class A stake back to the issuer for $76.0 million",Arctic Slope Regional Corporation,Alaska Native regional corporation,"General Communication, Inc. (GCI)",Divestiture,Telecommunications,Share repurchase by issuer / full exit,Closed,2010 commitment,76031750.69,"Aggregate purchase price for 7,486,240 shares of Class A Common Stock (all shares held by ASRC)",,AK,"Anchorage / Barrow, Alaska","On October 21, 2010, ASRC and General Communication, Inc. entered into a Stock Purchase Agreement under which the Issuer purchased 7,486,240 shares of Class A Common Stock, representing all of the outstanding Class A Common Stock held by ASRC, for an aggregate purchase price of $76,031,750.69. As of that date ASRC ceased to beneficially own any shares of the Issuer. The filing notes that 5,000 of the shares sold had been inadvertently excluded from ASRC prior Schedule 13D disclosure and were not the result of a stock purchase.",Arctic Slope Regional Corporation is an Alaska Native regional corporation formed under the Alaska Native Claims Settlement Act of 1971 and owned by the Inupiat people of Alaska Arctic Slope. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/1428711/000110465910053172/a10-19723_1sc13da.htm,"SEC filing (Schedule 13D/A, Amendment No. 2)",,,Primary verified,High,No,"Transaction date stated in SEC filing text (Stock Purchase Agreement dated as of October 21, 2010; Items 4, 5(c) and 6 all state October 21, 2010).","Emit an ownership-change record: ASRC exits its GCI equity position 2010-10-21. This is a divestiture of a portfolio equity stake, not of an operating subsidiary.",2026-08-05,2026-08-05
ND-2010-003,2010-05-12,2010,Q2,2010-05,Iowa Tribe of Oklahoma buys out Lakes Entertainment from the Cimarron Casino management and Ioway Casino consulting arrangements for $4.5 million,Iowa Tribe of Oklahoma,Federally recognized tribe / tribal enterprise,"Lakes Iowa Consulting, LLC and Lakes Iowa Management, LLC (Lakes Entertainment, Inc.)",Contract termination / buyout,Gaming / casino management,Business termination agreement executed,Closed/announced,2010 commitment,4500000,"Total consideration payable by the Iowa Tribe: $1.0 million within two days of execution plus $3.5 million in 15 equal monthly installments beginning June 15, 2010",,OK,"Perkins, Oklahoma (Cimarron Casino)","On May 12, 2010 Lakes Iowa Consulting, LLC and Lakes Iowa Management, LLC entered into a Business Termination Agreement with the Iowa Tribe of Oklahoma terminating all contracts between them effective May 1, 2010, including the management agreement for the Cimarron Casino, the consulting agreement for the Ioway Casino Resort, and the Amended and Restated Ioway Note under which approximately $5.0 million had been advanced. The Iowa Tribe agreed to pay Lakes $4.5 million in total, with a 6% prepayment discount available during the first twelve months. The Tribe thereby took full control of its gaming operations.",The Iowa Tribe of Oklahoma is a federally recognized tribe; the Cimarron Casino and Ioway Casino Resort are tribally owned. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/1071255/000095012310050884/c58288e8vk.htm,"SEC filing (Form 8-K, Items 1.01 and 1.02)",,,Primary verified,High,No,"Agreement date stated in SEC filing text (""On May 12, 2010 ... entered into a Business Termination Agreement""); the terminations themselves are stated as effective May 1, 2010.","The approximately $5.0 million previously advanced under the Ioway Note is prior debt, not consideration, and is NOT in any value field. Emit an ownership-change record: management/consulting control of the Cimarron Casino reverts to the Iowa Tribe of Oklahoma effective 2010-05-01.",2026-08-05,2026-08-05
ND-2010-004,2010-11-24,2010,Q4,2010-11,Inn of the Mountain Gods Resort and Casino commences private exchange offer for its $200.0 million 12% Senior Notes due 2010,Inn of the Mountain Gods Resort and Casino (Mescalero Apache Tribe),Tribally owned enterprise,Holders of the 12% Senior Notes due 2010,Financing,Gaming / casino resort finance,Exchange offer commenced,Announced,2010 commitment,200000000,"Aggregate principal amount of 12% Senior Notes due 2010 subject to the exchange offer; consideration comprises new 8.750% Senior Notes due 2020, new Senior PIK Notes due 2020, and a pro rata share of $18 million in cash",,NM,"Mescalero, New Mexico","On November 24, 2010 Inn of the Mountain Gods Resort and Casino, a wholly owned enterprise of the Mescalero Apache Tribe, commenced a private offer to exchange its outstanding 12% Senior Notes due 2010 for (1) new 8.750% Senior Notes due 2020, (2) new Senior PIK Notes due 2020 and (3) a pro rata amount of $18 million in cash. The Company own Form 10-K states that $200.0 million of principal plus $51.8 million of accrued interest was outstanding, that scheduled semi-annual $12.0 million interest payments had not been made since November 15, 2008, and that the notes matured unpaid on November 15, 2010. The exchange offer was scheduled to expire January 7, 2011 and was extended to January 21, 2011 pending regulatory approvals.","Inn of the Mountain Gods Resort and Casino is a wholly owned enterprise of the Mescalero Apache Tribe, a federally recognized tribe. Ownership verified: Yes.",https://www.sec.gov/Archives/edgar/data/1280352/000095012310108873/p18341e8vk.htm,"SEC filing (Form 8-K, Item 7.01)",https://www.sec.gov/Archives/edgar/data/1280352/000095012311001582/p18421e10vk.htm,"SEC filing (Form 10-K for fiscal year ended September 30, 2010)",Primary verified,Medium,No,"Commencement date stated in SEC filing text (""On November 24, 2010 ... commenced a private offer to exchange""). NOT a closing date: the offer was still open at the January 10, 2011 Form 10-K and the registrant filed a Form 15-15D on February 9, 2011, so no completion date exists in SEC evidence.",MEDIUM confidence because the completion date and final tendered amount are not in any retrieved SEC filing. $51.8 million of accrued interest and the $12.0 million semi-annual interest payments are NOT in any value field. The $18 million cash component is consideration and is described in Value_Type but is not separately summed.,2026-08-05,2026-08-05
ND-2011-003,2011-08-03,2011,Q3,2011-08,River Rock Entertainment Authority pays $9.0 million for an emergency vehicle access easement over the Proschold property adjoining the Dry Creek Rancheria,River Rock Entertainment Authority / Dry Creek Rancheria Band of Pomo Indians,Tribal gaming authority,Terrance C. Proschold and related individuals and family trusts (the Grantors),Real estate / land acquisition,Gaming / casino resort,Easement acquired,Closed,2011 commitment,9000000,"Easement Acquisition Price payable by the Authority, credited toward the Tribe purchase price for the underlying approximately 310-acre parcel",,CA,"Geyserville, Sonoma County, California","On August 3, 2011 the River Rock Entertainment Authority entered into a Grant of Temporary Emergency Vehicle Access Easement with a group of individuals and family trusts, allowing the Authority to build the emergency vehicle access road required under the Tribe March 18, 2008 Memorandum of Agreement with Sonoma County. The Authority agreed to pay the Grantors $9.0 million. Under a separate purchase agreement the Tribe agreed to acquire from the same Grantors an approximately 310-acre parcel contiguous to the reservation that includes the easement land; the $9.0 million easement price is credited toward that purchase price, with the balance payable over five years under a note requiring final payment by the July 31, 2016 easement expiration date.","River Rock Entertainment Authority is an unincorporated governmental instrumentality of the Dry Creek Rancheria Band of Pomo Indians, a federally recognized tribe. Ownership verified: Yes.",https://www.sec.gov/Archives/edgar/data/1288924/000110465911045352/a11-23295_18k.htm,"SEC filing (Form 8-K, Item 1.01)",,,Primary verified,High,No,"Entry date stated in the Form 8-K narrative (""On August 3, 2011, the River Rock Entertainment Authority ... entered into""). The exhibit index dates the instrument itself ""as of July 31, 2011""; the narrative date is used and the discrepancy is disclosed here.","The total purchase price of the approximately 310-acre Proschold parcel is NOT disclosed in the filing and is therefore in no value field; only the $9.0 million easement price is recorded. Do not add this row to ND-2011-002 (the 9 3/4% note restructuring): different instrument, different counterparty.",2026-08-05,2026-08-05
ND-2011-004,2011-11-22,2011,Q4,2011-11,"Jamul Indian Village signs Pre-Development, Development and Financing Arrangement Agreement with Lakes Jamul Development for a San Diego County casino",Jamul Indian Village of California,Federally recognized tribe / tribal enterprise,"Lakes Jamul Development, LLC (Lakes Entertainment, Inc.)",Commercial partnership,Gaming / casino development,Development and financing agreement executed,Signed/announced,2011 commitment,,Undisclosed,,CA,"Jamul, San Diego County, California","On November 22, 2011 Lakes Jamul Development, LLC entered into a Pre-Development, Development and Financing Arrangement Agreement with the Jamul Indian Village to develop a casino on the Tribe reservation outside San Diego. The agreement superseded and replaced the Development Financing and Services Agreement of January 17, 2006 and runs for 83 months. Lakes agreed to lend the Tribe amounts necessary to pay certain development costs plus a Tribal Support Loan of $153,000 per month until Phase I opens; advances accrue interest at the applicable federal rate until Phase I opens and at prime plus 2% thereafter, with principal and interest capitalized and repaid over ten years from the opening of Phase II. Lakes compensation is contingent: no fee until Phase II opens, then $1,000,000 plus approximately 8% of Phase II project costs, and $2,000,000 plus approximately 8% of Phase III project costs.",Jamul Indian Village of California is a federally recognized tribe; the casino is to be developed on its trust land. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/1071255/000119312511324558/d261554d8k.htm,"SEC filing (Form 8-K, Item 1.01)",,,Primary verified,High,No,"Agreement date stated in SEC filing text (""On November 22, 2011 ... entered into a Pre-Development, Development and Financing Arrangement Agreement"").","NO VALUE FIELD IS POPULATED. The filing states that accrued interest on amounts previously advanced and on land that may be transferred to the Tribe ""was decreased by approximately $20.0 million"" - a concession on pre-existing debt, not consideration, and deliberately excluded. The $153,000 monthly Tribal Support Loan is a recurring obligation and the Phase II/III fees are contingent; per ledger convention none of these is a deal value. Predecessor of ND-2013-002 (Penn National definitive agreements) and ND-2016-003 (Jamul $460 million financing); the Lakes debt becomes the $60 million subordinated position later sold to Penn.",2026-08-05,2026-08-05
ND-2012-002,2012-06-15,2012,Q2,2012-06,Shakopee Mdewakanton Sioux Community and Canterbury Park ten-year cooperative marketing agreement takes effect,Shakopee Mdewakanton Sioux Community (SMSC Gaming Enterprise / Mystic Lake Casino Hotel),Federally recognized tribe / tribal enterprise,Canterbury Park Holding Corporation,Commercial partnership,Gaming / racing,Agreement effective after conditions satisfied,Closed,2012 commitment,,Ten-year committed payments by SMSC (see Project_Total_Value_USD); no purchase price,83500000,MN,"Shakopee, Minnesota","Canterbury Park Holding Corporation and the Shakopee Mdewakanton Sioux Community signed a ten-year cooperative marketing agreement on June 4, 2012. The agreement became effective June 15, 2012, the first business day after its three conditions precedent were satisfied: delivery of a Horse Association Agreement (June 4), approval by the Minnesota Racing Commission (June 13), and delivery by Canterbury Park of a Stock Appreciation Right Agreement covering 165,000 shares above $14.30 per share (June 14). SMSC committed approximately $75 million over the life of the agreement to enhance purses at Canterbury Park live race meets and $8.5 million over the ten years for joint marketing. Concurrent with effectiveness SMSC paid its 2012 obligations of $2.7 million in purse enhancement and $300,000 in joint marketing support.",The Shakopee Mdewakanton Sioux Community is a federally recognized tribe; the SMSC Gaming Enterprise operates Mystic Lake Casino Hotel. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/926761/000089710112001021/cphc122639_8k.htm,"SEC filing (Form 8-K, Item 1.01, reporting effectiveness and conditions satisfied)",https://www.sec.gov/Archives/edgar/data/926761/000115752312003202/a50299572ex99-1.htm,"SEC filing (Form 8-K, Exhibit 99.1 joint press release, June 4, 2012)",Primary verified,High,No,"Effectiveness date stated in SEC filing text (""The Agreement became effective in accordance with its terms on June 15, 2012""). Signing date was June 4, 2012; per ledger convention the effective/closing date governs.","Announced_Value_USD is deliberately BLANK: SMSC obligations are recurring annual commitments, not consideration. Project_Total_Value_USD $83,500,000 is the sum of the two committed ten-year amounts the parties themselves stated (approximately $75 million purse enhancement plus $8.5 million joint marketing) and must not be read as a purchase price. The 2012 payments of $2.7 million and $300,000 are the first year of that same commitment - do not add them on top. The stock appreciation rights on 165,000 shares are consideration flowing TO SMSC and are cash-settled only; no share value is recorded.",2026-08-05,2026-08-05
ND-2012-003,2012-08-31,2012,Q3,2012-08,Oglala Sioux Tribe places $6.085 million of debt securities through D.A. Davidson & Co.,"Oglala Sioux Tribe of the Pine Ridge Indian Reservation, South Dakota",Federally recognized tribe / tribal enterprise,D.A. Davidson & Co. (placement agent); 16 accredited investors,Financing,Tribal government finance,Private placement of debt securities,Closed,2012 commitment,6085000,"Total offering amount and total amount sold, debt securities (Form D, Rule 506)",,SD,"Pine Ridge, South Dakota","The Oglala Sioux Tribe filed a Form D reporting a debt securities offering with a date of first sale of August 31, 2012. The total offering amount and the total amount sold were both $6,085,000, with nothing remaining. Sixteen investors participated, all accredited, with a minimum accepted investment of $100,000. D.A. Davidson & Co. is named as the sales-compensation recipient, soliciting in Colorado, Iowa, Nebraska and other states. The filing was signed by Thomas Poor Bear, Vice President.",The Oglala Sioux Tribe of the Pine Ridge Indian Reservation is a federally recognized tribe and is itself the issuer on the Form D. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/1422871/000142287112000004/xslFormDX01/primary_doc.xml,"SEC filing (Form D, notice of exempt offering)",,,Primary verified,High,No,"Date of first sale as reported on Form D (2012-08-31), which is also the signature date.",Use of proceeds is not stated on the Form D and no project is named; the row records the financing only. This is one of only three Form D filings by a tribal-government issuer in the entire 2010-2017 window (the other two are ND-2013-004 and ND-2013-005).,2026-08-05,2026-08-05
ND-2013-002,2013-04-05,2013,Q2,2013-04,Jamul Indian Village and Penn National Gaming enter definitive agreements to develop Hollywood Casino Jamul-San Diego,Jamul Indian Village of California,Federally recognized tribe / tribal enterprise,"Penn National Gaming, Inc.",Commercial partnership,Gaming / casino development,Definitive agreements entered,Signed/announced,2013 commitment,,"Undisclosed - development, management and branding agreements plus a lending commitment; no consideration stated",360000000,CA,"Jamul, San Diego County, California","On April 5, 2013 Penn National Gaming announced that, subject to final National Indian Gaming Commission approval, it and the Jamul Indian Village had entered into definitive agreements to jointly develop a Hollywood Casino-branded casino and resort on the Tribe trust land in San Diego County. The agreements secure Penn development, management and branding services during pre-development and entitlement; set the terms under which Penn will lend to the Tribe to fund development costs; and create an exclusive arrangement between the parties. Penn described the development as a proposed $360 million project of approximately 200,000 square feet with over 1,700 slot machines and 50 table games. Penn note receivable from the Tribe stood at $7.0 million at December 31, 2013 and $15.5 million at March 31, 2014.",Jamul Indian Village of California is a federally recognized tribe; the facility is owned by the Tribe and built on its trust land. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/921738/000110465914033291/a14-9599_110q.htm,"SEC filing (Penn National Gaming Form 10-Q for the quarter ended March 31, 2014, ""Long-term asset related to the Jamul Tribe"")",https://www.sec.gov/Archives/edgar/data/1071255/000143774914000789/ex99-1.htm,"SEC filing (Lakes Entertainment Form 8-K, Exhibit 99.1, January 16, 2014 status update)",Primary verified,High,No,"Announcement date of the definitive agreements as stated in Penn National Form 10-Q (""On April 5, 2013, the Company announced that ... had entered into definitive agreements""). No separate signing or closing date is given in SEC evidence.","Announced_Value_USD is BLANK: no consideration is stated. Project_Total_Value_USD $360,000,000 is the proposed project cost, a capex figure, NOT a purchase price - do not treat it as consideration. The $7.0 million and $15.5 million note-receivable balances are drawn loan balances at balance-sheet dates, not a deal value. Same project family as ND-2011-004 and ND-2016-003; never sum across the three.",2026-08-05,2026-08-05
ND-2013-003,2013-08-29,2013,Q3,2013-08,Shingle Springs Band of Miwok Indians pays $57.1 million to extinguish all Lakes Entertainment debt and end the Red Hawk Casino management agreement,Shingle Springs Band of Miwok Indians and Shingle Springs Tribal Gaming Authority,Tribal gaming authority,"Lakes Entertainment, Inc. and Lakes KAR - Shingle Springs, LLC",Contract termination / buyout,Gaming / casino resort finance,Debt termination payment made; management agreement terminated,Closed,2013 commitment,57100000,Lump-sum payment by the Tribe constituting full and final payment of all debt owed to Lakes,,CA,"Placerville, El Dorado County, California","On July 17, 2013 Lakes Entertainment and Lakes KAR - Shingle Springs, LLC entered into a Debt Termination Agreement with the Shingle Springs Band of Miwok Indians and the Shingle Springs Tribal Gaming Authority covering monies Lakes had advanced for development of the Red Hawk Casino. The agreement required a lump-sum payment of $57.1 million on or before December 31, 2013. The Tribe made the payment and, as a result, ten development, financing and management agreements dating from 2003 to 2008 - including the amended and restated gaming development and management agreement approved by the National Indian Gaming Commission on July 19, 2004 - were terminated effective August 29, 2013. The Tribe thereby took full ownership and management control of Red Hawk Casino.",The Shingle Springs Band of Miwok Indians is a federally recognized tribe; the Shingle Springs Tribal Gaming Authority owns Red Hawk Casino. Ownership verified: Yes.,https://www.sec.gov/Archives/edgar/data/1071255/000143774913011576/laco20130903_8k.htm,"SEC filing (Form 8-K, Item 1.02, reporting termination effective August 29, 2013)",https://www.sec.gov/Archives/edgar/data/1071255/000143774913009084/laco20130903_8k.htm,"SEC filing (Form 8-K, Item 1.01, July 22, 2013, reporting the Debt Termination Agreement)",Primary verified,High,No,"Effective date of the terminations stated in SEC filing text (""terminated effective as of August 29, 2013 as a result of the Tribe payment of $57.1 million""). The agreement itself is dated July 17, 2013; per ledger convention the completion date governs. ONE row only - the July agreement and the August payment are the same transaction.","DEDUPLICATION: file this transaction once. The July 17, 2013 Debt Termination Agreement (Form 8-K filed 2013-07-22) and the August 29, 2013 payment (Form 8-K filed 2013-09-04) are the same $57.1 million event. Emit an ownership-change record: management control of Red Hawk Casino reverts to the Shingle Springs Tribal Gaming Authority 2013-08-29.",2026-08-05,2026-08-05
ND-2013-004,2013-10-30,2013,Q4,2013-10,"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians exchange $43.6 million of existing debt securities for new debt securities","Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians",Federally recognized tribe / tribal enterprise,Eight accredited holders of the existing debt securities,Financing,Tribal government finance,Debt exchange offer,Closed,2013 commitment,43607053,"Total offering amount and total amount sold, debt securities (Form D, Rule 506(b)); the filing states the offering is an exchange of existing debt securities for new debt securities",,OR,"Coos Bay, Oregon","The Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians filed a Form D reporting a debt securities offering with a date of first sale of October 30, 2013. The total offering amount and total amount sold were both $43,607,053, with nothing remaining, across eight accredited investors. The clarification of response states expressly: ""Exchange offer of existing debt securities for new debt securities."" The filing was signed by Robert Garcia, Chairman, Tribal Council.","The Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians is a federally recognized tribe and is itself the issuer on the Form D. Ownership verified: Yes.",https://www.sec.gov/Archives/edgar/data/1591305/000159130513000004/xslFormDX01/primary_doc.xml,"SEC filing (Form D, notice of exempt offering)",,,Primary verified,High,No,Date of first sale as reported on Form D (2013-10-30). Filing date 2013-11-12.,"PAIRED WITH ND-2013-005: the Tribe filed TWO Form D notices the same day, both with first sale 2013-10-30, for $43,607,053 and $9,855,000. They are separate offerings with separate accession numbers and separate investor counts (8 and 6) and are recorded as two rows; the combined 2013 exchange totals $53,462,053. This is a REFINANCING of existing debt - the new securities replace old ones, so do not read the amount as new capital raised.",2026-08-05,2026-08-05
