consultation_event_id,channel,agency,sub_agency,program,consultation_type,topic,notice_date,event_start_date,event_end_date,location,format,tribe_name,participant_name_as_published,participant_role,comment_deadline,has_written_comments,has_summary,has_transcript,federal_register_citation,source_url,source_quote,fetched_date,tier,confidence,built_date,match_method,cedar_uid,fr_document_number,nagpra_notice_overlap,nagpra_bridge_overlap,nagpra_coverage_window,event_date_basis,event_date_source_quote,location_basis,location_source_quote,document_role,n_participant_rows_for_event,is_event_primary_row
CONS-FR-94-22052,CONSULTATION,,,,consultation_session,Tribal Consultation on Indian Education Topics; Notice DEPARTMENT OF THE INTERIOR,1994-09-08,1994-10-13,1994-10-28,"Montana, Billings; Georgia, Atlanta; Alaska, Anchorage; Washington, Seattle; California, Sacramento",written_comment,,,not_enumerated,1994-11-18,1,0,0,,https://www.federalregister.gov/documents/1994/09/08/94-22052/tribal-consultation-on-indian-education-topics-notice-department-of-the-interior,Notice is hereby given that the Bureau of Indian Affairs (BIA) will conduct consultation meetings to obtain oral and written comments concerning potential issues in Indian education programs. The potential issues which will be set forth in a tribal consultation booklet to be issued prior to the meetings are as follows:,2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,94-22052,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,dates_field_of_a_notice_whose_own_ACTION_line_says_notice_of_meetings,"October 13, 17, 19, 21, 24, 26, and 28, 1994 for all locations listed.",addresses_field_segment_anchored_to_a_meeting,"(612) 373-1090 ------------------------------------------------------------------------ October 19, 1994 ------------------------------------------------------------------------ Montana, Billings......... | (405) 945-6051 ------------------------------------------------------------------------ October 21, 1994 ------------------------------------------------------------------------ Georgia, Atlanta.......... | (703) 235-3233 ------------------------------------------------------------------------ October 24, 1994 ------------------------------------------------------------------------ Alaska, Anchorage......... | (602) 738-2262 ------------------------------------------------------------------------ October 26, 1994 ------------------------------------------------------------------------ Washington, Seattle....... | (505) 368-4427 ------------------------------------------------------------------------ October 28, 1994 ------------------------------------------------------------------------ California, Sacramento....",consultation_notice_published,1,1
CONS-FR-99-28578,CONSULTATION,Housing and Urban Development Department,,,consultation_notice,Notice of Regional Meetings on Draft HUD Tribal Consultation Policy,1999-11-02,1999-10-27,1999-10-27,"Oneida, New York",,,,not_enumerated,,1,0,0,64 FR 59196,https://www.federalregister.gov/documents/1999/11/02/99-28578/notice-of-regional-meetings-on-draft-hud-tribal-consultation-policy,"Executive Order 13084 directs Federal agencies to ``have an effective process to permit elected officials and other representatives of Indian tribal governments to provide meaningful and timely input in the development of regulatory policies on matters that significantly or uniquely affect their communities.'' In accordance with the Executive Order, HUD is in the process of developing a tribal consultation policy. This notice announces three regional meetings sponsored by HUD for the purposes of receiving tribal input on the appropriate scope and content of HUD's consultation policy. All comments received at the meetings will be considered in the development of HUD's final tribal consultation policy. Before finalizing a consultation policy, HUD will publish the draft policy in the Federal Register for additional public comment.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,99-28578,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"The most recent meeting was held on October 27, 1999 in Oneida, New York in conjunction with the meeting of the United South and Eastern Tribes.",addresses_field_segment_anchored_to_a_meeting,"The most recent meeting was held on October 27, 1999 in Oneida, New York in conjunction with the meeting of the United South and Eastern Tribes.",consultation_notice_published,1,1
CONS-FR-01-30734,CONSULTATION,Interior Department,Indian Affairs Bureau,,consultation_session,Tribal Consultation on Indian Trust Asset Management,2001-12-11,2001-12-13,2002-02-01,"Albuquerque, New Mexico; Minneapolis, Minnesota",written_comment,,,not_enumerated,,1,0,0,66 FR 64054,https://www.federalregister.gov/documents/2001/12/11/01-30734/tribal-consultation-on-indian-trust-asset-management,"The Office of the Secretary, along with the Bureau of Indian Affairs, the Office of Special Trustee for American Indians, and Office of Indian Trust Transition, will conduct meetings on Indian trust asset management. The purpose of the meetings is to discuss a proposed reorganization of the Department's trust responsibility functions to improve the management of Indian trust assets. Any tribe, band, nation or individual is encouraged to attend the meetings and to submit written comments.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,01-30734,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,dates_field_of_a_notice_whose_own_ACTION_line_says_notice_of_meetings,"The dates and city locations of the consultation meetings are as follows: December 13, 2001--Albuquerque, New Mexico December 20, 2001--Minneapolis, Minnesota January 3, 2002--Oklahoma City, Oklahoma January 10, 2002--Rapid City, South Dakota January 17, 2002--San Diego, California January 23, 2002--Anchorage, Alaska February 1, 2002--Washington, DC (Arlington, Virginia)",addresses_field_segment_anchored_to_a_meeting,"Prior notice of the first two consultation meetings scheduled in Albuquerque, New Mexico and Minneapolis, Minnesota, were published in the Federal Register on December 5, 2001 (66 FR 63306).",consultation_notice_published,1,1
CONS-FR-E8-17774,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,"Notice of Public Comment on Tribal Consultation Session To Be Held on September 11, 2008, in Phoenix, AZ",2008-08-04,2008-09-11,2008-09-11,"Phoenix, Arizona",,,,not_enumerated,,0,0,0,73 FR 45227,https://www.federalregister.gov/documents/2008/08/04/E8-17774/notice-of-public-comment-on-tribal-consultation-session-to-be-held-on-september-11-2008-in-phoenix,"Pursuant to the Improving Head Start for School Readiness Act of 2007, Public Law 110-134, notice is hereby given of a one-day Tribal Consultation Session to be held between the Department of Health and Human Services, Administration for Children and Families, Office of Head Start leadership and the leadership of Tribal governments operating Head Start (including Early Head Start) programs. The purpose of the Consultation Session is to discuss ways to better meet the needs of Indian, including Alaska Native, children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations [42 U.S.C. 9835, Section 640(l)(4)].",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,E8-17774,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"The Consultation Session will take place on Thursday, September 11, 2008, at the Hyatt Regency Phoenix in Phoenix, Arizona.",supplementary_information_segment_anchored_to_a_meeting,"The Consultation Session will take place on Thursday, September 11, 2008, at the Hyatt Regency Phoenix in Phoenix, Arizona.",consultation_notice_published,1,1
CONS-FR-2011-5258,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,Tribal Consultation Meetings,2011-03-09,2011-03-25,2011-04-01,"Rapid City, South Dakota; Boston, Massachusetts",,,,not_enumerated,,0,0,0,76 FR 12967,https://www.federalregister.gov/documents/2011/03/09/2011-5258/tribal-consultation-meetings,"Pursuant to the Improving Head Start for School Readiness Act of 2007, Public Law 110-134, notice is hereby given of one-day Tribal Consultation Sessions to be held between the Department of Health and Human Services, Administration for Children and Families, OHS leadership, and the leadership of Tribal Governments operating Head Start (including Early Head Start) programs. The purpose of these Consultation Sessions is to discuss ways to better meet the needs of American Indian and Alaska Native children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations [42 U.S.C. 9835, Section 640(l)(4)]. Dates & Locations: The initial 2011 OHS Tribal Consultation Sessions will be held as follows: Friday, March 25, 2011--Rapid City, South Dakota--Best Western Ramkota. Frid",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2011-5258,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"These Consultation Sessions will take place Friday, March 25, 2011, in Rapid City, South Dakota, and Friday, April 1, 2011, in Boston, Massachusetts.",supplementary_information_segment_anchored_to_a_meeting,"These Consultation Sessions will take place Friday, March 25, 2011, in Rapid City, South Dakota, and Friday, April 1, 2011, in Boston, Massachusetts.",consultation_notice_published,1,1
CONS-FR-2011-25291,CONSULTATION,Interior Department,,,consultation_session,Regional Tribal Consultation on Implementation of Indian Land Consolidation Program Under Cobell Settlement,2011-09-30,2011-10-26,2011-10-26,"Billings, Montana; Minneapolis, Minnesota; Seattle, Washington; Albuquerque, New Mexico; Phoenix, Arizona",written_comment,,,not_enumerated,2011-11-01,1,0,0,76 FR 60855,https://www.federalregister.gov/documents/2011/09/30/2011-25291/regional-tribal-consultation-on-implementation-of-indian-land-consolidation-program-under-cobell,"The Office of the Secretary is announcing that it will conduct an additional tribal consultation meeting with Indian tribes in Rapid City, South Dakota, to obtain oral and written comments concerning the implementation of the Indian Land Consolidation Program (ILCP) under the terms of the Cobell Settlement. Six consultation meetings in other regional locations were announced by a previous notice in the Federal Register. This notice also announces an extension of the comment deadline. See the SUPPLEMENTARY INFORMATION section of this notice for details.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2011-25291,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,,,addresses_field_segment_anchored_to_a_meeting,"To date, the Office of the Secretary held five tribal consultation meetings: Friday, July 15, 2011, in Billings, Montana; | Thursday, August 18, 2011, in Minneapolis, Minnesota; | Friday, September 16, 2011, in Seattle, Washington; | Tuesday, September 27, 2011, in Albuquerque, New Mexico; | and Thursday, September 29, 2011, in Phoenix, Arizona.",consultation_notice_published,1,1
CONS-FR-2012-19587,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,Tribal Consultation Meeting,2012-08-13,2012-10-15,2012-10-17,"Portland, Oregon; Anchorage, Alaska",,,,not_enumerated,,0,0,0,77 FR 48159,https://www.federalregister.gov/documents/2012/08/13/2012-19587/tribal-consultation-meeting,"Pursuant to the Improving Head Start for School Readiness Act of 2007, notice is hereby given of a one-day Tribal Consultation Session to be held between the Department of Health and Human Services, Administration for Children and Families, Office of Head Start leadership and the leadership of Tribal Governments operating Head Start (including Early Head Start) programs. The purpose of this Consultation Session is to discuss ways to better meet the needs of American Indian and Alaska Native children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2012-19587,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,dates_field_of_a_notice_whose_own_ACTION_line_says_notice_of_meetings,"October 15, 2012 and October 17, 2012.",addresses_field_segment_anchored_to_a_meeting,"2012 Office of Head Start Tribal Consultation Session will be held at the following locations: Monday, October 15, 2012--Portland, Oregon--Westin Portland, 750 SW Alder Street, Portland, OR 97205; | The Consultation Session for Region X will take place Monday, October 15, 2012, in Portland, Oregon. | The Consultation Session for the State of Alaska will take place Wednesday, October 17, 2012, in Anchorage, Alaska, immediately preceding the annual Alaska Federation of Natives convention.",consultation_notice_published,1,1
CONS-FR-2013-08371,CONSULTATION,Interior Department,National Park Service,Central Washington University has completed an inventory of human remains,NAGPRA_consultation_reported,"Notice of Inventory Completion: Central Washington University, Ellensburg, WA",2013-04-10,,,,,Confederated Colville,Confederated Tribes of the Colville Reservation,consulted,2013-05-10,0,0,0,78 FR 21401,https://www.federalregister.gov/documents/2013/04/10/2013-08371/notice-of-inventory-completion-central-washington-university-ellensburg-wa,"A detailed assessment of the human remains was made by Central Washington University professional staff in consultation with representatives of the Confederated Tribes and Bands of the Yakama Nation; Confederated Tribes of the Colville Reservation; and the Wanapum Band of Priest Rapids, a non-Federally recognized Indian group.",2026-08-07,B,high,2026-08-07,fr_official_name,CE-0013K-5M,2013-08371,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,,consultation_reported_in_document,2,0
CONS-FR-2015-04472,CONSULTATION,Interior Department,Indian Affairs Bureau,,consultation_session,Johnson O'Malley Program,2015-03-04,2015-03-31,2015-03-31,"SIB, Washington;Portland, OR;St., Oklahoma;City, OK",virtual;teleconference;written_comment,,,not_enumerated,2015-05-10,1,0,0,80 FR 11684,https://www.federalregister.gov/documents/2015/03/04/2015-04472/johnson-omalley-program,"The Bureau of Indian Education (BIE) will be conducting consultation meetings to obtain oral and written comments on potential issues about the Johnson O'Malley (JOM) program. The meetings are a continuation of meetings conducted by the Bureau of Indian Affairs (BIA) and BIE in 2012. As required by 25 U.S.C. 2011(b), the purpose of consultation is to provide Indian tribes, school boards, parents, Indian organizations and other interested parties with an opportunity to comment on potential issues raised during previous consultation meetings or being considered by the BIE on Indian education programs.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2015-04472,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"Tribal consultation sessions on the JOM Student Count will be held on the following dates and at the following locations: ------------------------------------------------------------------------ Date Time Location ------------------------------------------------------------------------ Tuesday, March 31, 2015.....",,,consultation_notice_published,1,1
CONS-FR-2018-03633,CONSULTATION,Interior Department,National Park Service,The New Jersey State Museum,NAGPRA_consultation_reported,"Notice of Intent To Repatriate Cultural Items: New Jersey State Museum, Trenton, NJ",2018-02-22,2016-07-14,2016-07-14,,,,,not_enumerated,2018-03-26,0,0,0,83 FR 7763,https://www.federalregister.gov/documents/2018/02/22/2018-03633/notice-of-intent-to-repatriate-cultural-items-new-jersey-state-museum-trenton-nj,"The New Jersey State Museum, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, has determined that the cultural items listed in this notice meet the definition of unassociated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to claim these cultural items should submit a written request to the New Jersey State Museum. If no additional claimants come forward, transfer of control of the cultural items to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2018-03633,same_notice_in_nagpra_notices,no_tribe_resolved_on_this_row,inside_the_2011_2022_nagpra_window,supplementary_information_sentence_with_an_event_verb,"A videoconference was held on July 14, 2016 between representatives of the New Jersey State Museum and the Eastern Band of Cherokee Indians, The Muscogee (Creek) Nation, and United Keetoowah Band of Cherokee Indians in Oklahoma.",,,consultation_reported_in_document,1,1
