letter_id,channel,agency,agency_code,series,letter_date,letter_date_verbatim,letter_date_basis,index_listing_count,also_listed_under_dates,subject_as_published,addressed_to,addressed_to_basis,document_url,document_format,record_kind,is_enclosure,linked_pdf_count,source_index_url,source_index_http_status,source_index_year,harvest_method,tier,confidence,fetched_date,built_date,built_by_script
DTLL-d0ba25baa4dac74f,CONSULTATION,Indian Health Service,HHS-IHS,IHS Dear Tribal Leader Letters,2000-01-10,"January 10, 2000",ihs_leaderLetters_date element on the publisher's own year index,1,,Enclosure: Federal Register 42 CFR Parts 36 and 36a: Indian Health Service Eligibility Regulations,tribal_leaders,"the publisher's own index section, /newsroom/triballeaderletters/",https://www.ihs.gov/sites/newsroom/themes/responsive2017/display_objects/documents/2000_Letters/01-10-2000_Enclosure.pdf,pdf,enclosure,1,,https://www.ihs.gov/newsroom/triballeaderletters/2000letters/,200,2000,publisher_year_index,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-9f01a32c8bdfaebd,CONSULTATION,Indian Health Service,HHS-IHS,IHS Dear Tribal Leader Letters,2000-10-16,"October 16, 2000",ihs_leaderLetters_date element on the publisher's own year index,1,,The announcement of organizational change within the Office of Public Health,tribal_leaders,"the publisher's own index section, /newsroom/triballeaderletters/",https://www.ihs.gov/sites/newsroom/themes/responsive2017/display_objects/documents/2000_Letters/10-16-2000_Letter.pdf,pdf,letter,0,,https://www.ihs.gov/newsroom/triballeaderletters/2000letters/,200,2000,publisher_year_index,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-9a395f7407302373,CONSULTATION,Indian Health Service,HHS-IHS,IHS Dear Tribal Leader Letters,2000-12-07,"December 7, 2000",ihs_leaderLetters_date element on the publisher's own year index,1,,Enclosure: Contact Information,tribal_leaders,"the publisher's own index section, /newsroom/triballeaderletters/",https://www.ihs.gov/sites/newsroom/themes/responsive2017/display_objects/documents/2000_Letters/12-07-2000_Enclosure.pdf,pdf,enclosure,1,,https://www.ihs.gov/newsroom/triballeaderletters/2000letters/,200,2000,publisher_year_index,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-4e9c9c255cd386dc,CONSULTATION,Indian Health Service,HHS-IHS,IHS Dear Tribal Leader Letters,2002-01-30,"January 30, 2002",ihs_leaderLetters_date element on the publisher's own year index,2,"June 28, 2002","""Transitions 2002 - A 5-Year Plan Initiative to Restructure Indian Health"" A Preliminary Report Submitted To IHS For Consideration",tribal_leaders,"the publisher's own index section, /newsroom/triballeaderletters/",https://www.ihs.gov/sites/newsroom/themes/responsive2017/display_objects/documents/2002_Letters/RestructuringInitiativeWorkgroupMembers.pdf,pdf,letter,0,,https://www.ihs.gov/newsroom/triballeaderletters/2002letters/,200,2002,publisher_year_index,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-1901928d0084c024,CONSULTATION,Indian Health Service,HHS-IHS,IHS Dear Tribal Leader Letters,2019-05-08,"May 8, 2019",ihs_leaderLetters_date element on the publisher's own year index,2,"June 7, 2019",Enclosure: Draft Community Health Aide Program Policy,tribal_leaders,"the publisher's own index section, /newsroom/triballeaderletters/",https://www.ihs.gov/sites/newsroom/themes/responsive2017/display_objects/documents/2019_Letters/Enclosure_DRAFT_CHAP_Policy_05082019.pdf,pdf,enclosure,1,,https://www.ihs.gov/newsroom/triballeaderletters/2019letters/,200,2019,publisher_year_index,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-4523ceb323ecbea1,CONSULTATION,Bureau of Indian Affairs,DOI-BIA,BIA news: Dear Tribal Leader letters,2021-04-05,2021-04-05,"schema.org ""datePublished"" in the page's own JSON-LD",1,,Dear Tribal Leader Letter: Announcing the Tribal Enrollment Data Collection Form,tribal_leaders,the phrase 'Dear Tribal Leader'/'DTLL' in the publisher's own URL slug,https://www.bia.gov/news/dear-tribal-leader-letter-announcing-tribal-enrollment-data-collection-form,html,letter,0,2,https://www.bia.gov/sitemap.xml,200,2021,publisher_sitemap_enumeration,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-0f193df912872c13,CONSULTATION,Bureau of Indian Education,DOI-BIE,BIE news: Dear Tribal Leader letters,2021-04-07,2021-04-07,"schema.org ""datePublished"" in the page's own JSON-LD",1,,DTLL: School Reopening Plans Consultation (2021),tribal_leaders,the phrase 'Dear Tribal Leader'/'DTLL' in the publisher's own URL slug,https://www.bie.edu/news-article/dtll-school-reopening-plans-consultation-2021,html,letter,0,3,https://www.bie.edu/sitemap.xml,200,2021,publisher_sitemap_enumeration,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-33390305719926ff,CONSULTATION,Bureau of Indian Education,DOI-BIE,BIE news: Dear Tribal Leader letters,2021-05-14,2021-05-14,"schema.org ""datePublished"" in the page's own JSON-LD",1,,DTLL: Johnson-O'Malley Program Listening Sessions (2021),tribal_leaders,the phrase 'Dear Tribal Leader'/'DTLL' in the publisher's own URL slug,https://www.bie.edu/news-article/dtll-johnson-omalley-program-listening-sessions-2021,html,letter,0,4,https://www.bie.edu/sitemap.xml,200,2021,publisher_sitemap_enumeration,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-81d8671e2fe80e8d,CONSULTATION,Bureau of Indian Education,DOI-BIE,BIE news: Dear Tribal Leader letters,2022-06-18,2022-06-18,"schema.org ""datePublished"" in the page's own JSON-LD",1,,DTLL: Section 504 Listening Session,tribal_leaders,the phrase 'Dear Tribal Leader'/'DTLL' in the publisher's own URL slug,https://www.bie.edu/news-article/dtll-section-504-listening-session,html,letter,0,2,https://www.bie.edu/sitemap.xml,200,2022,publisher_sitemap_enumeration,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
DTLL-18e3a2d82d886873,CONSULTATION,Bureau of Indian Education,DOI-BIE,BIE news: Dear Tribal Leader letters,2024-01-25,2024-01-25,"schema.org ""datePublished"" in the page's own JSON-LD",1,,DTLL: Indian School Equalization Program and ISEP Transportation Tribal Listening Sessions,tribal_leaders,the phrase 'Dear Tribal Leader'/'DTLL' in the publisher's own URL slug,https://www.bie.edu/news-article/dtll-indian-school-equalization-program-and-isep-transportation-tribal-listening,html,letter,0,3,https://www.bie.edu/sitemap.xml,200,2024,publisher_sitemap_enumeration,B,high,2026-09-02,2026-09-02,code/1090_dtll_agency_harvest.py
