document_number,publication_year,title,agency_names,basis
2011-2793,2011,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-3761,2011,"Notice of Inventory Completion: Denver Museum of Nature & Science, Denver, CO",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-5857,2011,"Notice of Inventory Completion: Denver Museum of Nature & Science, Denver, CO",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-11851,2011,"Notice of Inventory Completion: Western Michigan University, Anthropology Department, Kalamazoo, MI",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-15429,2011,"Notice of Inventory Completion: University of Oregon Museum of Natural and Cultural History, Eugene, OR",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-15436,2011,"Notice of Inventory Completion: Western Michigan University, Anthropology Department, Kalamazoo, MI; Correction",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-18343,2011,"Notice of Inventory Completion: Oregon State University Department of Anthropology, Corvallis, OR",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-18352,2011,"Notice of Inventory Completion: American Museum of Natural History, New York, NY",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-18357,2011,"Notice of Intent To Repatriate Cultural Items: Fowler Museum at UCLA, Los Angeles, CA",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
2011-18999,2011,"Notice of Intent To Repatriate Cultural Items: University of Michigan Museum of Anthropology, Ann Arbor, MI",Interior Department; National Park Service,abstract reports consultation already undertaken (NAGPRA-style boilerplate); NOT a consultation notice
