document_number,publication_date,publication_year,type,title,agency_names,relevance_tier,content_classifiable,themes,n_themes,classifier,classifier_version,html_url
93-32062,1994-01-03,1994,Notice,Illinois: Final Determination of Adequacy of State Municipal Solid Waste Permit Program,Environmental Protection Agency,abstract_subject,1,environment_nr,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/01/03/93-32062/illinois-final-determination-of-adequacy-of-state-municipal-solid-waste-permit-program
94-306,1994-01-07,1994,Notice,"Operation of Glen Canyon Dam, Colorado River Storage Project, Arizona",Interior Department; Reclamation Bureau,abstract_subject,1,environment_nr,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/01/07/94-306/operation-of-glen-canyon-dam-colorado-river-storage-project-arizona
94-380,1994-01-10,1994,Notice,Notice of Program Interest for Minority Technical Education Program,Energy Department,abstract_subject,1,energy_minerals|education|grants_funding,3,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/01/10/94-380/notice-of-program-interest-for-minority-technical-education-program
94-860,1994-01-13,1994,Uncategorized Document,Washington: Partial Program Adequacy Determination of State/ Tribal Municipal Solid Waste Permit Program,Environmental Protection Agency,title_subject,1,environment_nr,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/01/13/94-860/washington-partial-program-adequacy-determination-of-state-tribal-municipal-solid-waste-permit
94-1262,1994-01-19,1994,Uncategorized Document,Solicitation for Proposals for the Provision of Civil Legal Services to the Fort Apache Area of Arizona,Legal Services Corporation,abstract_subject,1,grants_funding,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/01/19/94-1262/solicitation-for-proposals-for-the-provision-of-civil-legal-services-to-the-fort-apache-area-of
94-2596,1994-02-04,1994,Uncategorized Document,Environmental Restoration and Waste Management,Energy Department,abstract_subject,1,consultation|energy_minerals|environment_nr,3,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/02/04/94-2596/environmental-restoration-and-waste-management
94-3009,1994-02-10,1994,Uncategorized Document,Tribal Management Program for American Indians/Alaska Natives: Grants Application Announcement,Health and Human Services Department; Indian Health Service,title_subject,1,health_ihs|self_governance_638|education|grants_funding,4,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/02/10/94-3009/tribal-management-program-for-american-indiansalaska-natives-grants-application-announcement
94-3432,1994-02-15,1994,Uncategorized Document,Review of Lake Superior Lakewide Management Plan,Environmental Protection Agency,abstract_subject,1,environment_nr,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/02/15/94-3432/review-of-lake-superior-lakewide-management-plan
94-3687,1994-02-18,1994,Uncategorized Document,Redelegation of Authority for the Issuance of Waivers of Office of Public and Indian Housing Directives,Housing and Urban Development Department,title_subject,1,housing,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/02/18/94-3687/redelegation-of-authority-for-the-issuance-of-waivers-of-office-of-public-and-indian-housing
94-4238,1994-02-25,1994,Uncategorized Document,"Notice of Inventory Completion of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabody Museum of Natural History, Yale University",Interior Department,title_subject,1,nagpra_repatriation,1,78_content_analysis.py::fr_themes,2026-09-01,https://www.federalregister.gov/documents/1994/02/25/94-4238/notice-of-inventory-completion-of-native-american-human-remains-from-the-hawaiian-islands-in-the
