fr_ex_parte_party_id,fr_ex_parte_notice_id,document_number,publication_date,fr_citation,agency_names,agency_slugs,docket_ids_as_printed,relationship,party_as_printed,party_head_stripped,party_kind,natural_person_caution,resolved_native_entity_id,resolved_native_entity_name,resolution_method,resolution_refusal_reason,position_relative_to_native_interest,position_basis,quote_verbatim,event_class,channel,is_lobbying,rule_basis,source_url,confidence_tier,built_date,cedar_uid
FREXPP-96-4729-0,FREXP-96-4729,96-4729,1996-03-01,61 FR 8029,Commerce Department,commerce-department,A-588-837,ex_parte_meeting_with,counsel for MHI,MHI,UNCLASSIFIED,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","hat set between MHI and the Sumitomo Trading Company. In response to the petitioner's questions, the Department held an ex parte meeting with counsel for MHI on December 7, 1995. Following this meeting MHI submitted documentation with respect to this transaction on December 7,",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/1996/03/01/96-4729/notice-of-preliminary-determination-of-sales-at-less-than-fair-value-and-postponement-of-final,A,2026-09-01,
FREXPP-01-1578-1,FREXP-01-1578,01-1578,2001-01-22,66 FR 6605,Energy Department,energy-department,EL00-62-013,presenter_or_requester_table_row,The Honorable Jack Reed,Honorable Jack Reed,MAY_BE_A_NATURAL_PERSON,1,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","1. EL00-62-013, 01-03-01, The Honorable Jack Reed.",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2001/01/22/01-1578/regulations-governing-off-the-record-communications-public-notice,A,2026-09-01,
FREXPP-01-1578-4,FREXP-01-1578,01-1578,2001-01-22,66 FR 6605,Energy Department,energy-department,EL00-95-000,presenter_or_requester_table_row,Gary L. Vyne,Gary L. Vyne,MAY_BE_A_NATURAL_PERSON,1,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","4. EL00-95-000, 01-05-01, Gary L. Vyne.",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2001/01/22/01-1578/regulations-governing-off-the-record-communications-public-notice,A,2026-09-01,
FREXPP-01-1578-8,FREXP-01-1578,01-1578,2001-01-22,66 FR 6605,Energy Department,energy-department,EL00-95-000,presenter_or_requester_table_row,Gary Vyne,Gary Vyne,MAY_BE_A_NATURAL_PERSON,1,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","8. EL00-95-000, 01-05-01, Gary Vyne.",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2001/01/22/01-1578/regulations-governing-off-the-record-communications-public-notice,A,2026-09-01,
FREXPP-02-76-2,FREXP-02-76,02-76,2002-01-03,67 FR 378,Securities and Exchange Commission,securities-and-exchange-commission,Release No 34-45191; File No. SR-CBOE-2001-59,ex_parte_communication_with,Board of Director,Board of Director,ORGANISATION,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","-Regulatory Organization's Statement of the Purpose of, and Statutory Basis for, the Proposed Rule Change 1. Purpose a. Ex Parte Communications With Board of Director (""Board"") Members Prohibited Currently, Exchange Rule 17.4(d) prohibits members or persons associated with members from m",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/01/03/02-76/self-regulatory-organizations-notice-of-filing-of-proposed-rule-change-and-amendment-no-1-thereto-by,A,2026-09-01,
FREXPP-02-31653-6,FREXP-02-31653,02-31653,2002-12-17,67 FR 77295,Securities and Exchange Commission,securities-and-exchange-commission,Release No. 34-46981; File No. SR-CBOE-2001-59,ex_parte_communication_with,the BCC,BCC,UNCLASSIFIED,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","No. 2 deletes proposed CBOE Rule 17.15 and amends CBOE Rule 17.4 to incorporate the Board into the prohibition against ex parte communications with the BCC. The Commission believes this change is not substantively different from the proposal, as published. In addition, it ma",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/12/17/02-31653/self-regulatory-organizations-order-granting-approval-to-the-proposed-rule-change-and-amendment-no-1,A,2026-09-01,
FREXPP-06-5221-0,FREXP-06-5221,06-5221,2006-06-12,71 FR 33932,Commerce Department; International Trade Administration,commerce-department; international-trade-administration,C-122-839,ex_parte_meeting_with,Counsel to the Coalition for Fair Lumber Imports,Counsel to the Coalition for Fair Lumber Imports,ORGANISATION,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","ed to the April 18, 2006, memorandum to the file from Eric B. Greynolds, Program Manager, Office 3, Operations titled, ""Ex Parte Meeting with Counsel to the Coalition for Fair Lumber Imports Concerning the Upcoming Preliminary Results'; see also page 18 and 19 of petitioners' May 1, 2006, filing. On this basi",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2006/06/12/06-5221/notice-of-preliminary-results-and-extension-of-final-result-of-countervailing-duty-administrative,A,2026-09-01,
FREXPP-E7-10706-0,FREXP-E7-10706,E7-10706,2007-06-04,72 FR 30766,Commerce Department; International Trade Administration,commerce-department; international-trade-administration,A-580-856,ex_parte_meeting_with,Counsel to Petitioner,Counsel to Petitioner,ORGANISATION,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","the Department to select an [[Page 30767]] additional respondent. See Memorandum from Joy Zhang to The File, entitled ""Ex Parte Meeting with Counsel to Petitioner,"" dated December 28, 2006. On January 5, 2007, the Department reexamined the availability of its resources and determine",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2007/06/04/E7-10706/coated-free-sheet-paper-from-the-republic-of-korea-notice-of-preliminary-determination-of-sales-at,A,2026-09-01,
FREXPP-E7-22554-0,FREXP-E7-22554,E7-22554,2007-11-19,72 FR 65010,Commerce Department; International Trade Administration,commerce-department; international-trade-administration,A-475-818,ex_parte_meeting_with,Counsel for Lensi,Lensi,UNCLASSIFIED,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","ber 7, 2006, letters to the Secretary of Commerce from Lensi and AIPC. See also Memo to The File from Gary Taverman re: Ex Parte Meeting with Counsel for Lensi, August 31, 2006; Memorandum to The File from Eric B. Greynolds re: Ex Parte Meeting with Representatives of Lensi and",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2007/11/19/E7-22554/certain-pasta-from-italy-notice-of-initiation-of-antidumping-duty-changed-circumstances-review,A,2026-09-01,
FREXPP-E8-29406-0,FREXP-E8-29406,E8-29406,2008-12-12,73 FR 75773,Justice Department; Drug Enforcement Administration,justice-department; drug-enforcement-administration,Docket No. 08-35,ex_parte_communication_from,a member of the Illinois House of Representatives,a member of the Illinois House of Representatives,UNCLASSIFIED,0,,,,no_native_token_in_name,,"NOT_STATED_IN_SOURCE - the disclosure records that a communication occurred, not what was said or which side it favoured.","nt's contention that the state proceeding was fundamentally unfair because the Director was improperly influenced by an ex parte communication from a member of the Illinois House of Representatives is not addressable in this forum. Moreover, while it appears that Respondent is seeking judicial review of the state proceeding in the Ill",ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2008/12/12/E8-29406/hicham-k-riba-dds-revocation-of-registration,A,2026-09-01,
