fr_name,kind,previously_listed_as,see_instead,raw_entry,citation,parsed
Alabama-Coushatta Tribe of Texas,entity,,,Alabama-Coushatta Tribe of Texas,91 FR 4102 (2026-01-30),2026-08-06
"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",entity,,,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",91 FR 4102 (2026-01-30),2026-08-06
"Bear River Band of the Rohnerville Rancheria, California",entity,,,"Bear River Band of the Rohnerville Rancheria, California",91 FR 4102 (2026-01-30),2026-08-06
Big Sandy Rancheria of Western Mono Indians of California,entity,,,Big Sandy Rancheria of Western Mono Indians of California,91 FR 4102 (2026-01-30),2026-08-06
"Blue Lake Rancheria, California",entity,,,"Blue Lake Rancheria, California",91 FR 4102 (2026-01-30),2026-08-06
Cabazon Band of Cahuilla Indians,rename,"Cabazon Band of Mission Indians, California",,"Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)",91 FR 4102 (2026-01-30),2026-08-06
Kiowa Tribe,rename,Kiowa Indian Tribe of Oklahoma,,Kiowa Tribe (previously listed as Kiowa Indian Tribe of Oklahoma),91 FR 4102 (2026-01-30),2026-08-06
Mi'kmaq Nation,rename,Aroostook Band of Micmacs,,Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs),91 FR 4102 (2026-01-30),2026-08-06
Yuhaaviatam of San Manuel Nation,rename,"San Manuel Band of Mission Indians, California",,"Yuhaaviatam of San Manuel Nation (previously listed as San Manuel Band of Mission Indians, California)",91 FR 4102 (2026-01-30),2026-08-06
Native Village of South Naknek,rename,South Naknek Village,,Native Village of South Naknek (previously listed as South Naknek Village),91 FR 4102 (2026-01-30),2026-08-06
